Year,Series,Lurralde historikoa,Units,Value
2018,BPGren urte arteko aldakuntza-tasa,,%,3.1
2011,BPGren urte arteko aldakuntza-tasa,,%,0.3
2016,BPGren urte arteko aldakuntza-tasa,,%,3.3
2017,BPGren urte arteko aldakuntza-tasa,,%,2.8
2019,BPGren urte arteko aldakuntza-tasa,,%,2.3
2013,BPGren urte arteko aldakuntza-tasa,,%,-1.7
2010,BPGren urte arteko aldakuntza-tasa,,%,0.7
2022,BPGren urte arteko aldakuntza-tasa,,%,5.4
2020,BPGren urte arteko aldakuntza-tasa,,%,-9.6
2021,BPGren urte arteko aldakuntza-tasa,,%,6.0
2014,BPGren urte arteko aldakuntza-tasa,,%,1.7
2015,BPGren urte arteko aldakuntza-tasa,,%,3.0
2012,BPGren urte arteko aldakuntza-tasa,,%,-1.9
2020,BPGren urte arteko aldakuntza-tasa,Araba / Álava,%,-10.4
2018,BPGren urte arteko aldakuntza-tasa,Araba / Álava,%,2.2
2013,BPGren urte arteko aldakuntza-tasa,Araba / Álava,%,-1.7
2015,BPGren urte arteko aldakuntza-tasa,Araba / Álava,%,3.0
2012,BPGren urte arteko aldakuntza-tasa,Araba / Álava,%,-2.3
2014,BPGren urte arteko aldakuntza-tasa,Araba / Álava,%,2.0
2019,BPGren urte arteko aldakuntza-tasa,Araba / Álava,%,1.9
2011,BPGren urte arteko aldakuntza-tasa,Araba / Álava,%,0.8
2016,BPGren urte arteko aldakuntza-tasa,Araba / Álava,%,3.1
2021,BPGren urte arteko aldakuntza-tasa,Araba / Álava,%,6.0
2017,BPGren urte arteko aldakuntza-tasa,Araba / Álava,%,2.1
2022,BPGren urte arteko aldakuntza-tasa,Araba / Álava,%,4.3
2010,BPGren urte arteko aldakuntza-tasa,Araba / Álava,%,1.2
2017,BPGren urte arteko aldakuntza-tasa,Bizkaia,%,3.0
2011,BPGren urte arteko aldakuntza-tasa,Bizkaia,%,0.2
2019,BPGren urte arteko aldakuntza-tasa,Bizkaia,%,2.2
2021,BPGren urte arteko aldakuntza-tasa,Bizkaia,%,6.1
2016,BPGren urte arteko aldakuntza-tasa,Bizkaia,%,3.5
2014,BPGren urte arteko aldakuntza-tasa,Bizkaia,%,1.4
2015,BPGren urte arteko aldakuntza-tasa,Bizkaia,%,2.8
2022,BPGren urte arteko aldakuntza-tasa,Bizkaia,%,6.5
2018,BPGren urte arteko aldakuntza-tasa,Bizkaia,%,2.9
2020,BPGren urte arteko aldakuntza-tasa,Bizkaia,%,-9.2
2013,BPGren urte arteko aldakuntza-tasa,Bizkaia,%,-1.5
2010,BPGren urte arteko aldakuntza-tasa,Bizkaia,%,0.6
2012,BPGren urte arteko aldakuntza-tasa,Bizkaia,%,-2.2
2014,BPGren urte arteko aldakuntza-tasa,Gipuzkoa,%,1.7
2010,BPGren urte arteko aldakuntza-tasa,Gipuzkoa,%,0.6
2020,BPGren urte arteko aldakuntza-tasa,Gipuzkoa,%,-10.0
2021,BPGren urte arteko aldakuntza-tasa,Gipuzkoa,%,6.0
2022,BPGren urte arteko aldakuntza-tasa,Gipuzkoa,%,4.3
2018,BPGren urte arteko aldakuntza-tasa,Gipuzkoa,%,3.7
2013,BPGren urte arteko aldakuntza-tasa,Gipuzkoa,%,-1.9
2012,BPGren urte arteko aldakuntza-tasa,Gipuzkoa,%,-1.3
2017,BPGren urte arteko aldakuntza-tasa,Gipuzkoa,%,2.8
2015,BPGren urte arteko aldakuntza-tasa,Gipuzkoa,%,3.4
2019,BPGren urte arteko aldakuntza-tasa,Gipuzkoa,%,2.6
2011,BPGren urte arteko aldakuntza-tasa,Gipuzkoa,%,0.3
2016,BPGren urte arteko aldakuntza-tasa,Gipuzkoa,%,3.3
2018,Langabezia-tasa,,%,10.5
2020,Langabezia-tasa,,%,10.6
2014,Langabezia-tasa,,%,16.1
2022,Langabezia-tasa,,%,8.6
2011,Langabezia-tasa,,%,10.8
2012,Langabezia-tasa,,%,11.8
2021,Langabezia-tasa,,%,10.0
2019,Langabezia-tasa,,%,9.8
2024,Langabezia-tasa,,%,7.4
2017,Langabezia-tasa,,%,11.6
2013,Langabezia-tasa,,%,15.1
2016,Langabezia-tasa,,%,13.8
2010,Langabezia-tasa,,%,9.2
2015,Langabezia-tasa,,%,15.7
2023,Langabezia-tasa,,%,7.8
2024,Langabezia-tasa,Araba / Álava,%,7.5
2010,Langabezia-tasa,Araba / Álava,%,8.6
2017,Langabezia-tasa,Araba / Álava,%,12.3
2011,Langabezia-tasa,Araba / Álava,%,10.3
2014,Langabezia-tasa,Araba / Álava,%,15.9
2012,Langabezia-tasa,Araba / Álava,%,11.4
2015,Langabezia-tasa,Araba / Álava,%,15.5
2023,Langabezia-tasa,Araba / Álava,%,7.7
2020,Langabezia-tasa,Araba / Álava,%,10.7
2018,Langabezia-tasa,Araba / Álava,%,11.3
2022,Langabezia-tasa,Araba / Álava,%,9.5
2021,Langabezia-tasa,Araba / Álava,%,10.2
2016,Langabezia-tasa,Araba / Álava,%,14.0
2013,Langabezia-tasa,Araba / Álava,%,14.4
2019,Langabezia-tasa,Araba / Álava,%,10.7
2012,Langabezia-tasa,Bizkaia,%,12.1
2021,Langabezia-tasa,Bizkaia,%,9.8
2022,Langabezia-tasa,Bizkaia,%,9.3
2019,Langabezia-tasa,Bizkaia,%,9.1
2015,Langabezia-tasa,Bizkaia,%,15.9
2017,Langabezia-tasa,Bizkaia,%,11.0
2013,Langabezia-tasa,Bizkaia,%,15.7
2011,Langabezia-tasa,Bizkaia,%,11.2
2010,Langabezia-tasa,Bizkaia,%,9.6
2020,Langabezia-tasa,Bizkaia,%,10.5
2024,Langabezia-tasa,Bizkaia,%,8.5
2014,Langabezia-tasa,Bizkaia,%,16.3
2023,Langabezia-tasa,Bizkaia,%,8.7
2016,Langabezia-tasa,Bizkaia,%,13.7
2018,Langabezia-tasa,Bizkaia,%,9.8
2015,Langabezia-tasa,Gipuzkoa,%,16.3
2013,Langabezia-tasa,Gipuzkoa,%,15.1
2020,Langabezia-tasa,Gipuzkoa,%,11.1
2010,Langabezia-tasa,Gipuzkoa,%,10.0
2024,Langabezia-tasa,Gipuzkoa,%,5.7
2023,Langabezia-tasa,Gipuzkoa,%,6.5
2021,Langabezia-tasa,Gipuzkoa,%,10.6
2019,Langabezia-tasa,Gipuzkoa,%,10.8
2017,Langabezia-tasa,Gipuzkoa,%,11.9
2016,Langabezia-tasa,Gipuzkoa,%,14.1
2014,Langabezia-tasa,Gipuzkoa,%,17.1
2012,Langabezia-tasa,Gipuzkoa,%,9.4
2011,Langabezia-tasa,Gipuzkoa,%,7.8
2018,Langabezia-tasa,Gipuzkoa,%,11.2
2022,Langabezia-tasa,Gipuzkoa,%,7.0
2017,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,,%,2.0
2016,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,,%,0.0
2020,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,,%,-0.1
2018,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,,%,1.6
2014,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,,%,0.2
2013,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,,%,1.6
2011,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,,%,3.1
2023,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,,%,3.6
2021,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,,%,3.1
2010,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,,%,1.7
2019,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,,%,1.0
2022,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,,%,8.0
2012,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,,%,2.3
2015,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,,%,-0.3
2020,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,Araba / Álava,%,-0.3
2012,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,Araba / Álava,%,2.1
2011,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,Araba / Álava,%,3.1
2023,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,Araba / Álava,%,3.0
2018,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,Araba / Álava,%,1.4
2010,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,Araba / Álava,%,1.8
2019,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,Araba / Álava,%,0.9
2017,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,Araba / Álava,%,2.1
2016,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,Araba / Álava,%,-0.1
2014,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,Araba / Álava,%,0.1
2015,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,Araba / Álava,%,-0.2
2013,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,Araba / Álava,%,1.3
2022,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,Araba / Álava,%,8.1
2021,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,Araba / Álava,%,3.2
2020,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,Bizkaia,%,0.0
2022,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,Bizkaia,%,8.3
2018,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,Bizkaia,%,1.6
2023,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,Bizkaia,%,3.6
2019,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,Bizkaia,%,0.9
2010,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,Bizkaia,%,1.8
2016,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,Bizkaia,%,0.1
2012,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,Bizkaia,%,2.4
2015,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,Bizkaia,%,-0.4
2017,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,Bizkaia,%,2.0
2013,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,Bizkaia,%,1.6
2021,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,Bizkaia,%,3.1
2011,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,Bizkaia,%,3.1
2014,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,Bizkaia,%,0.2
2022,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,Gipuzkoa,%,7.7
2023,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,Gipuzkoa,%,3.9
2011,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,Gipuzkoa,%,3.0
2019,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,Gipuzkoa,%,1.1
2014,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,Gipuzkoa,%,0.2
2018,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,Gipuzkoa,%,1.8
2017,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,Gipuzkoa,%,1.9
2012,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,Gipuzkoa,%,2.3
2020,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,Gipuzkoa,%,-0.2
2016,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,Gipuzkoa,%,0.0
2013,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,Gipuzkoa,%,1.6
2010,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,Gipuzkoa,%,1.5
2021,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,Gipuzkoa,%,3.1
2015,Kontsumoko prezioen indizearen urte arteko aldakuntza-tasa,Gipuzkoa,%,-0.1
2022,"Atzerrira egindako diru-bidalketen bolumena, BPGrekiko proportzioan",,%,0.5
2015,"Atzerrira egindako diru-bidalketen bolumena, BPGrekiko proportzioan",,%,0.4
2019,"Atzerrira egindako diru-bidalketen bolumena, BPGrekiko proportzioan",,%,0.5
2021,"Atzerrira egindako diru-bidalketen bolumena, BPGrekiko proportzioan",,%,0.5
2017,"Atzerrira egindako diru-bidalketen bolumena, BPGrekiko proportzioan",,%,0.4
2018,"Atzerrira egindako diru-bidalketen bolumena, BPGrekiko proportzioan",,%,0.5
2014,"Atzerrira egindako diru-bidalketen bolumena, BPGrekiko proportzioan",,%,0.4
2013,"Atzerrira egindako diru-bidalketen bolumena, BPGrekiko proportzioan",,%,0.4
2020,"Atzerrira egindako diru-bidalketen bolumena, BPGrekiko proportzioan",,%,0.5
2016,"Atzerrira egindako diru-bidalketen bolumena, BPGrekiko proportzioan",,%,0.4
2018,"Administrazio publiko autonomikoen zor gordina, gehiegizko defizitaren protokoloaren arabera, BPGrekiko proportzioan",,%,13.1
2017,"Administrazio publiko autonomikoen zor gordina, gehiegizko defizitaren protokoloaren arabera, BPGrekiko proportzioan",,%,13.8
2010,"Administrazio publiko autonomikoen zor gordina, gehiegizko defizitaren protokoloaren arabera, BPGrekiko proportzioan",,%,7.6
2016,"Administrazio publiko autonomikoen zor gordina, gehiegizko defizitaren protokoloaren arabera, BPGrekiko proportzioan",,%,14.0
2014,"Administrazio publiko autonomikoen zor gordina, gehiegizko defizitaren protokoloaren arabera, BPGrekiko proportzioan",,%,13.4
2012,"Administrazio publiko autonomikoen zor gordina, gehiegizko defizitaren protokoloaren arabera, BPGrekiko proportzioan",,%,11.0
2020,"Administrazio publiko autonomikoen zor gordina, gehiegizko defizitaren protokoloaren arabera, BPGrekiko proportzioan",,%,15.0
2019,"Administrazio publiko autonomikoen zor gordina, gehiegizko defizitaren protokoloaren arabera, BPGrekiko proportzioan",,%,11.8
2021,"Administrazio publiko autonomikoen zor gordina, gehiegizko defizitaren protokoloaren arabera, BPGrekiko proportzioan",,%,14.3
2015,"Administrazio publiko autonomikoen zor gordina, gehiegizko defizitaren protokoloaren arabera, BPGrekiko proportzioan",,%,13.8
2011,"Administrazio publiko autonomikoen zor gordina, gehiegizko defizitaren protokoloaren arabera, BPGrekiko proportzioan",,%,8.3
2013,"Administrazio publiko autonomikoen zor gordina, gehiegizko defizitaren protokoloaren arabera, BPGrekiko proportzioan",,%,12.8
2017,"Administrazio publiko autonomikoen zerga-saldoa, BPGrekiko proportzioan",,%,1.5
2021,"Administrazio publiko autonomikoen zerga-saldoa, BPGrekiko proportzioan",,%,0.8
2011,"Administrazio publiko autonomikoen zerga-saldoa, BPGrekiko proportzioan",,%,-2.6
2018,"Administrazio publiko autonomikoen zerga-saldoa, BPGrekiko proportzioan",,%,0.7
2020,"Administrazio publiko autonomikoen zerga-saldoa, BPGrekiko proportzioan",,%,-1.0
2014,"Administrazio publiko autonomikoen zerga-saldoa, BPGrekiko proportzioan",,%,-1.0
2010,"Administrazio publiko autonomikoen zerga-saldoa, BPGrekiko proportzioan",,%,-2.7
2015,"Administrazio publiko autonomikoen zerga-saldoa, BPGrekiko proportzioan",,%,-0.6
2012,"Administrazio publiko autonomikoen zerga-saldoa, BPGrekiko proportzioan",,%,-1.4
2019,"Administrazio publiko autonomikoen zerga-saldoa, BPGrekiko proportzioan",,%,0.5
2016,"Administrazio publiko autonomikoen zerga-saldoa, BPGrekiko proportzioan",,%,-0.6
2013,"Administrazio publiko autonomikoen zerga-saldoa, BPGrekiko proportzioan",,%,-1.2
