Year,Lurralde historikoa,Units,Value
2022,,100.000 biztanleko,0.32
2023,,100.000 biztanleko,0.32
2024,,100.000 biztanleko,0.36
2020,,100.000 biztanleko,0.59
2021,,100.000 biztanleko,0.5
2021,Araba / Álava,100.000 biztanleko,0.61
2022,Araba / Álava,100.000 biztanleko,0.0
2023,Araba / Álava,100.000 biztanleko,0.3
2020,Araba / Álava,100.000 biztanleko,0.3
2024,Araba / Álava,100.000 biztanleko,0.3
2021,Bizkaia,100.000 biztanleko,0.53
2020,Bizkaia,100.000 biztanleko,0.7
2022,Bizkaia,100.000 biztanleko,0.35
2023,Bizkaia,100.000 biztanleko,0.35
2024,Bizkaia,100.000 biztanleko,0.35
2022,Gipuzkoa,100.000 biztanleko,0.42
2023,Gipuzkoa,100.000 biztanleko,0.28
2024,Gipuzkoa,100.000 biztanleko,0.42
2020,Gipuzkoa,100.000 biztanleko,0.56
2021,Gipuzkoa,100.000 biztanleko,0.42
