Year,Lurralde historikoa,Eskualdea,Udalerria,Units,GeoCode,Value
2022,,,,10.000 biztanleko,,39.9
2020,,,,10.000 biztanleko,,33.9
2019,,,,10.000 biztanleko,,36.5
2021,,,,10.000 biztanleko,,34.3
2023,,,,10.000 biztanleko,,42.8
2023,,,Abadiño,10.000 biztanleko,Abadiño,20.5
2020,,,Abadiño,10.000 biztanleko,Abadiño,18.2
2022,,,Abadiño,10.000 biztanleko,Abadiño,23.3
2021,,,Abadiño,10.000 biztanleko,Abadiño,31.0
2019,,,Abadiño,10.000 biztanleko,Abadiño,28.6
2021,,,Abaltzisketa,10.000 biztanleko,Abaltzisketa,0.0
2019,,,Abaltzisketa,10.000 biztanleko,Abaltzisketa,0.0
2020,,,Abaltzisketa,10.000 biztanleko,Abaltzisketa,68.7
2023,,,Abaltzisketa,10.000 biztanleko,Abaltzisketa,0.0
2022,,,Abaltzisketa,10.000 biztanleko,Abaltzisketa,0.0
2022,,,Abanto y Ciérvana-Abanto Zierbena,10.000 biztanleko,Abanto y Ciérvana-Abanto Zierbena,52.4
2023,,,Abanto y Ciérvana-Abanto Zierbena,10.000 biztanleko,Abanto y Ciérvana-Abanto Zierbena,55.2
2020,,,Abanto y Ciérvana-Abanto Zierbena,10.000 biztanleko,Abanto y Ciérvana-Abanto Zierbena,49.7
2021,,,Abanto y Ciérvana-Abanto Zierbena,10.000 biztanleko,Abanto y Ciérvana-Abanto Zierbena,52.2
2019,,,Abanto y Ciérvana-Abanto Zierbena,10.000 biztanleko,Abanto y Ciérvana-Abanto Zierbena,32.9
2023,,,Aduna,10.000 biztanleko,Aduna,0.0
2019,,,Aduna,10.000 biztanleko,Aduna,0.0
2022,,,Aduna,10.000 biztanleko,Aduna,0.0
2021,,,Aduna,10.000 biztanleko,Aduna,0.0
2020,,,Aduna,10.000 biztanleko,Aduna,136.1
2021,,,Agurain / Salvatierra,10.000 biztanleko,Agurain / Salvatierra,18.8
2020,,,Agurain / Salvatierra,10.000 biztanleko,Agurain / Salvatierra,49.1
2022,,,Agurain / Salvatierra,10.000 biztanleko,Agurain / Salvatierra,30.6
2019,,,Agurain / Salvatierra,10.000 biztanleko,Agurain / Salvatierra,22.7
2023,,,Agurain / Salvatierra,10.000 biztanleko,Agurain / Salvatierra,58.1
2023,,,Aia,10.000 biztanleko,Aia,20.1
2022,,,Aia,10.000 biztanleko,Aia,0.0
2019,,,Aia,10.000 biztanleko,Aia,31.8
2021,,,Aia,10.000 biztanleko,Aia,0.0
2020,,,Aia,10.000 biztanleko,Aia,32.0
2023,,,Aizarnazabal,10.000 biztanleko,Aizarnazabal,0.0
2022,,,Aizarnazabal,10.000 biztanleko,Aizarnazabal,0.0
2020,,,Aizarnazabal,10.000 biztanleko,Aizarnazabal,0.0
2019,,,Aizarnazabal,10.000 biztanleko,Aizarnazabal,0.0
2021,,,Aizarnazabal,10.000 biztanleko,Aizarnazabal,26.5
2022,,,Ajangiz,10.000 biztanleko,Ajangiz,0.0
2019,,,Ajangiz,10.000 biztanleko,Ajangiz,0.0
2020,,,Ajangiz,10.000 biztanleko,Ajangiz,0.0
2021,,,Ajangiz,10.000 biztanleko,Ajangiz,0.0
2023,,,Ajangiz,10.000 biztanleko,Ajangiz,0.0
