Year,Series,Hezkuntza-maila,Units,Value
2016,Amaiera-tasa (beheko bigarren hezkuntza eta goi-mailako bigarren hezkuntza),Behe-mailako bigarren hezkuntza,%,95.5
2022,Amaiera-tasa (beheko bigarren hezkuntza eta goi-mailako bigarren hezkuntza),Behe-mailako bigarren hezkuntza,%,94.9
2020,Amaiera-tasa (beheko bigarren hezkuntza eta goi-mailako bigarren hezkuntza),Behe-mailako bigarren hezkuntza,%,99.4
2015,Amaiera-tasa (beheko bigarren hezkuntza eta goi-mailako bigarren hezkuntza),Behe-mailako bigarren hezkuntza,%,94.7
2021,Amaiera-tasa (beheko bigarren hezkuntza eta goi-mailako bigarren hezkuntza),Behe-mailako bigarren hezkuntza,%,98.1
2019,Amaiera-tasa (beheko bigarren hezkuntza eta goi-mailako bigarren hezkuntza),Behe-mailako bigarren hezkuntza,%,97.0
2018,Amaiera-tasa (beheko bigarren hezkuntza eta goi-mailako bigarren hezkuntza),Behe-mailako bigarren hezkuntza,%,95.2
2017,Amaiera-tasa (beheko bigarren hezkuntza eta goi-mailako bigarren hezkuntza),Behe-mailako bigarren hezkuntza,%,96.0
2016,Amaiera-tasa (beheko bigarren hezkuntza eta goi-mailako bigarren hezkuntza),Goi-mailako bigarren hezkuntza,%,79.1
2018,Amaiera-tasa (beheko bigarren hezkuntza eta goi-mailako bigarren hezkuntza),Goi-mailako bigarren hezkuntza,%,80.9
2019,Amaiera-tasa (beheko bigarren hezkuntza eta goi-mailako bigarren hezkuntza),Goi-mailako bigarren hezkuntza,%,82.7
2020,Amaiera-tasa (beheko bigarren hezkuntza eta goi-mailako bigarren hezkuntza),Goi-mailako bigarren hezkuntza,%,81.5
2021,Amaiera-tasa (beheko bigarren hezkuntza eta goi-mailako bigarren hezkuntza),Goi-mailako bigarren hezkuntza,%,82.9
2015,Amaiera-tasa (beheko bigarren hezkuntza eta goi-mailako bigarren hezkuntza),Goi-mailako bigarren hezkuntza,%,79.4
2017,Amaiera-tasa (beheko bigarren hezkuntza eta goi-mailako bigarren hezkuntza),Goi-mailako bigarren hezkuntza,%,77.9
2022,Amaiera-tasa (beheko bigarren hezkuntza eta goi-mailako bigarren hezkuntza),Goi-mailako bigarren hezkuntza,%,84.7
