Year,Sexua,Units,Value
2022,,100.000 biztanleko,21.2
2018,,100.000 biztanleko,16.0
2016,,100.000 biztanleko,14.3
2021,,100.000 biztanleko,18.2
2020,,100.000 biztanleko,15.9
2017,,100.000 biztanleko,15.8
2015,,100.000 biztanleko,6.5
2023,,100.000 biztanleko,30.0
2019,,100.000 biztanleko,17.5
2016,Emakumea,100.000 biztanleko,19.5
2017,Emakumea,100.000 biztanleko,20.4
2015,Emakumea,100.000 biztanleko,9.2
2018,Emakumea,100.000 biztanleko,19.7
2019,Emakumea,100.000 biztanleko,22.0
2021,Emakumea,100.000 biztanleko,24.9
2020,Emakumea,100.000 biztanleko,21.0
2022,Emakumea,100.000 biztanleko,27.2
2023,Emakumea,100.000 biztanleko,39.3
2018,Gizona,100.000 biztanleko,12.1
2016,Gizona,100.000 biztanleko,8.9
2015,Gizona,100.000 biztanleko,3.7
2022,Gizona,100.000 biztanleko,14.8
2023,Gizona,100.000 biztanleko,20.1
2019,Gizona,100.000 biztanleko,12.8
2020,Gizona,100.000 biztanleko,10.6
2017,Gizona,100.000 biztanleko,10.9
2021,Gizona,100.000 biztanleko,11.2
