Year,Series,Territorio histórico,Units,Value
2018,Tasa de variación interanual del PIB,,%,3.1
2011,Tasa de variación interanual del PIB,,%,0.3
2016,Tasa de variación interanual del PIB,,%,3.3
2017,Tasa de variación interanual del PIB,,%,2.8
2019,Tasa de variación interanual del PIB,,%,2.3
2013,Tasa de variación interanual del PIB,,%,-1.7
2010,Tasa de variación interanual del PIB,,%,0.7
2022,Tasa de variación interanual del PIB,,%,5.4
2020,Tasa de variación interanual del PIB,,%,-9.6
2021,Tasa de variación interanual del PIB,,%,6.0
2014,Tasa de variación interanual del PIB,,%,1.7
2015,Tasa de variación interanual del PIB,,%,3.0
2012,Tasa de variación interanual del PIB,,%,-1.9
2020,Tasa de variación interanual del PIB,Araba/Álava,%,-10.4
2018,Tasa de variación interanual del PIB,Araba/Álava,%,2.2
2013,Tasa de variación interanual del PIB,Araba/Álava,%,-1.7
2015,Tasa de variación interanual del PIB,Araba/Álava,%,3.0
2012,Tasa de variación interanual del PIB,Araba/Álava,%,-2.3
2014,Tasa de variación interanual del PIB,Araba/Álava,%,2.0
2019,Tasa de variación interanual del PIB,Araba/Álava,%,1.9
2011,Tasa de variación interanual del PIB,Araba/Álava,%,0.8
2016,Tasa de variación interanual del PIB,Araba/Álava,%,3.1
2021,Tasa de variación interanual del PIB,Araba/Álava,%,6.0
2017,Tasa de variación interanual del PIB,Araba/Álava,%,2.1
2022,Tasa de variación interanual del PIB,Araba/Álava,%,4.3
2010,Tasa de variación interanual del PIB,Araba/Álava,%,1.2
2017,Tasa de variación interanual del PIB,Bizkaia,%,3.0
2011,Tasa de variación interanual del PIB,Bizkaia,%,0.2
2019,Tasa de variación interanual del PIB,Bizkaia,%,2.2
2021,Tasa de variación interanual del PIB,Bizkaia,%,6.1
2016,Tasa de variación interanual del PIB,Bizkaia,%,3.5
2014,Tasa de variación interanual del PIB,Bizkaia,%,1.4
2015,Tasa de variación interanual del PIB,Bizkaia,%,2.8
2022,Tasa de variación interanual del PIB,Bizkaia,%,6.5
2018,Tasa de variación interanual del PIB,Bizkaia,%,2.9
2020,Tasa de variación interanual del PIB,Bizkaia,%,-9.2
2013,Tasa de variación interanual del PIB,Bizkaia,%,-1.5
2010,Tasa de variación interanual del PIB,Bizkaia,%,0.6
2012,Tasa de variación interanual del PIB,Bizkaia,%,-2.2
2014,Tasa de variación interanual del PIB,Gipuzkoa,%,1.7
2010,Tasa de variación interanual del PIB,Gipuzkoa,%,0.6
2020,Tasa de variación interanual del PIB,Gipuzkoa,%,-10.0
2021,Tasa de variación interanual del PIB,Gipuzkoa,%,6.0
2022,Tasa de variación interanual del PIB,Gipuzkoa,%,4.3
2018,Tasa de variación interanual del PIB,Gipuzkoa,%,3.7
2013,Tasa de variación interanual del PIB,Gipuzkoa,%,-1.9
2012,Tasa de variación interanual del PIB,Gipuzkoa,%,-1.3
2017,Tasa de variación interanual del PIB,Gipuzkoa,%,2.8
2015,Tasa de variación interanual del PIB,Gipuzkoa,%,3.4
2019,Tasa de variación interanual del PIB,Gipuzkoa,%,2.6
2011,Tasa de variación interanual del PIB,Gipuzkoa,%,0.3
2016,Tasa de variación interanual del PIB,Gipuzkoa,%,3.3
2018,Tasa de desempleo,,%,10.5
2020,Tasa de desempleo,,%,10.6
2014,Tasa de desempleo,,%,16.1
2022,Tasa de desempleo,,%,8.6
2011,Tasa de desempleo,,%,10.8
2012,Tasa de desempleo,,%,11.8
2021,Tasa de desempleo,,%,10.0
2019,Tasa de desempleo,,%,9.8
2024,Tasa de desempleo,,%,7.4
2017,Tasa de desempleo,,%,11.6
2013,Tasa de desempleo,,%,15.1
2016,Tasa de desempleo,,%,13.8
2010,Tasa de desempleo,,%,9.2
2015,Tasa de desempleo,,%,15.7
2023,Tasa de desempleo,,%,7.8
2024,Tasa de desempleo,Araba/Álava,%,7.5
2010,Tasa de desempleo,Araba/Álava,%,8.6
2017,Tasa de desempleo,Araba/Álava,%,12.3
2011,Tasa de desempleo,Araba/Álava,%,10.3
2014,Tasa de desempleo,Araba/Álava,%,15.9
2012,Tasa de desempleo,Araba/Álava,%,11.4
2015,Tasa de desempleo,Araba/Álava,%,15.5
2023,Tasa de desempleo,Araba/Álava,%,7.7
2020,Tasa de desempleo,Araba/Álava,%,10.7
2018,Tasa de desempleo,Araba/Álava,%,11.3
2022,Tasa de desempleo,Araba/Álava,%,9.5
2021,Tasa de desempleo,Araba/Álava,%,10.2
2016,Tasa de desempleo,Araba/Álava,%,14.0
2013,Tasa de desempleo,Araba/Álava,%,14.4
2019,Tasa de desempleo,Araba/Álava,%,10.7
2012,Tasa de desempleo,Bizkaia,%,12.1
2021,Tasa de desempleo,Bizkaia,%,9.8
2022,Tasa de desempleo,Bizkaia,%,9.3
2019,Tasa de desempleo,Bizkaia,%,9.1
2015,Tasa de desempleo,Bizkaia,%,15.9
2017,Tasa de desempleo,Bizkaia,%,11.0
2013,Tasa de desempleo,Bizkaia,%,15.7
2011,Tasa de desempleo,Bizkaia,%,11.2
2010,Tasa de desempleo,Bizkaia,%,9.6
2020,Tasa de desempleo,Bizkaia,%,10.5
2024,Tasa de desempleo,Bizkaia,%,8.5
2014,Tasa de desempleo,Bizkaia,%,16.3
2023,Tasa de desempleo,Bizkaia,%,8.7
2016,Tasa de desempleo,Bizkaia,%,13.7
2018,Tasa de desempleo,Bizkaia,%,9.8
2015,Tasa de desempleo,Gipuzkoa,%,16.3
2013,Tasa de desempleo,Gipuzkoa,%,15.1
2020,Tasa de desempleo,Gipuzkoa,%,11.1
2010,Tasa de desempleo,Gipuzkoa,%,10.0
2024,Tasa de desempleo,Gipuzkoa,%,5.7
2023,Tasa de desempleo,Gipuzkoa,%,6.5
2021,Tasa de desempleo,Gipuzkoa,%,10.6
2019,Tasa de desempleo,Gipuzkoa,%,10.8
2017,Tasa de desempleo,Gipuzkoa,%,11.9
2016,Tasa de desempleo,Gipuzkoa,%,14.1
2014,Tasa de desempleo,Gipuzkoa,%,17.1
2012,Tasa de desempleo,Gipuzkoa,%,9.4
2011,Tasa de desempleo,Gipuzkoa,%,7.8
2018,Tasa de desempleo,Gipuzkoa,%,11.2
2022,Tasa de desempleo,Gipuzkoa,%,7.0
2017,Tasa de variación interanual del índice de precios de consumo,,%,2.0
2016,Tasa de variación interanual del índice de precios de consumo,,%,0.0
2020,Tasa de variación interanual del índice de precios de consumo,,%,-0.1
2018,Tasa de variación interanual del índice de precios de consumo,,%,1.6
2014,Tasa de variación interanual del índice de precios de consumo,,%,0.2
2013,Tasa de variación interanual del índice de precios de consumo,,%,1.6
2011,Tasa de variación interanual del índice de precios de consumo,,%,3.1
2023,Tasa de variación interanual del índice de precios de consumo,,%,3.6
2021,Tasa de variación interanual del índice de precios de consumo,,%,3.1
2010,Tasa de variación interanual del índice de precios de consumo,,%,1.7
2019,Tasa de variación interanual del índice de precios de consumo,,%,1.0
2022,Tasa de variación interanual del índice de precios de consumo,,%,8.0
2012,Tasa de variación interanual del índice de precios de consumo,,%,2.3
2015,Tasa de variación interanual del índice de precios de consumo,,%,-0.3
2020,Tasa de variación interanual del índice de precios de consumo,Araba/Álava,%,-0.3
2012,Tasa de variación interanual del índice de precios de consumo,Araba/Álava,%,2.1
2011,Tasa de variación interanual del índice de precios de consumo,Araba/Álava,%,3.1
2023,Tasa de variación interanual del índice de precios de consumo,Araba/Álava,%,3.0
2018,Tasa de variación interanual del índice de precios de consumo,Araba/Álava,%,1.4
2010,Tasa de variación interanual del índice de precios de consumo,Araba/Álava,%,1.8
2019,Tasa de variación interanual del índice de precios de consumo,Araba/Álava,%,0.9
2017,Tasa de variación interanual del índice de precios de consumo,Araba/Álava,%,2.1
2016,Tasa de variación interanual del índice de precios de consumo,Araba/Álava,%,-0.1
2014,Tasa de variación interanual del índice de precios de consumo,Araba/Álava,%,0.1
2015,Tasa de variación interanual del índice de precios de consumo,Araba/Álava,%,-0.2
2013,Tasa de variación interanual del índice de precios de consumo,Araba/Álava,%,1.3
2022,Tasa de variación interanual del índice de precios de consumo,Araba/Álava,%,8.1
2021,Tasa de variación interanual del índice de precios de consumo,Araba/Álava,%,3.2
2020,Tasa de variación interanual del índice de precios de consumo,Bizkaia,%,0.0
2022,Tasa de variación interanual del índice de precios de consumo,Bizkaia,%,8.3
2018,Tasa de variación interanual del índice de precios de consumo,Bizkaia,%,1.6
2023,Tasa de variación interanual del índice de precios de consumo,Bizkaia,%,3.6
2019,Tasa de variación interanual del índice de precios de consumo,Bizkaia,%,0.9
2010,Tasa de variación interanual del índice de precios de consumo,Bizkaia,%,1.8
2016,Tasa de variación interanual del índice de precios de consumo,Bizkaia,%,0.1
2012,Tasa de variación interanual del índice de precios de consumo,Bizkaia,%,2.4
2015,Tasa de variación interanual del índice de precios de consumo,Bizkaia,%,-0.4
2017,Tasa de variación interanual del índice de precios de consumo,Bizkaia,%,2.0
2013,Tasa de variación interanual del índice de precios de consumo,Bizkaia,%,1.6
2021,Tasa de variación interanual del índice de precios de consumo,Bizkaia,%,3.1
2011,Tasa de variación interanual del índice de precios de consumo,Bizkaia,%,3.1
2014,Tasa de variación interanual del índice de precios de consumo,Bizkaia,%,0.2
2022,Tasa de variación interanual del índice de precios de consumo,Gipuzkoa,%,7.7
2023,Tasa de variación interanual del índice de precios de consumo,Gipuzkoa,%,3.9
2011,Tasa de variación interanual del índice de precios de consumo,Gipuzkoa,%,3.0
2019,Tasa de variación interanual del índice de precios de consumo,Gipuzkoa,%,1.1
2014,Tasa de variación interanual del índice de precios de consumo,Gipuzkoa,%,0.2
2018,Tasa de variación interanual del índice de precios de consumo,Gipuzkoa,%,1.8
2017,Tasa de variación interanual del índice de precios de consumo,Gipuzkoa,%,1.9
2012,Tasa de variación interanual del índice de precios de consumo,Gipuzkoa,%,2.3
2020,Tasa de variación interanual del índice de precios de consumo,Gipuzkoa,%,-0.2
2016,Tasa de variación interanual del índice de precios de consumo,Gipuzkoa,%,0.0
2013,Tasa de variación interanual del índice de precios de consumo,Gipuzkoa,%,1.6
2010,Tasa de variación interanual del índice de precios de consumo,Gipuzkoa,%,1.5
2021,Tasa de variación interanual del índice de precios de consumo,Gipuzkoa,%,3.1
2015,Tasa de variación interanual del índice de precios de consumo,Gipuzkoa,%,-0.1
2022,Volumen de remesas enviadas al extranjero en proporción al PIB,,%,0.5
2015,Volumen de remesas enviadas al extranjero en proporción al PIB,,%,0.4
2019,Volumen de remesas enviadas al extranjero en proporción al PIB,,%,0.5
2021,Volumen de remesas enviadas al extranjero en proporción al PIB,,%,0.5
2017,Volumen de remesas enviadas al extranjero en proporción al PIB,,%,0.4
2018,Volumen de remesas enviadas al extranjero en proporción al PIB,,%,0.5
2014,Volumen de remesas enviadas al extranjero en proporción al PIB,,%,0.4
2013,Volumen de remesas enviadas al extranjero en proporción al PIB,,%,0.4
2020,Volumen de remesas enviadas al extranjero en proporción al PIB,,%,0.5
2016,Volumen de remesas enviadas al extranjero en proporción al PIB,,%,0.4
2018,Deuda bruta de las administraciones públicas autonómicas según el protocolo de déficit excesivo en proporción al PIB,,%,13.1
2017,Deuda bruta de las administraciones públicas autonómicas según el protocolo de déficit excesivo en proporción al PIB,,%,13.8
2010,Deuda bruta de las administraciones públicas autonómicas según el protocolo de déficit excesivo en proporción al PIB,,%,7.6
2016,Deuda bruta de las administraciones públicas autonómicas según el protocolo de déficit excesivo en proporción al PIB,,%,14.0
2014,Deuda bruta de las administraciones públicas autonómicas según el protocolo de déficit excesivo en proporción al PIB,,%,13.4
2012,Deuda bruta de las administraciones públicas autonómicas según el protocolo de déficit excesivo en proporción al PIB,,%,11.0
2020,Deuda bruta de las administraciones públicas autonómicas según el protocolo de déficit excesivo en proporción al PIB,,%,15.0
2019,Deuda bruta de las administraciones públicas autonómicas según el protocolo de déficit excesivo en proporción al PIB,,%,11.8
2021,Deuda bruta de las administraciones públicas autonómicas según el protocolo de déficit excesivo en proporción al PIB,,%,14.3
2015,Deuda bruta de las administraciones públicas autonómicas según el protocolo de déficit excesivo en proporción al PIB,,%,13.8
2011,Deuda bruta de las administraciones públicas autonómicas según el protocolo de déficit excesivo en proporción al PIB,,%,8.3
