Year,Series,Sex,Type of tenure,Province,Units,Value
2023,Proportion of the total agricultural population with property rights or secure rights to agricultural land,Female,,Bizkaia,%,52.4
2013,Proportion of the total agricultural population with property rights or secure rights to agricultural land,Female,,Gipuzkoa,%,57.5
2016,Proportion of the total agricultural population with property rights or secure rights to agricultural land,Female,,Gipuzkoa,%,53.2
2023,Proportion of the total agricultural population with property rights or secure rights to agricultural land,Female,,Gipuzkoa,%,39.1
2009,Proportion of the total agricultural population with property rights or secure rights to agricultural land,Female,,Gipuzkoa,%,49.6
2013,Proportion of the total agricultural population with property rights or secure rights to agricultural land,Male,,,%,56.7
2020,Proportion of the total agricultural population with property rights or secure rights to agricultural land,Male,,,%,47.5
2009,Proportion of the total agricultural population with property rights or secure rights to agricultural land,Male,,,%,53.9
2023,Proportion of the total agricultural population with property rights or secure rights to agricultural land,Male,,,%,42.4
2016,Proportion of the total agricultural population with property rights or secure rights to agricultural land,Male,,,%,50.7
2016,Proportion of the total agricultural population with property rights or secure rights to agricultural land,Male,,Araba/Álava,%,42.6
2013,Proportion of the total agricultural population with property rights or secure rights to agricultural land,Male,,Araba/Álava,%,48.5
2009,Proportion of the total agricultural population with property rights or secure rights to agricultural land,Male,,Araba/Álava,%,49.2
2023,Proportion of the total agricultural population with property rights or secure rights to agricultural land,Male,,Araba/Álava,%,45.6
2023,Proportion of the total agricultural population with property rights or secure rights to agricultural land,Male,,Bizkaia,%,39.8
2013,Proportion of the total agricultural population with property rights or secure rights to agricultural land,Male,,Bizkaia,%,61.4
2016,Proportion of the total agricultural population with property rights or secure rights to agricultural land,Male,,Bizkaia,%,52.9
2009,Proportion of the total agricultural population with property rights or secure rights to agricultural land,Male,,Bizkaia,%,57.1
2013,Proportion of the total agricultural population with property rights or secure rights to agricultural land,Male,,Gipuzkoa,%,56.9
2016,Proportion of the total agricultural population with property rights or secure rights to agricultural land,Male,,Gipuzkoa,%,52.8
2023,Proportion of the total agricultural population with property rights or secure rights to agricultural land,Male,,Gipuzkoa,%,41.8
2009,Proportion of the total agricultural population with property rights or secure rights to agricultural land,Male,,Gipuzkoa,%,53.4
