Year,Series,Sexo,Tipo de contrato,Territorio histórico,Comarca,Municipio,Units,GeoCode,Value
2011,Tasa de ocupación,,,,,,%,,67.7
2020,Tasa de ocupación,,,,,,%,,70.9
2010,Tasa de ocupación,,,,,,%,,68.3
2017,Tasa de ocupación,,,,,,%,,70.0
2022,Tasa de ocupación,,,,,,%,,74.0
2012,Tasa de ocupación,,,,,,%,,66.3
2016,Tasa de ocupación,,,,,,%,,68.9
2013,Tasa de ocupación,,,,,,%,,66.0
2019,Tasa de ocupación,,,,,,%,,72.6
2018,Tasa de ocupación,,,,,,%,,72.0
2021,Tasa de ocupación,,,,,,%,,72.2
2015,Tasa de ocupación,,,,,,%,,67.6
2023,Tasa de ocupación,,,,,,%,,74.6
2014,Tasa de ocupación,,,,,,%,,66.4
2021,Tasa de ocupación,,,,,Abadiño,%,Abadiño,72.6
2019,Tasa de ocupación,,,,,Abadiño,%,Abadiño,72.9
2022,Tasa de ocupación,,,,,Abadiño,%,Abadiño,74.5
2010,Tasa de ocupación,,,,,Abadiño,%,Abadiño,65.7
2018,Tasa de ocupación,,,,,Abadiño,%,Abadiño,72.0
2015,Tasa de ocupación,,,,,Abadiño,%,Abadiño,68.7
2020,Tasa de ocupación,,,,,Abadiño,%,Abadiño,73.1
2016,Tasa de ocupación,,,,,Abadiño,%,Abadiño,69.6
2023,Tasa de ocupación,,,,,Abadiño,%,Abadiño,76.7
2021,Tasa de ocupación,,,,,Abaltzisketa,%,Abaltzisketa,79.3
2018,Tasa de ocupación,,,,,Abaltzisketa,%,Abaltzisketa,74.1
2020,Tasa de ocupación,,,,,Abaltzisketa,%,Abaltzisketa,82.1
2022,Tasa de ocupación,,,,,Abaltzisketa,%,Abaltzisketa,80.3
2023,Tasa de ocupación,,,,,Abaltzisketa,%,Abaltzisketa,78.4
2016,Tasa de ocupación,,,,,Abaltzisketa,%,Abaltzisketa,75.1
2015,Tasa de ocupación,,,,,Abaltzisketa,%,Abaltzisketa,77.3
2019,Tasa de ocupación,,,,,Abaltzisketa,%,Abaltzisketa,77.2
2010,Tasa de ocupación,,,,,Abaltzisketa,%,Abaltzisketa,76.8
2018,Tasa de ocupación,,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,66.4
2019,Tasa de ocupación,,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,68.2
