Year,Series,Non-communicable disease,Sex,Province,County,Municipality,Units,GeoCode,Value
2023,Mortality rate,Diabetes,,,,,"Per 100,000 inhabitants",,21.7
2015,Mortality rate,Cancer,,,,,"Per 100,000 inhabitants",,284.0
2019,Premature mortality rate (ages 30–70),"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",,,,,PT,,9.6
2023,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",,,,,"Per 100,000 inhabitants",,612.8
2020,Mortality rate,Cardiovascular diseases,,,,,"Per 100,000 inhabitants",,255.5
2019,Mortality rate,Cardiovascular diseases,,,,,"Per 100,000 inhabitants",,256.3
2016,Mortality rate,Chronic respiratory diseases,,,,,"Per 100,000 inhabitants",,76.3
2018,Mortality rate,Cancer,,,,,"Per 100,000 inhabitants",,281.7
2011,Mortality rate,Diabetes,,,,,"Per 100,000 inhabitants",,22.0
2012,Mortality rate,Diabetes,,,,,"Per 100,000 inhabitants",,21.8
2012,Mortality rate,Chronic respiratory diseases,,,,,"Per 100,000 inhabitants",,71.1
2010,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",,,,,"Per 100,000 inhabitants",,616.2
2015,Mortality rate,Chronic respiratory diseases,,,,,"Per 100,000 inhabitants",,78.8
2013,Mortality rate,Chronic respiratory diseases,,,,,"Per 100,000 inhabitants",,69.2
2019,Mortality rate,Chronic respiratory diseases,,,,,"Per 100,000 inhabitants",,76.6
2016,Mortality rate,Cardiovascular diseases,,,,,"Per 100,000 inhabitants",,263.8
2020,Mortality rate,Chronic respiratory diseases,,,,,"Per 100,000 inhabitants",,56.0
2020,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",,,,,"Per 100,000 inhabitants",,607.8
2011,Mortality rate,Chronic respiratory diseases,,,,,"Per 100,000 inhabitants",,65.4
2010,Mortality rate,Diabetes,,,,,"Per 100,000 inhabitants",,23.9
2022,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",,,,,"Per 100,000 inhabitants",,625.9
2019,Mortality rate,Cancer,,,,,"Per 100,000 inhabitants",,277.6
2014,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",,,,,"Per 100,000 inhabitants",,620.7
2017,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",,,,,"Per 100,000 inhabitants",,647.2
2014,Mortality rate,Chronic respiratory diseases,,,,,"Per 100,000 inhabitants",,68.7
2017,Mortality rate,Cardiovascular diseases,,,,,"Per 100,000 inhabitants",,264.6
2023,Mortality rate,Cancer,,,,,"Per 100,000 inhabitants",,274.9
2022,Mortality rate,Cancer,,,,,"Per 100,000 inhabitants",,282.3
2012,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",,,,,"Per 100,000 inhabitants",,628.5
2018,Mortality rate,Diabetes,,,,,"Per 100,000 inhabitants",,20.6
