Year,Series,Non-communicable disease,Sex,Province,County,Municipality,Units,GeoCode,Value
2017,Mortality rate,Chronic respiratory diseases,,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,79.3
2022,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,613.0
2010,Mortality rate,Cancer,,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,254.3
2012,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,608.3
2011,Mortality rate,Cardiovascular diseases,,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,249.5
2014,Mortality rate,Cardiovascular diseases,,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,230.9
2012,Mortality rate,Diabetes,,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,22.8
2012,Mortality rate,Cardiovascular diseases,,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,251.4
2018,Mortality rate,Cardiovascular diseases,,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,253.9
2023,Mortality rate,Cardiovascular diseases,,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,264.8
2017,Mortality rate,Cardiovascular diseases,,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,253.9
2019,Mortality rate,Cancer,,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,257.9
2021,Mortality rate,Cardiovascular diseases,,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,284.9
2015,Mortality rate,Chronic respiratory diseases,,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,75.2
2021,Mortality rate,Diabetes,,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,18.3
2021,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,621.2
2010,Mortality rate,Diabetes,,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,26.1
2020,Mortality rate,Cancer,,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,266.1
2013,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,595.4
2014,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,599.2
2023,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,627.4
2021,Mortality rate,Chronic respiratory diseases,,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,53.6
2010,Mortality rate,Cardiovascular diseases,,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,250.3
2017,Mortality rate,Cancer,,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,274.4
2019,Mortality rate,Chronic respiratory diseases,,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,71.9
2022,Mortality rate,Cardiovascular diseases,,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,264.6
2015,Mortality rate,Diabetes,,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,20.3
2013,Mortality rate,Cardiovascular diseases,,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,244.4
2020,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,592.1
2020,Mortality rate,Diabetes,,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,21.7
2011,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,605.6
2023,Mortality rate,Diabetes,,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,25.4
2015,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,613.5
2011,Mortality rate,Diabetes,,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,22.0
2016,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,603.6
2016,Mortality rate,Cardiovascular diseases,Female,,,,"Per 100,000 inhabitants",,269.1
2011,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Female,,,,"Per 100,000 inhabitants",,553.0
2019,Mortality rate,Diabetes,Female,,,,"Per 100,000 inhabitants",,22.8
2017,Mortality rate,Cardiovascular diseases,Female,,,,"Per 100,000 inhabitants",,271.6
2012,Mortality rate,Cancer,Female,,,,"Per 100,000 inhabitants",,193.8
2014,Mortality rate,Cancer,Female,,,,"Per 100,000 inhabitants",,216.6
2015,Mortality rate,Cancer,Female,,,,"Per 100,000 inhabitants",,218.4
2016,Mortality rate,Diabetes,Female,,,,"Per 100,000 inhabitants",,20.2
2018,Mortality rate,Cancer,Female,,,,"Per 100,000 inhabitants",,213.6
2021,Mortality rate,Cancer,Female,,,,"Per 100,000 inhabitants",,220.5
2017,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Female,,,,"Per 100,000 inhabitants",,581.7
2022,Mortality rate,Cancer,Female,,,,"Per 100,000 inhabitants",,228.0
2010,Mortality rate,Cardiovascular diseases,Female,,,,"Per 100,000 inhabitants",,262.6
2011,Mortality rate,Diabetes,Female,,,,"Per 100,000 inhabitants",,24.5
2019,Premature mortality rate (ages 30–70),"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Female,,,,PT,,6.5
2020,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Female,,,,"Per 100,000 inhabitants",,550.5
2010,Mortality rate,Cancer,Female,,,,"Per 100,000 inhabitants",,195.2
2014,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Female,,,,"Per 100,000 inhabitants",,556.0
2020,Mortality rate,Diabetes,Female,,,,"Per 100,000 inhabitants",,23.2
2020,Mortality rate,Cardiovascular diseases,Female,,,,"Per 100,000 inhabitants",,267.0
2012,Mortality rate,Cardiovascular diseases,Female,,,,"Per 100,000 inhabitants",,275.6
2013,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Female,,,,"Per 100,000 inhabitants",,538.5
2021,Mortality rate,Diabetes,Female,,,,"Per 100,000 inhabitants",,23.1
2015,Premature mortality rate (ages 30–70),"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Female,,,,PT,,6.6
2013,Mortality rate,Cardiovascular diseases,Female,,,,"Per 100,000 inhabitants",,252.4
2014,Mortality rate,Diabetes,Female,,,,"Per 100,000 inhabitants",,22.4
2019,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Female,,,,"Per 100,000 inhabitants",,567.0
2022,Mortality rate,Cardiovascular diseases,Female,,,,"Per 100,000 inhabitants",,272.8
2019,Mortality rate,Cardiovascular diseases,Female,,,,"Per 100,000 inhabitants",,260.7
2014,Mortality rate,Chronic respiratory diseases,Female,,,,"Per 100,000 inhabitants",,60.0
2013,Mortality rate,Cancer,Female,,,,"Per 100,000 inhabitants",,199.0
2012,Mortality rate,Diabetes,Female,,,,"Per 100,000 inhabitants",,24.3
2016,Mortality rate,Cancer,Female,,,,"Per 100,000 inhabitants",,215.0
2022,Mortality rate,Diabetes,Female,,,,"Per 100,000 inhabitants",,22.8
2023,Mortality rate,Cardiovascular diseases,Female,,,,"Per 100,000 inhabitants",,262.0
2020,Mortality rate,Chronic respiratory diseases,Female,,,,"Per 100,000 inhabitants",,49.8
2011,Mortality rate,Chronic respiratory diseases,Female,,,,"Per 100,000 inhabitants",,53.7
2017,Mortality rate,Diabetes,Female,,,,"Per 100,000 inhabitants",,18.5
2022,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Female,,,,"Per 100,000 inhabitants",,573.5
2021,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Female,,,,"Per 100,000 inhabitants",,566.5
2010,Premature mortality rate (ages 30–70),"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Female,,,,PT,,6.7
2012,Mortality rate,Chronic respiratory diseases,Female,,,,"Per 100,000 inhabitants",,60.5
2016,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Female,,,,"Per 100,000 inhabitants",,572.1
2018,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Female,,,,"Per 100,000 inhabitants",,580.4
2015,Mortality rate,Cardiovascular diseases,Female,,,,"Per 100,000 inhabitants",,275.9
2017,Mortality rate,Chronic respiratory diseases,Female,,,,"Per 100,000 inhabitants",,76.2
2020,Mortality rate,Cancer,Female,,,,"Per 100,000 inhabitants",,210.6
2010,Mortality rate,Diabetes,Female,,,,"Per 100,000 inhabitants",,26.6
2023,Mortality rate,Cancer,Female,,,,"Per 100,000 inhabitants",,213.6
2014,Mortality rate,Cardiovascular diseases,Female,,,,"Per 100,000 inhabitants",,257.0
2012,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Female,,,,"Per 100,000 inhabitants",,554.2
2013,Mortality rate,Chronic respiratory diseases,Female,,,,"Per 100,000 inhabitants",,60.1
2017,Mortality rate,Cancer,Female,,,,"Per 100,000 inhabitants",,215.4
2015,Mortality rate,Chronic respiratory diseases,Female,,,,"Per 100,000 inhabitants",,68.2
2019,Mortality rate,Chronic respiratory diseases,Female,,,,"Per 100,000 inhabitants",,68.1
2023,Mortality rate,Chronic respiratory diseases,Female,,,,"Per 100,000 inhabitants",,51.7
2011,Mortality rate,Cancer,Female,,,,"Per 100,000 inhabitants",,209.7
2018,Mortality rate,Cardiovascular diseases,Female,,,,"Per 100,000 inhabitants",,269.6
2010,Mortality rate,Chronic respiratory diseases,Female,,,,"Per 100,000 inhabitants",,52.5
2015,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Female,,,,"Per 100,000 inhabitants",,586.7
2013,Mortality rate,Diabetes,Female,,,,"Per 100,000 inhabitants",,27.0
2023,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Female,,,,"Per 100,000 inhabitants",,550.8
2021,Mortality rate,Chronic respiratory diseases,Female,,,,"Per 100,000 inhabitants",,43.8
2015,Mortality rate,Diabetes,Female,,,,"Per 100,000 inhabitants",,24.2
2018,Mortality rate,Chronic respiratory diseases,Female,,,,"Per 100,000 inhabitants",,75.0
2022,Mortality rate,Chronic respiratory diseases,Female,,,,"Per 100,000 inhabitants",,50.0
2023,Mortality rate,Diabetes,Female,,,,"Per 100,000 inhabitants",,23.5
2018,Mortality rate,Diabetes,Female,,,,"Per 100,000 inhabitants",,22.2
2021,Mortality rate,Cardiovascular diseases,Female,,,,"Per 100,000 inhabitants",,279.1
2010,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Female,,,,"Per 100,000 inhabitants",,536.9
2011,Mortality rate,Cardiovascular diseases,Female,,,,"Per 100,000 inhabitants",,265.1
2016,Mortality rate,Chronic respiratory diseases,Female,,,,"Per 100,000 inhabitants",,67.9
2019,Mortality rate,Cancer,Female,,,,"Per 100,000 inhabitants",,215.3
2013,Mortality rate,Cardiovascular diseases,Female,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,214.9
2018,Mortality rate,Chronic respiratory diseases,Female,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,62.1
2011,Mortality rate,Chronic respiratory diseases,Female,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,42.3
2016,Mortality rate,Chronic respiratory diseases,Female,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,58.7
2010,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Female,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,453.1
2019,Mortality rate,Chronic respiratory diseases,Female,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,64.0
2014,Mortality rate,Diabetes,Female,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,14.8
2020,Mortality rate,Chronic respiratory diseases,Female,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,48.8
2012,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Female,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,454.1
2016,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Female,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,468.7
2021,Mortality rate,Chronic respiratory diseases,Female,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,37.5
2019,Mortality rate,Diabetes,Female,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,14.9
2013,Mortality rate,Chronic respiratory diseases,Female,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,57.6
2014,Mortality rate,Chronic respiratory diseases,Female,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,48.1
2017,Mortality rate,Chronic respiratory diseases,Female,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,61.3
2021,Mortality rate,Cancer,Female,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,202.8
2017,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Female,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,500.8
2023,Mortality rate,Chronic respiratory diseases,Female,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,38.2
2022,Mortality rate,Diabetes,Female,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,17.7
2012,Mortality rate,Diabetes,Female,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,19.2
2016,Mortality rate,Diabetes,Female,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,18.9
2013,Mortality rate,Diabetes,Female,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,19.8
2010,Mortality rate,Diabetes,Female,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,28.2
2022,Mortality rate,Cancer,Female,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,208.2
2011,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Female,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,453.0
2023,Mortality rate,Cardiovascular diseases,Female,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,247.0
2022,Mortality rate,Cardiovascular diseases,Female,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,224.8
2020,Mortality rate,Cardiovascular diseases,Female,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,180.4
2021,Mortality rate,Cardiovascular diseases,Female,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,201.6
2020,Mortality rate,Diabetes,Female,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,19.1
2018,Mortality rate,Diabetes,Female,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,20.5
2015,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Female,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,526.7
2021,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Female,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,464.5
2017,Mortality rate,Diabetes,Female,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,20.0
2018,Mortality rate,Cardiovascular diseases,Female,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,197.6
2017,Mortality rate,Cardiovascular diseases,Female,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,213.1
2018,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Female,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,448.8
2015,Mortality rate,Diabetes,Female,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,22.1
2020,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Female,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,426.3
2016,Mortality rate,Cardiovascular diseases,Female,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,213.9
2013,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Female,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,470.1
2015,Mortality rate,Cardiovascular diseases,Female,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,224.7
2017,Mortality rate,Cancer,Female,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,206.4
2023,Mortality rate,Cancer,Female,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,191.7
2014,Mortality rate,Cardiovascular diseases,Female,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,196.1
2018,Mortality rate,Cancer,Female,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,168.7
2012,Mortality rate,Cancer,Female,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,161.7
2015,Mortality rate,Cancer,Female,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,220.4
2011,Mortality rate,Cardiovascular diseases,Female,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,207.2
2019,Mortality rate,Cancer,Female,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,187.7
2011,Mortality rate,Cancer,Female,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,174.2
2010,Mortality rate,Cardiovascular diseases,Female,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,224.0
2014,Mortality rate,Cancer,Female,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,178.9
2023,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Female,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,496.3
2011,Mortality rate,Diabetes,Female,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,29.2
2019,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Female,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,471.7
2020,Mortality rate,Cancer,Female,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,178.0
2010,Mortality rate,Cancer,Female,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,160.0
2022,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Female,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,498.7
2012,Mortality rate,Cardiovascular diseases,Female,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,227.4
2013,Mortality rate,Cancer,Female,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,177.8
2015,Mortality rate,Chronic respiratory diseases,Female,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,59.5
2022,Mortality rate,Chronic respiratory diseases,Female,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,47.9
2016,Mortality rate,Cancer,Female,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,177.2
2019,Mortality rate,Cardiovascular diseases,Female,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,205.0
2014,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Female,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,437.9
2010,Mortality rate,Chronic respiratory diseases,Female,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,40.8
2021,Mortality rate,Diabetes,Female,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,22.6
2012,Mortality rate,Chronic respiratory diseases,Female,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,45.8
2023,Mortality rate,Diabetes,Female,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,19.4
2013,Mortality rate,Diabetes,Female,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,28.5
2012,Mortality rate,Chronic respiratory diseases,Female,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,60.0
2016,Mortality rate,Cardiovascular diseases,Female,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,295.8
2019,Mortality rate,Diabetes,Female,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,26.1
2023,Mortality rate,Cardiovascular diseases,Female,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,258.7
2021,Mortality rate,Diabetes,Female,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,25.7
2023,Mortality rate,Chronic respiratory diseases,Female,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,53.2
2018,Mortality rate,Chronic respiratory diseases,Female,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,80.8
2022,Mortality rate,Cancer,Female,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,245.7
2019,Mortality rate,Chronic respiratory diseases,Female,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,71.1
2021,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Female,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,591.7
2020,Mortality rate,Cancer,Female,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,225.3
2011,Mortality rate,Chronic respiratory diseases,Female,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,53.3
2023,Mortality rate,Cancer,Female,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,222.4
2016,Mortality rate,Cancer,Female,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,234.5
2020,Mortality rate,Chronic respiratory diseases,Female,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,51.6
2014,Mortality rate,Cancer,Female,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,231.8
2012,Mortality rate,Cancer,Female,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,205.2
2015,Mortality rate,Cancer,Female,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,220.2
2017,Mortality rate,Diabetes,Female,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,19.1
2018,Mortality rate,Cancer,Female,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,224.1
2022,Mortality rate,Diabetes,Female,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,23.6
2011,Mortality rate,Cancer,Female,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,222.7
2023,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Female,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,556.6
2015,Mortality rate,Chronic respiratory diseases,Female,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,72.3
2016,Mortality rate,Chronic respiratory diseases,Female,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,68.6
2014,Mortality rate,Chronic respiratory diseases,Female,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,57.8
2022,Mortality rate,Chronic respiratory diseases,Female,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,52.3
2022,Mortality rate,Cardiovascular diseases,Female,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,285.4
2013,Mortality rate,Cancer,Female,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,206.0
2011,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Female,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,583.9
2019,Mortality rate,Cancer,Female,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,226.5
2015,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Female,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,619.1
2021,Mortality rate,Chronic respiratory diseases,Female,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,46.9
2019,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Female,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,601.9
2014,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Female,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,605.0
2013,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Female,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,564.5
2010,Mortality rate,Cancer,Female,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,209.0
2010,Mortality rate,Chronic respiratory diseases,Female,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,51.0
2015,Mortality rate,Cardiovascular diseases,Female,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,300.9
2021,Mortality rate,Cancer,Female,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,229.8
2017,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Female,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,614.1
2012,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Female,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,587.6
2017,Mortality rate,Cardiovascular diseases,Female,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,294.9
2013,Mortality rate,Chronic respiratory diseases,Female,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,61.8
2011,Mortality rate,Cardiovascular diseases,Female,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,286.1
2014,Mortality rate,Cardiovascular diseases,Female,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,289.9
2010,Mortality rate,Cardiovascular diseases,Female,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,278.7
2013,Mortality rate,Cardiovascular diseases,Female,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,268.2
2016,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Female,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,620.9
2019,Mortality rate,Cardiovascular diseases,Female,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,278.1
2022,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Female,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,607.0
2021,Mortality rate,Cardiovascular diseases,Female,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,289.4
2018,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Female,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,620.5
2012,Mortality rate,Cardiovascular diseases,Female,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,298.2
2018,Mortality rate,Diabetes,Female,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,22.6
2016,Mortality rate,Diabetes,Female,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,22.0
2014,Mortality rate,Diabetes,Female,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,25.5
2018,Mortality rate,Cardiovascular diseases,Female,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,292.8
2017,Mortality rate,Chronic respiratory diseases,Female,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,81.7
2010,Mortality rate,Diabetes,Female,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,24.9
