Year,Province,Sex,Units,Value
2023,,,"Per 1,000 live births",1.8
2017,,,"Per 1,000 live births",1.4
2020,,,"Per 1,000 live births",1.8
2024,,,"Per 1,000 live births",1.2
2019,,,"Per 1,000 live births",2.1
2014,,,"Per 1,000 live births",1.5
2013,,,"Per 1,000 live births",1.5
2011,,,"Per 1,000 live births",1.7
2010,,,"Per 1,000 live births",1.7
2022,,,"Per 1,000 live births",2.2
2016,,,"Per 1,000 live births",1.4
2021,,,"Per 1,000 live births",1.5
2018,,,"Per 1,000 live births",2.2
2012,,,"Per 1,000 live births",1.7
2015,,,"Per 1,000 live births",1.7
2010,Araba/Álava,,"Per 1,000 live births",1.5
2019,Araba/Álava,,"Per 1,000 live births",1.6
2017,Araba/Álava,,"Per 1,000 live births",1.0
2022,Araba/Álava,,"Per 1,000 live births",3.1
2023,Araba/Álava,,"Per 1,000 live births",3.6
2015,Araba/Álava,,"Per 1,000 live births",0.9
2011,Araba/Álava,,"Per 1,000 live births",2.0
2021,Araba/Álava,,"Per 1,000 live births",3.0
2018,Araba/Álava,,"Per 1,000 live births",1.5
2020,Araba/Álava,,"Per 1,000 live births",1.3
2024,Araba/Álava,,"Per 1,000 live births",2.9
2016,Araba/Álava,,"Per 1,000 live births",1.6
2012,Araba/Álava,,"Per 1,000 live births",2.4
2013,Araba/Álava,,"Per 1,000 live births",1.3
2014,Araba/Álava,,"Per 1,000 live births",1.8
2019,Bizkaia,,"Per 1,000 live births",2.6
2020,Bizkaia,,"Per 1,000 live births",1.8
2015,Bizkaia,,"Per 1,000 live births",2.1
2011,Bizkaia,,"Per 1,000 live births",2.1
2012,Bizkaia,,"Per 1,000 live births",1.7
2016,Bizkaia,,"Per 1,000 live births",1.6
2018,Bizkaia,,"Per 1,000 live births",2.6
2010,Bizkaia,,"Per 1,000 live births",2.4
2014,Bizkaia,,"Per 1,000 live births",1.3
2021,Bizkaia,,"Per 1,000 live births",1.1
2013,Bizkaia,,"Per 1,000 live births",1.0
2023,Bizkaia,,"Per 1,000 live births",1.6
2022,Bizkaia,,"Per 1,000 live births",2.2
2017,Bizkaia,,"Per 1,000 live births",1.9
2024,Bizkaia,,"Per 1,000 live births",0.8
2018,Gipuzkoa,,"Per 1,000 live births",1.8
2015,Gipuzkoa,,"Per 1,000 live births",1.4
2013,Gipuzkoa,,"Per 1,000 live births",2.2
2021,Gipuzkoa,,"Per 1,000 live births",1.4
2017,Gipuzkoa,,"Per 1,000 live births",0.9
2016,Gipuzkoa,,"Per 1,000 live births",1.0
2024,Gipuzkoa,,"Per 1,000 live births",1.1
2012,Gipuzkoa,,"Per 1,000 live births",1.3
2023,Gipuzkoa,,"Per 1,000 live births",1.1
2011,Gipuzkoa,,"Per 1,000 live births",1.0
2020,Gipuzkoa,,"Per 1,000 live births",2.0
2010,Gipuzkoa,,"Per 1,000 live births",1.0
2019,Gipuzkoa,,"Per 1,000 live births",1.6
2014,Gipuzkoa,,"Per 1,000 live births",1.6
2022,Gipuzkoa,,"Per 1,000 live births",1.8
2010,,Female,"Per 1,000 live births",1.7
2023,,Female,"Per 1,000 live births",1.7
2012,,Female,"Per 1,000 live births",1.8
2021,,Female,"Per 1,000 live births",1.3
2014,,Female,"Per 1,000 live births",1.3
2016,,Female,"Per 1,000 live births",1.2
2018,,Female,"Per 1,000 live births",2.3
2024,,Female,"Per 1,000 live births",0.9
2015,,Female,"Per 1,000 live births",1.8
2011,,Female,"Per 1,000 live births",2.6
2020,,Female,"Per 1,000 live births",2.1
2019,,Female,"Per 1,000 live births",2.0
2017,,Female,"Per 1,000 live births",1.3
2013,,Female,"Per 1,000 live births",1.0
2022,,Female,"Per 1,000 live births",1.7
2015,Araba/Álava,Female,"Per 1,000 live births",0.7
2023,Araba/Álava,Female,"Per 1,000 live births",2.9
2014,Araba/Álava,Female,"Per 1,000 live births",1.9
2013,Araba/Álava,Female,"Per 1,000 live births",0.0
2022,Araba/Álava,Female,"Per 1,000 live births",0.9
2012,Araba/Álava,Female,"Per 1,000 live births",2.6
2011,Araba/Álava,Female,"Per 1,000 live births",2.4
2017,Araba/Álava,Female,"Per 1,000 live births",1.4
2021,Araba/Álava,Female,"Per 1,000 live births",2.7
2019,Araba/Álava,Female,"Per 1,000 live births",2.4
2020,Araba/Álava,Female,"Per 1,000 live births",0.9
2018,Araba/Álava,Female,"Per 1,000 live births",0.0
2010,Araba/Álava,Female,"Per 1,000 live births",0.6
2024,Araba/Álava,Female,"Per 1,000 live births",2.9
2016,Araba/Álava,Female,"Per 1,000 live births",1.3
2017,Bizkaia,Female,"Per 1,000 live births",2.0
2020,Bizkaia,Female,"Per 1,000 live births",2.6
2024,Bizkaia,Female,"Per 1,000 live births",0.3
2022,Bizkaia,Female,"Per 1,000 live births",2.1
2011,Bizkaia,Female,"Per 1,000 live births",3.2
2010,Bizkaia,Female,"Per 1,000 live births",2.3
2018,Bizkaia,Female,"Per 1,000 live births",3.1
2014,Bizkaia,Female,"Per 1,000 live births",1.3
2012,Bizkaia,Female,"Per 1,000 live births",2.0
2016,Bizkaia,Female,"Per 1,000 live births",1.6
2013,Bizkaia,Female,"Per 1,000 live births",1.1
2015,Bizkaia,Female,"Per 1,000 live births",2.9
2019,Bizkaia,Female,"Per 1,000 live births",2.4
2021,Bizkaia,Female,"Per 1,000 live births",0.9
2023,Bizkaia,Female,"Per 1,000 live births",1.5
2010,Gipuzkoa,Female,"Per 1,000 live births",1.4
2024,Gipuzkoa,Female,"Per 1,000 live births",0.9
2023,Gipuzkoa,Female,"Per 1,000 live births",1.3
2022,Gipuzkoa,Female,"Per 1,000 live births",1.4
2021,Gipuzkoa,Female,"Per 1,000 live births",1.3
2020,Gipuzkoa,Female,"Per 1,000 live births",2.1
2019,Gipuzkoa,Female,"Per 1,000 live births",1.2
2018,Gipuzkoa,Female,"Per 1,000 live births",2.3
2017,Gipuzkoa,Female,"Per 1,000 live births",0.4
2016,Gipuzkoa,Female,"Per 1,000 live births",0.7
2015,Gipuzkoa,Female,"Per 1,000 live births",0.6
2014,Gipuzkoa,Female,"Per 1,000 live births",1.0
2013,Gipuzkoa,Female,"Per 1,000 live births",1.3
2012,Gipuzkoa,Female,"Per 1,000 live births",1.2
2011,Gipuzkoa,Female,"Per 1,000 live births",1.7
2018,,Male,"Per 1,000 live births",2.1
2013,,Male,"Per 1,000 live births",1.9
2016,,Male,"Per 1,000 live births",1.6
2023,,Male,"Per 1,000 live births",1.9
2024,,Male,"Per 1,000 live births",1.5
2014,,Male,"Per 1,000 live births",1.7
2010,,Male,"Per 1,000 live births",1.8
2017,,Male,"Per 1,000 live births",1.5
2020,,Male,"Per 1,000 live births",1.4
2011,,Male,"Per 1,000 live births",0.8
2012,,Male,"Per 1,000 live births",1.6
2015,,Male,"Per 1,000 live births",1.6
2019,,Male,"Per 1,000 live births",2.2
2021,,Male,"Per 1,000 live births",1.8
2022,,Male,"Per 1,000 live births",2.7
2010,Araba/Álava,Male,"Per 1,000 live births",2.3
2017,Araba/Álava,Male,"Per 1,000 live births",0.7
2021,Araba/Álava,Male,"Per 1,000 live births",3.2
2023,Araba/Álava,Male,"Per 1,000 live births",4.3
2013,Araba/Álava,Male,"Per 1,000 live births",2.5
2012,Araba/Álava,Male,"Per 1,000 live births",2.3
2015,Araba/Álava,Male,"Per 1,000 live births",1.2
2022,Araba/Álava,Male,"Per 1,000 live births",5.1
2016,Araba/Álava,Male,"Per 1,000 live births",1.9
2011,Araba/Álava,Male,"Per 1,000 live births",1.7
2024,Araba/Álava,Male,"Per 1,000 live births",2.8
2014,Araba/Álava,Male,"Per 1,000 live births",1.8
2020,Araba/Álava,Male,"Per 1,000 live births",1.6
2019,Araba/Álava,Male,"Per 1,000 live births",0.8
2018,Araba/Álava,Male,"Per 1,000 live births",2.9
2024,Bizkaia,Male,"Per 1,000 live births",1.2
2022,Bizkaia,Male,"Per 1,000 live births",2.3
2021,Bizkaia,Male,"Per 1,000 live births",1.4
2020,Bizkaia,Male,"Per 1,000 live births",1.0
2019,Bizkaia,Male,"Per 1,000 live births",2.8
2018,Bizkaia,Male,"Per 1,000 live births",2.2
2017,Bizkaia,Male,"Per 1,000 live births",1.8
2023,Bizkaia,Male,"Per 1,000 live births",1.8
2016,Bizkaia,Male,"Per 1,000 live births",1.7
2015,Bizkaia,Male,"Per 1,000 live births",1.4
2014,Bizkaia,Male,"Per 1,000 live births",1.4
2013,Bizkaia,Male,"Per 1,000 live births",1.0
2012,Bizkaia,Male,"Per 1,000 live births",1.5
2011,Bizkaia,Male,"Per 1,000 live births",0.9
2010,Bizkaia,Male,"Per 1,000 live births",2.4
2015,Gipuzkoa,Male,"Per 1,000 live births",2.2
2014,Gipuzkoa,Male,"Per 1,000 live births",2.2
2013,Gipuzkoa,Male,"Per 1,000 live births",3.1
2012,Gipuzkoa,Male,"Per 1,000 live births",1.4
2011,Gipuzkoa,Male,"Per 1,000 live births",0.3
2010,Gipuzkoa,Male,"Per 1,000 live births",0.5
2023,Gipuzkoa,Male,"Per 1,000 live births",0.9
2024,Gipuzkoa,Male,"Per 1,000 live births",1.3
2022,Gipuzkoa,Male,"Per 1,000 live births",2.1
2021,Gipuzkoa,Male,"Per 1,000 live births",1.6
2020,Gipuzkoa,Male,"Per 1,000 live births",1.9
2019,Gipuzkoa,Male,"Per 1,000 live births",1.9
2018,Gipuzkoa,Male,"Per 1,000 live births",1.4
2017,Gipuzkoa,Male,"Per 1,000 live births",1.4
2016,Gipuzkoa,Male,"Per 1,000 live births",1.3
