Year,Sexua,Lurralde historikoa,Units,Value
2019,,,Milioi biztanleko,6162.8
2021,,,Milioi biztanleko,6560.5
2023,,,Milioi biztanleko,7408.0
2020,,,Milioi biztanleko,6204.9
2022,,,Milioi biztanleko,6953.0
2010,,,Milioi biztanleko,5098.1
2016,,,Milioi biztanleko,5481.3
2013,,,Milioi biztanleko,5496.2
2014,,,Milioi biztanleko,5536.2
2017,,,Milioi biztanleko,5788.4
2015,,,Milioi biztanleko,5564.5
2011,,,Milioi biztanleko,5180.9
2012,,,Milioi biztanleko,5399.2
2018,,,Milioi biztanleko,6027.3
2010,,Araba / Álava,Milioi biztanleko,3631.3
2017,,Araba / Álava,Milioi biztanleko,5233.3
2019,,Araba / Álava,Milioi biztanleko,4782.0
2013,,Araba / Álava,Milioi biztanleko,4682.2
2012,,Araba / Álava,Milioi biztanleko,4148.7
2016,,Araba / Álava,Milioi biztanleko,4651.0
2023,,Araba / Álava,Milioi biztanleko,5378.3
2011,,Araba / Álava,Milioi biztanleko,3879.2
2018,,Araba / Álava,Milioi biztanleko,5238.7
2022,,Araba / Álava,Milioi biztanleko,5099.6
2014,,Araba / Álava,Milioi biztanleko,4613.2
2015,,Araba / Álava,Milioi biztanleko,4818.1
2020,,Araba / Álava,Milioi biztanleko,4863.1
2021,,Araba / Álava,Milioi biztanleko,4891.0
2011,,Bizkaia,Milioi biztanleko,4782.9
2012,,Bizkaia,Milioi biztanleko,5045.7
2013,,Bizkaia,Milioi biztanleko,5116.9
2016,,Bizkaia,Milioi biztanleko,4889.7
2022,,Bizkaia,Milioi biztanleko,6289.1
2019,,Bizkaia,Milioi biztanleko,5507.4
2014,,Bizkaia,Milioi biztanleko,5167.9
2023,,Bizkaia,Milioi biztanleko,6728.5
2020,,Bizkaia,Milioi biztanleko,5535.1
2018,,Bizkaia,Milioi biztanleko,5230.3
2010,,Bizkaia,Milioi biztanleko,4751.5
2015,,Bizkaia,Milioi biztanleko,5109.1
2021,,Bizkaia,Milioi biztanleko,5837.9
2017,,Bizkaia,Milioi biztanleko,4989.5
2017,,Gipuzkoa,Milioi biztanleko,7317.1
2018,,Gipuzkoa,Milioi biztanleko,7658.9
2022,,Gipuzkoa,Milioi biztanleko,8865.0
2013,,Gipuzkoa,Milioi biztanleko,6478.7
2021,,Gipuzkoa,Milioi biztanleko,8478.4
2010,,Gipuzkoa,Milioi biztanleko,6331.9
2019,,Gipuzkoa,Milioi biztanleko,7839.7
2015,,Gipuzkoa,Milioi biztanleko,6633.7
2016,,Gipuzkoa,Milioi biztanleko,6805.1
2011,,Gipuzkoa,Milioi biztanleko,6424.6
2012,,Gipuzkoa,Milioi biztanleko,6543.7
2020,,Gipuzkoa,Milioi biztanleko,7887.6
2023,,Gipuzkoa,Milioi biztanleko,9429.7
2014,,Gipuzkoa,Milioi biztanleko,6547.1
2016,Emakumea,,Milioi biztanleko,3765.8
2015,Emakumea,,Milioi biztanleko,3839.5
2013,Emakumea,,Milioi biztanleko,3752.6
2012,Emakumea,,Milioi biztanleko,3709.1
2014,Emakumea,,Milioi biztanleko,3768.1
2022,Emakumea,,Milioi biztanleko,4895.7
2021,Emakumea,,Milioi biztanleko,4618.4
2019,Emakumea,,Milioi biztanleko,4346.2
2017,Emakumea,,Milioi biztanleko,3992.2
2010,Emakumea,,Milioi biztanleko,3384.7
2020,Emakumea,,Milioi biztanleko,4380.2
2018,Emakumea,,Milioi biztanleko,4147.5
2023,Emakumea,,Milioi biztanleko,5187.1
2011,Emakumea,,Milioi biztanleko,3584.4
2022,Emakumea,Araba / Álava,Milioi biztanleko,3546.2
2018,Emakumea,Araba / Álava,Milioi biztanleko,3669.6
2020,Emakumea,Araba / Álava,Milioi biztanleko,3511.8
2010,Emakumea,Araba / Álava,Milioi biztanleko,2464.5
2021,Emakumea,Araba / Álava,Milioi biztanleko,3378.9
2019,Emakumea,Araba / Álava,Milioi biztanleko,3383.0
2017,Emakumea,Araba / Álava,Milioi biztanleko,3617.4
2015,Emakumea,Araba / Álava,Milioi biztanleko,3322.1
2016,Emakumea,Araba / Álava,Milioi biztanleko,3380.6
2013,Emakumea,Araba / Álava,Milioi biztanleko,3223.8
2012,Emakumea,Araba / Álava,Milioi biztanleko,3030.0
2011,Emakumea,Araba / Álava,Milioi biztanleko,2737.7
2014,Emakumea,Araba / Álava,Milioi biztanleko,3264.7
2023,Emakumea,Araba / Álava,Milioi biztanleko,3683.1
2022,Emakumea,Bizkaia,Milioi biztanleko,4597.1
2023,Emakumea,Bizkaia,Milioi biztanleko,4827.9
2019,Emakumea,Bizkaia,Milioi biztanleko,4155.5
2018,Emakumea,Bizkaia,Milioi biztanleko,3755.2
2016,Emakumea,Bizkaia,Milioi biztanleko,3523.9
2017,Emakumea,Bizkaia,Milioi biztanleko,3675.2
2014,Emakumea,Bizkaia,Milioi biztanleko,3632.7
2021,Emakumea,Bizkaia,Milioi biztanleko,4234.3
2013,Emakumea,Bizkaia,Milioi biztanleko,3619.7
2012,Emakumea,Bizkaia,Milioi biztanleko,3584.5
2015,Emakumea,Bizkaia,Milioi biztanleko,3690.4
2011,Emakumea,Bizkaia,Milioi biztanleko,3512.7
2010,Emakumea,Bizkaia,Milioi biztanleko,3416.8
2020,Emakumea,Bizkaia,Milioi biztanleko,4092.8
2022,Emakumea,Gipuzkoa,Milioi biztanleko,5997.6
2021,Emakumea,Gipuzkoa,Milioi biztanleko,5805.7
2020,Emakumea,Gipuzkoa,Milioi biztanleko,5241.3
2019,Emakumea,Gipuzkoa,Milioi biztanleko,5093.2
2018,Emakumea,Gipuzkoa,Milioi biztanleko,4999.5
2017,Emakumea,Gipuzkoa,Milioi biztanleko,4675.2
2023,Emakumea,Gipuzkoa,Milioi biztanleko,6459.3
2016,Emakumea,Gipuzkoa,Milioi biztanleko,4332.1
2015,Emakumea,Gipuzkoa,Milioi biztanleko,4315.0
2014,Emakumea,Gipuzkoa,Milioi biztanleko,4215.1
2013,Emakumea,Gipuzkoa,Milioi biztanleko,4207.3
2012,Emakumea,Gipuzkoa,Milioi biztanleko,4219.8
2011,Emakumea,Gipuzkoa,Milioi biztanleko,4082.6
2010,Emakumea,Gipuzkoa,Milioi biztanleko,3741.4
2021,Gizona,,Milioi biztanleko,8621.8
2023,Gizona,,Milioi biztanleko,9765.4
2019,Gizona,,Milioi biztanleko,8090.4
2013,Gizona,,Milioi biztanleko,7333.0
2020,Gizona,,Milioi biztanleko,8141.1
2016,Gizona,,Milioi biztanleko,7297.3
2015,Gizona,,Milioi biztanleko,7387.6
2010,Gizona,,Milioi biztanleko,6893.1
2018,Gizona,,Milioi biztanleko,8021.9
2017,Gizona,,Milioi biztanleko,7693.1
2012,Gizona,,Milioi biztanleko,7175.1
2022,Gizona,,Milioi biztanleko,9138.4
2014,Gizona,,Milioi biztanleko,7402.4
2011,Gizona,,Milioi biztanleko,6855.6
2021,Gizona,Araba / Álava,Milioi biztanleko,6457.5
2022,Gizona,Araba / Álava,Milioi biztanleko,6710.7
2012,Gizona,Araba / Álava,Milioi biztanleko,5279.9
2015,Gizona,Araba / Álava,Milioi biztanleko,6350.1
2013,Gizona,Araba / Álava,Milioi biztanleko,6165.4
2020,Gizona,Araba / Álava,Milioi biztanleko,6262.0
2011,Gizona,Araba / Álava,Milioi biztanleko,5028.8
2018,Gizona,Araba / Álava,Milioi biztanleko,6858.8
2016,Gizona,Araba / Álava,Milioi biztanleko,5955.8
2014,Gizona,Araba / Álava,Milioi biztanleko,5990.1
2010,Gizona,Araba / Álava,Milioi biztanleko,4804.1
2023,Gizona,Araba / Álava,Milioi biztanleko,7137.2
2017,Gizona,Araba / Álava,Milioi biztanleko,6899.4
2019,Gizona,Araba / Álava,Milioi biztanleko,6228.3
2023,Gizona,Bizkaia,Milioi biztanleko,8775.0
2022,Gizona,Bizkaia,Milioi biztanleko,8114.2
2021,Gizona,Bizkaia,Milioi biztanleko,7567.0
2020,Gizona,Bizkaia,Milioi biztanleko,7090.2
2019,Gizona,Bizkaia,Milioi biztanleko,6965.8
2018,Gizona,Bizkaia,Milioi biztanleko,6821.3
2016,Gizona,Bizkaia,Milioi biztanleko,6360.0
2017,Gizona,Bizkaia,Milioi biztanleko,6406.4
2015,Gizona,Bizkaia,Milioi biztanleko,6635.1
2014,Gizona,Bizkaia,Milioi biztanleko,6817.3
2013,Gizona,Bizkaia,Milioi biztanleko,6721.9
2012,Gizona,Bizkaia,Milioi biztanleko,6607.9
2011,Gizona,Bizkaia,Milioi biztanleko,6138.2
2010,Gizona,Bizkaia,Milioi biztanleko,6173.4
2020,Gizona,Gipuzkoa,Milioi biztanleko,10657.0
2019,Gizona,Gipuzkoa,Milioi biztanleko,10713.1
2018,Gizona,Gipuzkoa,Milioi biztanleko,10442.2
2017,Gizona,Gipuzkoa,Milioi biztanleko,10081.3
2016,Gizona,Gipuzkoa,Milioi biztanleko,9388.3
2015,Gizona,Gipuzkoa,Milioi biztanleko,9051.2
2011,Gizona,Gipuzkoa,Milioi biztanleko,8859.0
2014,Gizona,Gipuzkoa,Milioi biztanleko,8975.4
2012,Gizona,Gipuzkoa,Milioi biztanleko,8960.0
2013,Gizona,Gipuzkoa,Milioi biztanleko,8841.7
2010,Gizona,Gipuzkoa,Milioi biztanleko,9021.4
2023,Gizona,Gipuzkoa,Milioi biztanleko,12544.4
2022,Gizona,Gipuzkoa,Milioi biztanleko,11871.3
2021,Gizona,Gipuzkoa,Milioi biztanleko,11275.8
