Year,Series,Lurralde historikoa,Units,Value
2017,"Turismoak sortutako BPG, BPG osoaren proportzioan",,%,6.4
2021,"Turismoak sortutako BPG, BPG osoaren proportzioan",,%,4.0
2015,"Turismoak sortutako BPG, BPG osoaren proportzioan",,%,6.3
2018,"Turismoak sortutako BPG, BPG osoaren proportzioan",,%,6.3
2012,"Turismoak sortutako BPG, BPG osoaren proportzioan",,%,5.7
2016,"Turismoak sortutako BPG, BPG osoaren proportzioan",,%,6.5
2014,"Turismoak sortutako BPG, BPG osoaren proportzioan",,%,5.9
2013,"Turismoak sortutako BPG, BPG osoaren proportzioan",,%,5.9
2020,"Turismoak sortutako BPG, BPG osoaren proportzioan",,%,3.8
2011,"Turismoak sortutako BPG, BPG osoaren proportzioan",,%,5.5
2022,"Turismoak sortutako BPG, BPG osoaren proportzioan",,%,5.5
2010,"Turismoak sortutako BPG, BPG osoaren proportzioan",,%,5.4
2019,"Turismoak sortutako BPG, BPG osoaren proportzioan",,%,6.3
2023,"Turismoak sortutako BPG, BPG osoaren proportzioan",,%,6.6
2012,"Turismoak sortutako BPG, BPG osoaren proportzioan",Araba / Álava,%,5.2
2020,"Turismoak sortutako BPG, BPG osoaren proportzioan",Araba / Álava,%,3.4
2011,"Turismoak sortutako BPG, BPG osoaren proportzioan",Araba / Álava,%,4.8
2014,"Turismoak sortutako BPG, BPG osoaren proportzioan",Araba / Álava,%,5.1
2021,"Turismoak sortutako BPG, BPG osoaren proportzioan",Araba / Álava,%,3.7
2023,"Turismoak sortutako BPG, BPG osoaren proportzioan",Araba / Álava,%,5.7
2019,"Turismoak sortutako BPG, BPG osoaren proportzioan",Araba / Álava,%,5.1
2013,"Turismoak sortutako BPG, BPG osoaren proportzioan",Araba / Álava,%,5.1
2010,"Turismoak sortutako BPG, BPG osoaren proportzioan",Araba / Álava,%,4.6
2018,"Turismoak sortutako BPG, BPG osoaren proportzioan",Araba / Álava,%,5.2
2017,"Turismoak sortutako BPG, BPG osoaren proportzioan",Araba / Álava,%,5.3
2022,"Turismoak sortutako BPG, BPG osoaren proportzioan",Araba / Álava,%,4.7
2015,"Turismoak sortutako BPG, BPG osoaren proportzioan",Araba / Álava,%,5.3
2016,"Turismoak sortutako BPG, BPG osoaren proportzioan",Araba / Álava,%,5.4
2020,"Turismoak sortutako BPG, BPG osoaren proportzioan",Bizkaia,%,3.2
2014,"Turismoak sortutako BPG, BPG osoaren proportzioan",Bizkaia,%,5.3
2021,"Turismoak sortutako BPG, BPG osoaren proportzioan",Bizkaia,%,3.4
2018,"Turismoak sortutako BPG, BPG osoaren proportzioan",Bizkaia,%,5.7
2013,"Turismoak sortutako BPG, BPG osoaren proportzioan",Bizkaia,%,5.2
2016,"Turismoak sortutako BPG, BPG osoaren proportzioan",Bizkaia,%,5.8
2011,"Turismoak sortutako BPG, BPG osoaren proportzioan",Bizkaia,%,4.8
2010,"Turismoak sortutako BPG, BPG osoaren proportzioan",Bizkaia,%,4.7
2012,"Turismoak sortutako BPG, BPG osoaren proportzioan",Bizkaia,%,5.0
2017,"Turismoak sortutako BPG, BPG osoaren proportzioan",Bizkaia,%,5.8
2019,"Turismoak sortutako BPG, BPG osoaren proportzioan",Bizkaia,%,5.7
2022,"Turismoak sortutako BPG, BPG osoaren proportzioan",Bizkaia,%,4.7
2015,"Turismoak sortutako BPG, BPG osoaren proportzioan",Bizkaia,%,5.6
2023,"Turismoak sortutako BPG, BPG osoaren proportzioan",Bizkaia,%,5.7
2013,"Turismoak sortutako BPG, BPG osoaren proportzioan",Gipuzkoa,%,7.2
2011,"Turismoak sortutako BPG, BPG osoaren proportzioan",Gipuzkoa,%,6.8
2012,"Turismoak sortutako BPG, BPG osoaren proportzioan",Gipuzkoa,%,7.1
2010,"Turismoak sortutako BPG, BPG osoaren proportzioan",Gipuzkoa,%,6.8
2017,"Turismoak sortutako BPG, BPG osoaren proportzioan",Gipuzkoa,%,7.9
2015,"Turismoak sortutako BPG, BPG osoaren proportzioan",Gipuzkoa,%,7.8
2023,"Turismoak sortutako BPG, BPG osoaren proportzioan",Gipuzkoa,%,8.4
2022,"Turismoak sortutako BPG, BPG osoaren proportzioan",Gipuzkoa,%,7.0
2020,"Turismoak sortutako BPG, BPG osoaren proportzioan",Gipuzkoa,%,4.7
2019,"Turismoak sortutako BPG, BPG osoaren proportzioan",Gipuzkoa,%,7.8
2021,"Turismoak sortutako BPG, BPG osoaren proportzioan",Gipuzkoa,%,5.2
2018,"Turismoak sortutako BPG, BPG osoaren proportzioan",Gipuzkoa,%,7.7
2016,"Turismoak sortutako BPG, BPG osoaren proportzioan",Gipuzkoa,%,8.1
2014,"Turismoak sortutako BPG, BPG osoaren proportzioan",Gipuzkoa,%,7.4
