Year,Sexo,Territorio histórico,Units,Value
2013,,,%,5.6
2018,,,%,4.1
2023,,,%,8.8
2018,,Araba/Álava,%,3.4
2023,,Araba/Álava,%,11.1
2013,,Araba/Álava,%,6.1
2013,,Bizkaia,%,5.6
2023,,Bizkaia,%,7.6
2018,,Bizkaia,%,3.9
2018,,Gipuzkoa,%,4.7
2023,,Gipuzkoa,%,9.6
2013,,Gipuzkoa,%,5.4
2018,Mujer,,%,4.8
2013,Mujer,,%,6.5
2023,Mujer,,%,9.8
2023,Mujer,Araba/Álava,%,14.2
2013,Mujer,Araba/Álava,%,7.1
2018,Mujer,Araba/Álava,%,5.0
2013,Mujer,Bizkaia,%,6.6
2023,Mujer,Bizkaia,%,8.6
2018,Mujer,Bizkaia,%,4.6
2023,Mujer,Gipuzkoa,%,9.8
2018,Mujer,Gipuzkoa,%,5.1
2013,Mujer,Gipuzkoa,%,6.0
2013,Hombre,,%,4.7
2018,Hombre,,%,3.3
2023,Hombre,,%,7.6
2023,Hombre,Araba/Álava,%,7.9
2013,Hombre,Araba/Álava,%,5.1
2018,Hombre,Araba/Álava,%,1.6
2013,Hombre,Bizkaia,%,4.5
2023,Hombre,Bizkaia,%,6.4
2018,Hombre,Bizkaia,%,3.1
2013,Hombre,Gipuzkoa,%,4.8
2023,Hombre,Gipuzkoa,%,9.4
2018,Hombre,Gipuzkoa,%,4.2
