Year,Value,Units,Series
2016,21507.9,Kilotons,Domestic material consumption in absolute terms
2017,26656.6,Kilotons,Domestic material consumption in absolute terms
2020,22965.0,Kilotons,Domestic material consumption in absolute terms
2013,18163.8,Kilotons,Domestic material consumption in absolute terms
2018,28476.5,Kilotons,Domestic material consumption in absolute terms
2015,23794.7,Kilotons,Domestic material consumption in absolute terms
2022,22897.1,Kilotons,Domestic material consumption in absolute terms
2011,23308.8,Kilotons,Domestic material consumption in absolute terms
2012,21098.6,Kilotons,Domestic material consumption in absolute terms
2019,27538.3,Kilotons,Domestic material consumption in absolute terms
2010,30845.5,Kilotons,Domestic material consumption in absolute terms
2014,19620.0,Kilotons,Domestic material consumption in absolute terms
2021,26738.0,Kilotons,Domestic material consumption in absolute terms
2020,10.5,Tons per capita,Domestic material consumption per capita
2013,8.3,Tons per capita,Domestic material consumption per capita
2016,9.9,Tons per capita,Domestic material consumption per capita
2015,11.0,Tons per capita,Domestic material consumption per capita
2022,10.5,Tons per capita,Domestic material consumption per capita
2012,9.7,Tons per capita,Domestic material consumption per capita
2011,10.7,Tons per capita,Domestic material consumption per capita
2014,9.0,Tons per capita,Domestic material consumption per capita
2021,12.2,Tons per capita,Domestic material consumption per capita
2018,13.0,Tons per capita,Domestic material consumption per capita
2010,14.2,Tons per capita,Domestic material consumption per capita
2019,12.6,Tons per capita,Domestic material consumption per capita
2017,12.2,Tons per capita,Domestic material consumption per capita
2010,407.5,Kg per euro of GDP,Domestic material consumption per GDP
2011,307.2,Kg per euro of GDP,Domestic material consumption per GDP
2012,283.9,Kg per euro of GDP,Domestic material consumption per GDP
2015,311.8,Kg per euro of GDP,Domestic material consumption per GDP
2013,249.1,Kg per euro of GDP,Domestic material consumption per GDP
2014,264.6,Kg per euro of GDP,Domestic material consumption per GDP
2016,272.9,Kg per euro of GDP,Domestic material consumption per GDP
2017,329.1,Kg per euro of GDP,Domestic material consumption per GDP
2018,341.0,Kg per euro of GDP,Domestic material consumption per GDP
2019,322.4,Kg per euro of GDP,Domestic material consumption per GDP
2020,296.9,Kg per euro of GDP,Domestic material consumption per GDP
2021,325.9,Kg per euro of GDP,Domestic material consumption per GDP
2022,264.1,Kg per euro of GDP,Domestic material consumption per GDP
