Year,Value,Units,Series
2022,528.6,Millions of euros,Regional public administration spending on employment promotion
2013,321.7,Millions of euros,Regional public administration spending on employment promotion
2021,405.3,Millions of euros,Regional public administration spending on employment promotion
2017,363.0,Millions of euros,Regional public administration spending on employment promotion
2012,527.1,Millions of euros,Regional public administration spending on employment promotion
2015,341.3,Millions of euros,Regional public administration spending on employment promotion
2016,333.6,Millions of euros,Regional public administration spending on employment promotion
2018,358.1,Millions of euros,Regional public administration spending on employment promotion
2010,94.6,Millions of euros,Regional public administration spending on employment promotion
2023,422.8,Millions of euros,Regional public administration spending on employment promotion
2020,424.0,Millions of euros,Regional public administration spending on employment promotion
2011,399.9,Millions of euros,Regional public administration spending on employment promotion
2019,408.7,Millions of euros,Regional public administration spending on employment promotion
2014,319.8,Millions of euros,Regional public administration spending on employment promotion
2010,0.9,%,Regional public administration spending on employment promotion as a proportion of total spending
2011,3.9,%,Regional public administration spending on employment promotion as a proportion of total spending
2013,3.4,%,Regional public administration spending on employment promotion as a proportion of total spending
2014,3.2,%,Regional public administration spending on employment promotion as a proportion of total spending
2022,3.8,%,Regional public administration spending on employment promotion as a proportion of total spending
2015,3.4,%,Regional public administration spending on employment promotion as a proportion of total spending
2016,3.2,%,Regional public administration spending on employment promotion as a proportion of total spending
2017,3.4,%,Regional public administration spending on employment promotion as a proportion of total spending
2018,3.1,%,Regional public administration spending on employment promotion as a proportion of total spending
2012,5.2,%,Regional public administration spending on employment promotion as a proportion of total spending
2019,3.4,%,Regional public administration spending on employment promotion as a proportion of total spending
2020,3.6,%,Regional public administration spending on employment promotion as a proportion of total spending
2021,3.2,%,Regional public administration spending on employment promotion as a proportion of total spending
2023,2.9,%,Regional public administration spending on employment promotion as a proportion of total spending
