Year,Value,Units,Series
2016,49.3,%,"Proportion of spending on cultural trips over spending on trips for leisure, recreation and vacations"
2017,46.7,%,"Proportion of spending on cultural trips over spending on trips for leisure, recreation and vacations"
2018,36.1,%,"Proportion of spending on cultural trips over spending on trips for leisure, recreation and vacations"
2019,31.6,%,"Proportion of spending on cultural trips over spending on trips for leisure, recreation and vacations"
2020,28.5,%,"Proportion of spending on cultural trips over spending on trips for leisure, recreation and vacations"
2021,32.5,%,"Proportion of spending on cultural trips over spending on trips for leisure, recreation and vacations"
2022,36.5,%,"Proportion of spending on cultural trips over spending on trips for leisure, recreation and vacations"
2023,42.0,%,"Proportion of spending on cultural trips over spending on trips for leisure, recreation and vacations"
2024,49.6,%,"Proportion of spending on cultural trips over spending on trips for leisure, recreation and vacations"
2016,26.7,%,Proportion of spending on cultural trips over travel spending
2017,26.5,%,Proportion of spending on cultural trips over travel spending
2018,21.6,%,Proportion of spending on cultural trips over travel spending
2019,19.4,%,Proportion of spending on cultural trips over travel spending
2020,13.5,%,Proportion of spending on cultural trips over travel spending
2021,18.3,%,Proportion of spending on cultural trips over travel spending
2022,20.8,%,Proportion of spending on cultural trips over travel spending
2023,25.0,%,Proportion of spending on cultural trips over travel spending
2024,28.9,%,Proportion of spending on cultural trips over travel spending
