Year,Value,Units,Series
2020,100.0,PT,Area 1: Comprehensive legal framework and public life
2022,100.0,PT,Area 1: Comprehensive legal framework and public life
2024,100.0,PT,Area 1: Comprehensive legal framework and public life
2015,100.0,PT,Area 1: Comprehensive legal framework and public life
2020,100.0,PT,Area 2: Violence against women
2022,100.0,PT,Area 2: Violence against women
2015,100.0,PT,Area 2: Violence against women
2024,100.0,PT,Area 2: Violence against women
2015,100.0,PT,Area 3: Employment and income support
2022,100.0,PT,Area 3: Employment and income support
2020,100.0,PT,Area 3: Employment and income support
2024,100.0,PT,Area 3: Employment and income support
2015,81.8,PT,Area 4: Marriage and family
2020,81.8,PT,Area 4: Marriage and family
2022,81.8,PT,Area 4: Marriage and family
2024,81.8,PT,Area 4: Marriage and family
