Year,Value,Units,Series
2019,47.1,%,Proportion of GDP generated by labor
2011,50.0,%,Proportion of GDP generated by labor
2016,47.5,%,Proportion of GDP generated by labor
2010,50.2,%,Proportion of GDP generated by labor
2015,47.9,%,Proportion of GDP generated by labor
2021,47.4,%,Proportion of GDP generated by labor
2012,49.2,%,Proportion of GDP generated by labor
2014,48.2,%,Proportion of GDP generated by labor
2020,49.8,%,Proportion of GDP generated by labor
2013,49.0,%,Proportion of GDP generated by labor
2018,46.9,%,Proportion of GDP generated by labor
2017,47.3,%,Proportion of GDP generated by labor
