Year,Value,Units,Series
2022,448.5,Kg per capita,Urban waste collected per capita
2012,475.6,Kg per capita,Urban waste collected per capita
2024,434.1,Kg per capita,Urban waste collected per capita
2016,478.8,Kg per capita,Urban waste collected per capita
2013,462.4,Kg per capita,Urban waste collected per capita
2020,450.5,Kg per capita,Urban waste collected per capita
2014,473.7,Kg per capita,Urban waste collected per capita
2018,488.9,Kg per capita,Urban waste collected per capita
2015,465.6,Kg per capita,Urban waste collected per capita
2010,491.5,Kg per capita,Urban waste collected per capita
2021,457.7,Kg per capita,Urban waste collected per capita
2023,426.5,Kg per capita,Urban waste collected per capita
2017,476.3,Kg per capita,Urban waste collected per capita
2011,485.9,Kg per capita,Urban waste collected per capita
2019,474.6,Kg per capita,Urban waste collected per capita
2022,100.0,%,Proportion of municipal waste collected and managed in controlled facilities
2024,100.0,%,Proportion of municipal waste collected and managed in controlled facilities
2021,100.0,%,Proportion of municipal waste collected and managed in controlled facilities
2023,100.0,%,Proportion of municipal waste collected and managed in controlled facilities
2011,100.0,%,Proportion of municipal waste collected and managed in controlled facilities
2018,100.0,%,Proportion of municipal waste collected and managed in controlled facilities
2017,100.0,%,Proportion of municipal waste collected and managed in controlled facilities
2010,100.0,%,Proportion of municipal waste collected and managed in controlled facilities
2013,100.0,%,Proportion of municipal waste collected and managed in controlled facilities
2016,100.0,%,Proportion of municipal waste collected and managed in controlled facilities
2020,100.0,%,Proportion of municipal waste collected and managed in controlled facilities
2015,100.0,%,Proportion of municipal waste collected and managed in controlled facilities
2014,100.0,%,Proportion of municipal waste collected and managed in controlled facilities
2019,100.0,%,Proportion of municipal waste collected and managed in controlled facilities
2012,100.0,%,Proportion of municipal waste collected and managed in controlled facilities
