Year,Value,Units,Series
2020,0.51,%,Volume of remittances sent abroad as a proportion of GDP
2023,0.51,%,Volume of remittances sent abroad as a proportion of GDP
2019,0.47,%,Volume of remittances sent abroad as a proportion of GDP
2017,0.43,%,Volume of remittances sent abroad as a proportion of GDP
2015,0.39,%,Volume of remittances sent abroad as a proportion of GDP
2024,0.51,%,Volume of remittances sent abroad as a proportion of GDP
2021,0.53,%,Volume of remittances sent abroad as a proportion of GDP
2013,0.38,%,Volume of remittances sent abroad as a proportion of GDP
2016,0.41,%,Volume of remittances sent abroad as a proportion of GDP
2014,0.36,%,Volume of remittances sent abroad as a proportion of GDP
2022,0.52,%,Volume of remittances sent abroad as a proportion of GDP
2018,0.45,%,Volume of remittances sent abroad as a proportion of GDP
2013,249.06,Millions of euros,Volume of remittances sent abroad
2014,244.69,Millions of euros,Volume of remittances sent abroad
2015,268.77,Millions of euros,Volume of remittances sent abroad
2016,291.52,Millions of euros,Volume of remittances sent abroad
2018,349.76,Millions of euros,Volume of remittances sent abroad
2019,373.68,Millions of euros,Volume of remittances sent abroad
2023,472.79,Millions of euros,Volume of remittances sent abroad
2017,322.91,Millions of euros,Volume of remittances sent abroad
2020,370.65,Millions of euros,Volume of remittances sent abroad
2021,416.76,Millions of euros,Volume of remittances sent abroad
2022,452.03,Millions of euros,Volume of remittances sent abroad
2024,503.36,Millions of euros,Volume of remittances sent abroad
