Year,Value,Units,Series
2019,100,%,"Proportion of teachers with the minimum required qualifications, broken down by educational level"
2022,100,%,"Proportion of teachers with the minimum required qualifications, broken down by educational level"
2015,100,%,"Proportion of teachers with the minimum required qualifications, broken down by educational level"
2023,100,%,"Proportion of teachers with the minimum required qualifications, broken down by educational level"
2018,100,%,"Proportion of teachers with the minimum required qualifications, broken down by educational level"
2014,100,%,"Proportion of teachers with the minimum required qualifications, broken down by educational level"
2016,100,%,"Proportion of teachers with the minimum required qualifications, broken down by educational level"
2012,100,%,"Proportion of teachers with the minimum required qualifications, broken down by educational level"
2013,100,%,"Proportion of teachers with the minimum required qualifications, broken down by educational level"
2021,100,%,"Proportion of teachers with the minimum required qualifications, broken down by educational level"
2025,100,%,"Proportion of teachers with the minimum required qualifications, broken down by educational level"
2024,100,%,"Proportion of teachers with the minimum required qualifications, broken down by educational level"
2020,100,%,"Proportion of teachers with the minimum required qualifications, broken down by educational level"
2017,100,%,"Proportion of teachers with the minimum required qualifications, broken down by educational level"
2011,100,%,"Proportion of teachers with the minimum required qualifications, broken down by educational level"
2010,100,%,"Proportion of teachers with the minimum required qualifications, broken down by educational level"
