Year,Value,Units,Series
2013,14.8,"Per 100,000","Tuberculosis incidence per 100,000 population."
2015,11.8,"Per 100,000","Tuberculosis incidence per 100,000 population."
2023,11.0,"Per 100,000","Tuberculosis incidence per 100,000 population."
2022,10.8,"Per 100,000","Tuberculosis incidence per 100,000 population."
2012,15.8,"Per 100,000","Tuberculosis incidence per 100,000 population."
2021,8.4,"Per 100,000","Tuberculosis incidence per 100,000 population."
2019,9.0,"Per 100,000","Tuberculosis incidence per 100,000 population."
2014,14.8,"Per 100,000","Tuberculosis incidence per 100,000 population."
2016,12.7,"Per 100,000","Tuberculosis incidence per 100,000 population."
2017,10.5,"Per 100,000","Tuberculosis incidence per 100,000 population."
2018,9.9,"Per 100,000","Tuberculosis incidence per 100,000 population."
2020,10.7,"Per 100,000","Tuberculosis incidence per 100,000 population."
