Year,Series,Units,Value
2020,Area 1: Comprehensive legal framework and public life,%,100.0
2022,Area 1: Comprehensive legal framework and public life,%,100.0
2024,Area 1: Comprehensive legal framework and public life,%,100.0
2015,Area 1: Comprehensive legal framework and public life,%,100.0
2020,Area 2: Violence against women,%,100.0
2022,Area 2: Violence against women,%,100.0
2015,Area 2: Violence against women,%,100.0
2024,Area 2: Violence against women,%,100.0
2015,Area 3: Employment and income support,%,100.0
2022,Area 3: Employment and income support,%,100.0
2020,Area 3: Employment and income support,%,100.0
2024,Area 3: Employment and income support,%,100.0
2015,Area 4: Marriage and family,%,81.8
2020,Area 4: Marriage and family,%,81.8
2022,Area 4: Marriage and family,%,81.8
2024,Area 4: Marriage and family,%,81.8
