Year,Territorio histórico,Units,Value
2019,,%,24.9
2022,,%,26.0
2021,,%,27.0
2018,,%,25.2
2023,,%,25.1
2017,,%,26.4
2015,,%,24.1
2012,,%,24.1
2016,,%,24.4
2011,,%,23.6
2014,,%,24.4
2013,,%,23.8
2010,,%,24.4
2020,,%,25.5
2012,Araba/Álava,%,23.3
2013,Araba/Álava,%,21.3
2014,Araba/Álava,%,21.4
2010,Araba/Álava,%,23.6
2018,Araba/Álava,%,23.0
2017,Araba/Álava,%,24.0
2011,Araba/Álava,%,21.9
2020,Araba/Álava,%,23.4
2021,Araba/Álava,%,24.4
2015,Araba/Álava,%,21.7
2019,Araba/Álava,%,22.8
2022,Araba/Álava,%,24.1
2016,Araba/Álava,%,22.2
2023,Araba/Álava,%,23.0
2013,Bizkaia,%,22.9
2015,Bizkaia,%,23.0
2016,Bizkaia,%,23.7
2017,Bizkaia,%,24.5
2019,Bizkaia,%,24.2
2020,Bizkaia,%,24.1
2021,Bizkaia,%,24.9
2023,Bizkaia,%,23.5
2010,Bizkaia,%,23.6
2011,Bizkaia,%,23.5
2012,Bizkaia,%,22.2
2022,Bizkaia,%,24.1
2018,Bizkaia,%,24.4
2014,Bizkaia,%,24.2
2022,Gipuzkoa,%,23.7
2023,Gipuzkoa,%,22.8
2010,Gipuzkoa,%,21.4
2011,Gipuzkoa,%,20.3
2012,Gipuzkoa,%,20.3
2013,Gipuzkoa,%,21.8
2014,Gipuzkoa,%,21.9
2015,Gipuzkoa,%,22.0
2016,Gipuzkoa,%,21.9
2017,Gipuzkoa,%,23.1
2018,Gipuzkoa,%,22.6
2019,Gipuzkoa,%,22.3
2020,Gipuzkoa,%,22.6
2021,Gipuzkoa,%,24.2
