Year,Lurralde historikoa,Units,Value
2019,,100.000 biztanleko,6.48
2022,,100.000 biztanleko,7.33
2021,,100.000 biztanleko,0.0
2018,,100.000 biztanleko,6.21
2023,,100.000 biztanleko,7.43
2017,,100.000 biztanleko,0.0
2015,,100.000 biztanleko,0.0
2012,,100.000 biztanleko,0.0
2016,,100.000 biztanleko,10.96
2011,,100.000 biztanleko,0.0
2014,,100.000 biztanleko,0.0
2013,,100.000 biztanleko,0.0
2010,,100.000 biztanleko,4.73
2020,,100.000 biztanleko,6.78
2012,Araba / Álava,100.000 biztanleko,0.0
2013,Araba / Álava,100.000 biztanleko,0.0
2014,Araba / Álava,100.000 biztanleko,0.0
2010,Araba / Álava,100.000 biztanleko,0.0
2018,Araba / Álava,100.000 biztanleko,0.0
2017,Araba / Álava,100.000 biztanleko,0.0
2011,Araba / Álava,100.000 biztanleko,0.0
2020,Araba / Álava,100.000 biztanleko,0.0
2021,Araba / Álava,100.000 biztanleko,0.0
2015,Araba / Álava,100.000 biztanleko,0.0
2019,Araba / Álava,100.000 biztanleko,0.0
2022,Araba / Álava,100.000 biztanleko,0.0
2016,Araba / Álava,100.000 biztanleko,0.0
2023,Araba / Álava,100.000 biztanleko,0.0
2013,Bizkaia,100.000 biztanleko,0.0
2015,Bizkaia,100.000 biztanleko,0.0
2016,Bizkaia,100.000 biztanleko,21.85
2017,Bizkaia,100.000 biztanleko,0.0
2019,Bizkaia,100.000 biztanleko,0.0
2020,Bizkaia,100.000 biztanleko,13.65
2021,Bizkaia,100.000 biztanleko,0.0
2023,Bizkaia,100.000 biztanleko,14.99
2010,Bizkaia,100.000 biztanleko,9.44
2011,Bizkaia,100.000 biztanleko,0.0
2012,Bizkaia,100.000 biztanleko,0.0
2022,Bizkaia,100.000 biztanleko,0.0
2018,Bizkaia,100.000 biztanleko,12.58
2014,Bizkaia,100.000 biztanleko,0.0
2022,Gipuzkoa,100.000 biztanleko,22.18
2023,Gipuzkoa,100.000 biztanleko,0.0
2010,Gipuzkoa,100.000 biztanleko,0.0
2011,Gipuzkoa,100.000 biztanleko,0.0
2012,Gipuzkoa,100.000 biztanleko,0.0
2013,Gipuzkoa,100.000 biztanleko,0.0
2014,Gipuzkoa,100.000 biztanleko,0.0
2015,Gipuzkoa,100.000 biztanleko,0.0
2016,Gipuzkoa,100.000 biztanleko,0.0
2017,Gipuzkoa,100.000 biztanleko,0.0
2018,Gipuzkoa,100.000 biztanleko,0.0
2019,Gipuzkoa,100.000 biztanleko,19.48
2020,Gipuzkoa,100.000 biztanleko,0.0
2021,Gipuzkoa,100.000 biztanleko,0.0
