Year,Sex,Province,Units,Value
2011,,,"Per 100,000 inhabitants",7.9
2010,,,"Per 100,000 inhabitants",6.0
2020,,,"Per 100,000 inhabitants",8.4
2014,,,"Per 100,000 inhabitants",8.6
2013,,,"Per 100,000 inhabitants",8.2
2024,,,"Per 100,000 inhabitants",7.7
2021,,,"Per 100,000 inhabitants",6.8
2019,,,"Per 100,000 inhabitants",6.6
2023,,,"Per 100,000 inhabitants",6.4
2016,,,"Per 100,000 inhabitants",8.3
2015,,,"Per 100,000 inhabitants",7.7
2018,,,"Per 100,000 inhabitants",7.5
2012,,,"Per 100,000 inhabitants",8.3
2017,,,"Per 100,000 inhabitants",8.3
2022,,,"Per 100,000 inhabitants",7.9
2015,,Araba/Álava,"Per 100,000 inhabitants",6.5
2023,,Araba/Álava,"Per 100,000 inhabitants",7.5
2016,,Araba/Álava,"Per 100,000 inhabitants",7.1
2021,,Araba/Álava,"Per 100,000 inhabitants",8.5
2024,,Araba/Álava,"Per 100,000 inhabitants",7.5
2017,,Araba/Álava,"Per 100,000 inhabitants",7.1
2018,,Araba/Álava,"Per 100,000 inhabitants",7.3
2019,,Araba/Álava,"Per 100,000 inhabitants",6.7
2011,,Araba/Álava,"Per 100,000 inhabitants",6.6
2012,,Araba/Álava,"Per 100,000 inhabitants",6.5
2014,,Araba/Álava,"Per 100,000 inhabitants",6.9
2020,,Araba/Álava,"Per 100,000 inhabitants",8.2
2013,,Araba/Álava,"Per 100,000 inhabitants",8.1
2010,,Araba/Álava,"Per 100,000 inhabitants",8.8
2022,,Araba/Álava,"Per 100,000 inhabitants",9.3
2015,,Bizkaia,"Per 100,000 inhabitants",8.2
2014,,Bizkaia,"Per 100,000 inhabitants",9.5
2017,,Bizkaia,"Per 100,000 inhabitants",8.6
2010,,Bizkaia,"Per 100,000 inhabitants",5.4
2023,,Bizkaia,"Per 100,000 inhabitants",5.3
2012,,Bizkaia,"Per 100,000 inhabitants",8.2
2022,,Bizkaia,"Per 100,000 inhabitants",8.0
2024,,Bizkaia,"Per 100,000 inhabitants",8.3
2016,,Bizkaia,"Per 100,000 inhabitants",7.6
2021,,Bizkaia,"Per 100,000 inhabitants",6.2
2013,,Bizkaia,"Per 100,000 inhabitants",7.8
2019,,Bizkaia,"Per 100,000 inhabitants",6.4
2018,,Bizkaia,"Per 100,000 inhabitants",7.7
2020,,Bizkaia,"Per 100,000 inhabitants",8.7
2011,,Bizkaia,"Per 100,000 inhabitants",7.8
2018,,Gipuzkoa,"Per 100,000 inhabitants",7.1
2021,,Gipuzkoa,"Per 100,000 inhabitants",6.8
2019,,Gipuzkoa,"Per 100,000 inhabitants",7.0
2015,,Gipuzkoa,"Per 100,000 inhabitants",7.3
2010,,Gipuzkoa,"Per 100,000 inhabitants",5.8
2011,,Gipuzkoa,"Per 100,000 inhabitants",8.7
2020,,Gipuzkoa,"Per 100,000 inhabitants",7.9
2012,,Gipuzkoa,"Per 100,000 inhabitants",9.1
2014,,Gipuzkoa,"Per 100,000 inhabitants",7.8
2022,,Gipuzkoa,"Per 100,000 inhabitants",7.2
2016,,Gipuzkoa,"Per 100,000 inhabitants",9.8
2023,,Gipuzkoa,"Per 100,000 inhabitants",7.6
2013,,Gipuzkoa,"Per 100,000 inhabitants",8.9
2024,,Gipuzkoa,"Per 100,000 inhabitants",6.9
2017,,Gipuzkoa,"Per 100,000 inhabitants",8.4
2015,Female,,"Per 100,000 inhabitants",3.6
2013,Female,,"Per 100,000 inhabitants",4.5
2022,Female,,"Per 100,000 inhabitants",4.4
2016,Female,,"Per 100,000 inhabitants",4.2
2012,Female,,"Per 100,000 inhabitants",4.2
2014,Female,,"Per 100,000 inhabitants",5.6
2018,Female,,"Per 100,000 inhabitants",4.3
2017,Female,,"Per 100,000 inhabitants",4.2
2011,Female,,"Per 100,000 inhabitants",4.4
2024,Female,,"Per 100,000 inhabitants",4.7
2021,Female,,"Per 100,000 inhabitants",3.6
2010,Female,,"Per 100,000 inhabitants",2.3
2023,Female,,"Per 100,000 inhabitants",3.2
2019,Female,,"Per 100,000 inhabitants",2.6
2020,Female,,"Per 100,000 inhabitants",4.0
2024,Female,Araba/Álava,"Per 100,000 inhabitants",7.0
2022,Female,Araba/Álava,"Per 100,000 inhabitants",4.7
2015,Female,Araba/Álava,"Per 100,000 inhabitants",4.3
2020,Female,Araba/Álava,"Per 100,000 inhabitants",4.2
2019,Female,Araba/Álava,"Per 100,000 inhabitants",1.2
2017,Female,Araba/Álava,"Per 100,000 inhabitants",6.1
2013,Female,Araba/Álava,"Per 100,000 inhabitants",5.0
2011,Female,Araba/Álava,"Per 100,000 inhabitants",3.7
2023,Female,Araba/Álava,"Per 100,000 inhabitants",4.1
2012,Female,Araba/Álava,"Per 100,000 inhabitants",2.5
2010,Female,Araba/Álava,"Per 100,000 inhabitants",2.5
2014,Female,Araba/Álava,"Per 100,000 inhabitants",3.7
2016,Female,Araba/Álava,"Per 100,000 inhabitants",2.4
2021,Female,Araba/Álava,"Per 100,000 inhabitants",5.4
2018,Female,Araba/Álava,"Per 100,000 inhabitants",4.2
2023,Female,Bizkaia,"Per 100,000 inhabitants",3.4
2024,Female,Bizkaia,"Per 100,000 inhabitants",4.5
2021,Female,Bizkaia,"Per 100,000 inhabitants",3.9
2020,Female,Bizkaia,"Per 100,000 inhabitants",3.7
2017,Female,Bizkaia,"Per 100,000 inhabitants",4.1
2019,Female,Bizkaia,"Per 100,000 inhabitants",3.0
2018,Female,Bizkaia,"Per 100,000 inhabitants",4.1
2015,Female,Bizkaia,"Per 100,000 inhabitants",3.6
