Year,Series,Sex,Province,Units,Value
2013,Fatal occupational injuries,,,"Per 100,000 employees",3.8
2021,Fatal occupational injuries,,,"Per 100,000 employees",3.7
2018,Fatal occupational injuries,,,"Per 100,000 employees",4.0
2019,Fatal occupational injuries,,,"Per 100,000 employees",3.2
2017,Fatal occupational injuries,,,"Per 100,000 employees",3.5
2016,Fatal occupational injuries,,,"Per 100,000 employees",4.4
2022,Fatal occupational injuries,,,"Per 100,000 employees",3.1
2015,Fatal occupational injuries,,,"Per 100,000 employees",3.7
2020,Fatal occupational injuries,,,"Per 100,000 employees",2.9
2014,Fatal occupational injuries,,,"Per 100,000 employees",3.4
2024,Fatal occupational injuries,,,"Per 100,000 employees",2.7
2023,Fatal occupational injuries,,,"Per 100,000 employees",3.1
2016,Fatal occupational injuries,,Araba/Álava,"Per 100,000 employees",3.7
2022,Fatal occupational injuries,,Araba/Álava,"Per 100,000 employees",3.5
2023,Fatal occupational injuries,,Araba/Álava,"Per 100,000 employees",3.4
2017,Fatal occupational injuries,,Araba/Álava,"Per 100,000 employees",2.2
2021,Fatal occupational injuries,,Araba/Álava,"Per 100,000 employees",6.9
2013,Fatal occupational injuries,,Araba/Álava,"Per 100,000 employees",3.8
2019,Fatal occupational injuries,,Araba/Álava,"Per 100,000 employees",4.8
2014,Fatal occupational injuries,,Araba/Álava,"Per 100,000 employees",3.0
2015,Fatal occupational injuries,,Araba/Álava,"Per 100,000 employees",2.2
2018,Fatal occupational injuries,,Araba/Álava,"Per 100,000 employees",4.2
2024,Fatal occupational injuries,,Araba/Álava,"Per 100,000 employees",2.7
2020,Fatal occupational injuries,,Araba/Álava,"Per 100,000 employees",3.5
2014,Fatal occupational injuries,,Bizkaia,"Per 100,000 employees",3.3
2021,Fatal occupational injuries,,Bizkaia,"Per 100,000 employees",2.7
2017,Fatal occupational injuries,,Bizkaia,"Per 100,000 employees",3.6
2013,Fatal occupational injuries,,Bizkaia,"Per 100,000 employees",4.0
2016,Fatal occupational injuries,,Bizkaia,"Per 100,000 employees",5.8
2019,Fatal occupational injuries,,Bizkaia,"Per 100,000 employees",2.7
2022,Fatal occupational injuries,,Bizkaia,"Per 100,000 employees",2.0
2024,Fatal occupational injuries,,Bizkaia,"Per 100,000 employees",1.6
2018,Fatal occupational injuries,,Bizkaia,"Per 100,000 employees",4.6
2015,Fatal occupational injuries,,Bizkaia,"Per 100,000 employees",3.3
2020,Fatal occupational injuries,,Bizkaia,"Per 100,000 employees",3.4
2023,Fatal occupational injuries,,Bizkaia,"Per 100,000 employees",2.6
2016,Fatal occupational injuries,,Gipuzkoa,"Per 100,000 employees",2.7
2020,Fatal occupational injuries,,Gipuzkoa,"Per 100,000 employees",1.9
2015,Fatal occupational injuries,,Gipuzkoa,"Per 100,000 employees",5.0
2017,Fatal occupational injuries,,Gipuzkoa,"Per 100,000 employees",3.9
2018,Fatal occupational injuries,,Gipuzkoa,"Per 100,000 employees",2.9
2013,Fatal occupational injuries,,Gipuzkoa,"Per 100,000 employees",3.7
2019,Fatal occupational injuries,,Gipuzkoa,"Per 100,000 employees",3.1
2014,Fatal occupational injuries,,Gipuzkoa,"Per 100,000 employees",3.7
2021,Fatal occupational injuries,,Gipuzkoa,"Per 100,000 employees",3.8
2024,Fatal occupational injuries,,Gipuzkoa,"Per 100,000 employees",4.5
2023,Fatal occupational injuries,,Gipuzkoa,"Per 100,000 employees",3.7
2022,Fatal occupational injuries,,Gipuzkoa,"Per 100,000 employees",4.6
2017,Fatal occupational injuries,Female,,"Per 100,000 employees",0.5
2020,Fatal occupational injuries,Female,,"Per 100,000 employees",0.2
2013,Fatal occupational injuries,Female,,"Per 100,000 employees",0.2
