Year,Series,Territorio histórico,Units,Value
2010,Valor añadido del sector manufacturo en proporción al PIB,Araba/Álava,Porcentaje,24.9
2011,Valor añadido del sector manufacturo en proporción al PIB,Araba/Álava,Porcentaje,25.9
2012,Valor añadido del sector manufacturo en proporción al PIB,Araba/Álava,Porcentaje,25.1
2013,Valor añadido del sector manufacturo en proporción al PIB,Araba/Álava,Porcentaje,25.7
2014,Valor añadido del sector manufacturo en proporción al PIB,Araba/Álava,Porcentaje,26.1
2015,Valor añadido del sector manufacturo en proporción al PIB,Araba/Álava,Porcentaje,26.2
2016,Valor añadido del sector manufacturo en proporción al PIB,Araba/Álava,Porcentaje,26.2
2017,Valor añadido del sector manufacturo en proporción al PIB,Araba/Álava,Porcentaje,26.4
2018,Valor añadido del sector manufacturo en proporción al PIB,Araba/Álava,Porcentaje,25.8
2019,Valor añadido del sector manufacturo en proporción al PIB,Araba/Álava,Porcentaje,25.0
2020,Valor añadido del sector manufacturo en proporción al PIB,Araba/Álava,Porcentaje,23.9
2021,Valor añadido del sector manufacturo en proporción al PIB,Araba/Álava,Porcentaje,24.3
2022,Valor añadido del sector manufacturo en proporción al PIB,Araba/Álava,Porcentaje,24.1
2023,Valor añadido del sector manufacturo en proporción al PIB,Araba/Álava,Porcentaje,24.0
2010,Valor añadido del sector manufacturo en proporción al PIB,Gipuzkoa,Porcentaje,22.6
2011,Valor añadido del sector manufacturo en proporción al PIB,Gipuzkoa,Porcentaje,23.3
2012,Valor añadido del sector manufacturo en proporción al PIB,Gipuzkoa,Porcentaje,22.8
2013,Valor añadido del sector manufacturo en proporción al PIB,Gipuzkoa,Porcentaje,22.2
2014,Valor añadido del sector manufacturo en proporción al PIB,Gipuzkoa,Porcentaje,22.2
2015,Valor añadido del sector manufacturo en proporción al PIB,Gipuzkoa,Porcentaje,22.6
2016,Valor añadido del sector manufacturo en proporción al PIB,Gipuzkoa,Porcentaje,22.7
2017,Valor añadido del sector manufacturo en proporción al PIB,Gipuzkoa,Porcentaje,22.4
2018,Valor añadido del sector manufacturo en proporción al PIB,Gipuzkoa,Porcentaje,22.4
2019,Valor añadido del sector manufacturo en proporción al PIB,Gipuzkoa,Porcentaje,22.2
2020,Valor añadido del sector manufacturo en proporción al PIB,Gipuzkoa,Porcentaje,21.9
2021,Valor añadido del sector manufacturo en proporción al PIB,Gipuzkoa,Porcentaje,22.8
2022,Valor añadido del sector manufacturo en proporción al PIB,Gipuzkoa,Porcentaje,22.9
2023,Valor añadido del sector manufacturo en proporción al PIB,Gipuzkoa,Porcentaje,22.6
2010,Valor añadido del sector manufacturo en proporción al PIB,Bizkaia,Porcentaje,17.1
2011,Valor añadido del sector manufacturo en proporción al PIB,Bizkaia,Porcentaje,17.2
2012,Valor añadido del sector manufacturo en proporción al PIB,Bizkaia,Porcentaje,16.2
2013,Valor añadido del sector manufacturo en proporción al PIB,Bizkaia,Porcentaje,16.2
2014,Valor añadido del sector manufacturo en proporción al PIB,Bizkaia,Porcentaje,16.5
2015,Valor añadido del sector manufacturo en proporción al PIB,Bizkaia,Porcentaje,16.5
2016,Valor añadido del sector manufacturo en proporción al PIB,Bizkaia,Porcentaje,16.8
2017,Valor añadido del sector manufacturo en proporción al PIB,Bizkaia,Porcentaje,16.9
2018,Valor añadido del sector manufacturo en proporción al PIB,Bizkaia,Porcentaje,16.5
2019,Valor añadido del sector manufacturo en proporción al PIB,Bizkaia,Porcentaje,16.5
2020,Valor añadido del sector manufacturo en proporción al PIB,Bizkaia,Porcentaje,15.6
2021,Valor añadido del sector manufacturo en proporción al PIB,Bizkaia,Porcentaje,15.8
2022,Valor añadido del sector manufacturo en proporción al PIB,Bizkaia,Porcentaje,15.5
2023,Valor añadido del sector manufacturo en proporción al PIB,Bizkaia,Porcentaje,14.8
2010,Valor añadido del sector manufacturo en proporción al PIB,,Porcentaje,20.2
2011,Valor añadido del sector manufacturo en proporción al PIB,,Porcentaje,20.6
2012,Valor añadido del sector manufacturo en proporción al PIB,,Porcentaje,19.9
2013,Valor añadido del sector manufacturo en proporción al PIB,,Porcentaje,19.8
2014,Valor añadido del sector manufacturo en proporción al PIB,,Porcentaje,19.9
2015,Valor añadido del sector manufacturo en proporción al PIB,,Porcentaje,20.1
2016,Valor añadido del sector manufacturo en proporción al PIB,,Porcentaje,20.3
2017,Valor añadido del sector manufacturo en proporción al PIB,,Porcentaje,20.3
2018,Valor añadido del sector manufacturo en proporción al PIB,,Porcentaje,20.0
2019,Valor añadido del sector manufacturo en proporción al PIB,,Porcentaje,19.8
2020,Valor añadido del sector manufacturo en proporción al PIB,,Porcentaje,19.0
2021,Valor añadido del sector manufacturo en proporción al PIB,,Porcentaje,19.5
2022,Valor añadido del sector manufacturo en proporción al PIB,,Porcentaje,19.3
2023,Valor añadido del sector manufacturo en proporción al PIB,,Porcentaje,18.9
2010,Valor añadido del sector manufacturo per cápita,Araba/Álava,Euro per cápita,9735.7
2011,Valor añadido del sector manufacturo per cápita,Araba/Álava,Euro per cápita,10121.6
2012,Valor añadido del sector manufacturo per cápita,Araba/Álava,Euro per cápita,9536.6
2013,Valor añadido del sector manufacturo per cápita,Araba/Álava,Euro per cápita,9608.3
2014,Valor añadido del sector manufacturo per cápita,Araba/Álava,Euro per cápita,9938.6
2015,Valor añadido del sector manufacturo per cápita,Araba/Álava,Euro per cápita,10224.2
2016,Valor añadido del sector manufacturo per cápita,Araba/Álava,Euro per cápita,10505.2
2017,Valor añadido del sector manufacturo per cápita,Araba/Álava,Euro per cápita,10744.1
2018,Valor añadido del sector manufacturo per cápita,Araba/Álava,Euro per cápita,10671.7
2019,Valor añadido del sector manufacturo per cápita,Araba/Álava,Euro per cápita,10481.8
2020,Valor añadido del sector manufacturo per cápita,Araba/Álava,Euro per cápita,8926.7
2021,Valor añadido del sector manufacturo per cápita,Araba/Álava,Euro per cápita,9745.2
2022,Valor añadido del sector manufacturo per cápita,Araba/Álava,Euro per cápita,10030.6
2023,Valor añadido del sector manufacturo per cápita,Araba/Álava,Euro per cápita,10214.6
2010,Valor añadido del sector manufacturo per cápita,Gipuzkoa,Euro per cápita,8118.4
2011,Valor añadido del sector manufacturo per cápita,Gipuzkoa,Euro per cápita,8344.2
2012,Valor añadido del sector manufacturo per cápita,Gipuzkoa,Euro per cápita,8012.3
2013,Valor añadido del sector manufacturo per cápita,Gipuzkoa,Euro per cápita,7629.4
2014,Valor añadido del sector manufacturo per cápita,Gipuzkoa,Euro per cápita,7743.6
2015,Valor añadido del sector manufacturo per cápita,Gipuzkoa,Euro per cápita,8123.6
2016,Valor añadido del sector manufacturo per cápita,Gipuzkoa,Euro per cápita,8435.5
2017,Valor añadido del sector manufacturo per cápita,Gipuzkoa,Euro per cápita,8527.6
2018,Valor añadido del sector manufacturo per cápita,Gipuzkoa,Euro per cápita,8832.1
2019,Valor añadido del sector manufacturo per cápita,Gipuzkoa,Euro per cápita,8940.6
2020,Valor añadido del sector manufacturo per cápita,Gipuzkoa,Euro per cápita,7912.1
2021,Valor añadido del sector manufacturo per cápita,Gipuzkoa,Euro per cápita,8769.1
2022,Valor añadido del sector manufacturo per cápita,Gipuzkoa,Euro per cápita,9195.3
2023,Valor añadido del sector manufacturo per cápita,Gipuzkoa,Euro per cápita,9314.2
2010,Valor añadido del sector manufacturo per cápita,Bizkaia,Euro per cápita,5660.0
2011,Valor añadido del sector manufacturo per cápita,Bizkaia,Euro per cápita,5693.5
2012,Valor añadido del sector manufacturo per cápita,Bizkaia,Euro per cápita,5246.0
2013,Valor añadido del sector manufacturo per cápita,Bizkaia,Euro per cápita,5178.0
2014,Valor añadido del sector manufacturo per cápita,Bizkaia,Euro per cápita,5354.3
2015,Valor añadido del sector manufacturo per cápita,Bizkaia,Euro per cápita,5527.2
2016,Valor añadido del sector manufacturo per cápita,Bizkaia,Euro per cápita,5834.6
2017,Valor añadido del sector manufacturo per cápita,Bizkaia,Euro per cápita,6020.7
2018,Valor añadido del sector manufacturo per cápita,Bizkaia,Euro per cápita,6031.7
2019,Valor añadido del sector manufacturo per cápita,Bizkaia,Euro per cápita,6136.2
2020,Valor añadido del sector manufacturo per cápita,Bizkaia,Euro per cápita,5305.3
2021,Valor añadido del sector manufacturo per cápita,Bizkaia,Euro per cápita,5714.5
2022,Valor añadido del sector manufacturo per cápita,Bizkaia,Euro per cápita,5994.9
2023,Valor añadido del sector manufacturo per cápita,Bizkaia,Euro per cápita,5826.4
2010,Valor añadido del sector manufacturo per cápita,,Euro per cápita,7033.8
2011,Valor añadido del sector manufacturo per cápita,,Euro per cápita,7190.6
2012,Valor añadido del sector manufacturo per cápita,,Euro per cápita,6772.9
2013,Valor añadido del sector manufacturo per cápita,,Euro per cápita,6623.1
2014,Valor añadido del sector manufacturo per cápita,,Euro per cápita,6804.9
2015,Valor añadido del sector manufacturo per cápita,,Euro per cápita,7069.6
2016,Valor añadido del sector manufacturo per cápita,,Euro per cápita,7372.0
2017,Valor añadido del sector manufacturo per cápita,,Euro per cápita,7533.8
2018,Valor añadido del sector manufacturo per cápita,,Euro per cápita,7637.4
2019,Valor añadido del sector manufacturo per cápita,,Euro per cápita,7696.3
2020,Valor añadido del sector manufacturo per cápita,,Euro per cápita,6697.6
2021,Valor añadido del sector manufacturo per cápita,,Euro per cápita,7325.0
2022,Valor añadido del sector manufacturo per cápita,,Euro per cápita,7654.4
2023,Valor añadido del sector manufacturo per cápita,,Euro per cápita,7633.7
