Year,Territorio histórico,Units,Value
2022,,%,3.7
2012,,%,0.9
2021,,%,4.8
2016,,%,1.2
2017,,%,0.8
2013,,%,0.6
2014,,%,0.9
2011,,%,1.5
2023,,%,1.0
2020,,%,-7.8
2010,,%,1.6
2018,,%,0.9
2019,,%,1.1
2024,,%,1.3
2015,,%,0.9
2013,Araba/Álava,%,0.7
2010,Araba/Álava,%,1.5
2017,Araba/Álava,%,-0.2
2014,Araba/Álava,%,2.5
2018,Araba/Álava,%,0.0
2020,Araba/Álava,%,-8.5
2021,Araba/Álava,%,6.1
2011,Araba/Álava,%,2.4
2024,Araba/Álava,%,0.9
2015,Araba/Álava,%,1.5
2022,Araba/Álava,%,1.8
2023,Araba/Álava,%,1.2
2019,Araba/Álava,%,0.9
2012,Araba/Álava,%,0.8
2016,Araba/Álava,%,0.8
2011,Bizkaia,%,1.4
2013,Bizkaia,%,1.0
2014,Bizkaia,%,0.7
2015,Bizkaia,%,0.4
2017,Bizkaia,%,1.3
2018,Bizkaia,%,0.8
2019,Bizkaia,%,0.8
2021,Bizkaia,%,4.3
2022,Bizkaia,%,5.1
2023,Bizkaia,%,0.7
2024,Bizkaia,%,1.4
2010,Bizkaia,%,1.4
2020,Bizkaia,%,-7.0
2016,Bizkaia,%,1.3
2012,Bizkaia,%,0.7
2024,Gipuzkoa,%,1.3
2010,Gipuzkoa,%,1.8
2011,Gipuzkoa,%,1.0
2012,Gipuzkoa,%,1.3
2013,Gipuzkoa,%,-0.1
2014,Gipuzkoa,%,0.4
2015,Gipuzkoa,%,1.2
2016,Gipuzkoa,%,1.3
2017,Gipuzkoa,%,0.5
2018,Gipuzkoa,%,1.4
2019,Gipuzkoa,%,1.7
2020,Gipuzkoa,%,-8.6
2021,Gipuzkoa,%,4.9
2022,Gipuzkoa,%,2.5
2023,Gipuzkoa,%,1.3
