Year,Series,Sexo,Units,Value
2015,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,,Por 1.000,0.07
2017,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,,Por 1.000,0.06
2014,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,,Por 1.000,0.07
2022,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,,Por 1.000,0.06
2020,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,,Por 1.000,0.05
2010,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,,Por 1.000,0.09
2012,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,,Por 1.000,0.07
2018,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,,Por 1.000,0.08
2011,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,,Por 1.000,0.08
2021,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,,Por 1.000,0.05
2016,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,,Por 1.000,0.07
2013,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,,Por 1.000,0.07
2023,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,,Por 1.000,0.06
2019,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,,Por 1.000,0.07
2017,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,Mujer,Por 1.000,0.03
2014,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,Mujer,Por 1.000,0.03
2023,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,Mujer,Por 1.000,0.02
2016,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,Mujer,Por 1.000,0.03
2021,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,Mujer,Por 1.000,0.02
2011,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,Mujer,Por 1.000,0.04
2020,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,Mujer,Por 1.000,0.02
2022,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,Mujer,Por 1.000,0.03
2019,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,Mujer,Por 1.000,0.02
2010,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,Mujer,Por 1.000,0.04
2015,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,Mujer,Por 1.000,0.03
2013,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,Mujer,Por 1.000,0.02
2018,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,Mujer,Por 1.000,0.03
2012,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,Mujer,Por 1.000,0.03
2018,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,Hombre,Por 1.000,0.13
2019,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,Hombre,Por 1.000,0.11
2021,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,Hombre,Por 1.000,0.09
2014,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,Hombre,Por 1.000,0.11
2020,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,Hombre,Por 1.000,0.08
2015,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,Hombre,Por 1.000,0.11
2010,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,Hombre,Por 1.000,0.14
2011,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,Hombre,Por 1.000,0.13
2012,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,Hombre,Por 1.000,0.13
2013,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,Hombre,Por 1.000,0.12
2017,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,Hombre,Por 1.000,0.1
2023,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,Hombre,Por 1.000,0.1
2022,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,Hombre,Por 1.000,0.09
2016,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,Hombre,Por 1.000,0.12
