Year,Series,Sexo,Territorio histórico,Units,Value
2022,Proporción de personas desempleadas que reciben prestaciones por desempleo,,,%,61.3
2024,Proporción de personas desempleadas que reciben prestaciones por desempleo,,,%,70.0
2020,Proporción de personas desempleadas que reciben prestaciones por desempleo,,,%,92.6
2018,Proporción de personas desempleadas que reciben prestaciones por desempleo,,,%,46.7
2021,Proporción de personas desempleadas que reciben prestaciones por desempleo,,,%,59.1
2019,Proporción de personas desempleadas que reciben prestaciones por desempleo,,,%,53.5
2017,Proporción de personas desempleadas que reciben prestaciones por desempleo,,,%,45.7
2023,Proporción de personas desempleadas que reciben prestaciones por desempleo,,,%,66.4
2020,Proporción de personas desempleadas que reciben prestaciones por desempleo,,Araba/Álava,%,92.4
2023,Proporción de personas desempleadas que reciben prestaciones por desempleo,,Araba/Álava,%,69.0
2021,Proporción de personas desempleadas que reciben prestaciones por desempleo,,Araba/Álava,%,56.7
2018,Proporción de personas desempleadas que reciben prestaciones por desempleo,,Araba/Álava,%,44.4
2017,Proporción de personas desempleadas que reciben prestaciones por desempleo,,Araba/Álava,%,46.0
2024,Proporción de personas desempleadas que reciben prestaciones por desempleo,,Araba/Álava,%,71.3
2019,Proporción de personas desempleadas que reciben prestaciones por desempleo,,Araba/Álava,%,50.5
2022,Proporción de personas desempleadas que reciben prestaciones por desempleo,,Araba/Álava,%,57.0
2024,Proporción de personas desempleadas que reciben prestaciones por desempleo,,Bizkaia,%,65.7
2020,Proporción de personas desempleadas que reciben prestaciones por desempleo,,Bizkaia,%,84.7
2023,Proporción de personas desempleadas que reciben prestaciones por desempleo,,Bizkaia,%,64.7
2018,Proporción de personas desempleadas que reciben prestaciones por desempleo,,Bizkaia,%,43.3
2019,Proporción de personas desempleadas que reciben prestaciones por desempleo,,Bizkaia,%,49.7
2021,Proporción de personas desempleadas que reciben prestaciones por desempleo,,Bizkaia,%,56.4
2022,Proporción de personas desempleadas que reciben prestaciones por desempleo,,Bizkaia,%,61.2
2017,Proporción de personas desempleadas que reciben prestaciones por desempleo,,Bizkaia,%,42.8
2018,Proporción de personas desempleadas que reciben prestaciones por desempleo,,Gipuzkoa,%,56.4
2021,Proporción de personas desempleadas que reciben prestaciones por desempleo,,Gipuzkoa,%,66.8
2023,Proporción de personas desempleadas que reciben prestaciones por desempleo,,Gipuzkoa,%,68.7
2024,Proporción de personas desempleadas que reciben prestaciones por desempleo,,Gipuzkoa,%,79.2
2022,Proporción de personas desempleadas que reciben prestaciones por desempleo,,Gipuzkoa,%,64.6
2020,Proporción de personas desempleadas que reciben prestaciones por desempleo,,Gipuzkoa,%,100.0
2017,Proporción de personas desempleadas que reciben prestaciones por desempleo,,Gipuzkoa,%,52.1
