Year,Series,Territorio histórico,Units,Value
2019,Proporción del PIB generada por el trabajo,,%,47.1
2011,Proporción del PIB generada por el trabajo,,%,50.0
2016,Proporción del PIB generada por el trabajo,,%,47.5
2010,Proporción del PIB generada por el trabajo,,%,50.2
2015,Proporción del PIB generada por el trabajo,,%,47.9
2021,Proporción del PIB generada por el trabajo,,%,47.4
2012,Proporción del PIB generada por el trabajo,,%,49.2
2014,Proporción del PIB generada por el trabajo,,%,48.2
2020,Proporción del PIB generada por el trabajo,,%,49.8
2013,Proporción del PIB generada por el trabajo,,%,49.0
2018,Proporción del PIB generada por el trabajo,,%,46.9
2017,Proporción del PIB generada por el trabajo,,%,47.3
2013,Proporción del PIB generada por el trabajo,Araba/Álava,%,50.9
2019,Proporción del PIB generada por el trabajo,Araba/Álava,%,48.5
2012,Proporción del PIB generada por el trabajo,Araba/Álava,%,50.8
2018,Proporción del PIB generada por el trabajo,Araba/Álava,%,48.3
2014,Proporción del PIB generada por el trabajo,Araba/Álava,%,49.4
2011,Proporción del PIB generada por el trabajo,Araba/Álava,%,51.7
2021,Proporción del PIB generada por el trabajo,Araba/Álava,%,49.3
2020,Proporción del PIB generada por el trabajo,Araba/Álava,%,51.3
2016,Proporción del PIB generada por el trabajo,Araba/Álava,%,48.0
2017,Proporción del PIB generada por el trabajo,Araba/Álava,%,48.6
2010,Proporción del PIB generada por el trabajo,Araba/Álava,%,54.1
2015,Proporción del PIB generada por el trabajo,Araba/Álava,%,48.3
2015,Proporción del PIB generada por el trabajo,Bizkaia,%,47.3
2011,Proporción del PIB generada por el trabajo,Bizkaia,%,49.5
2010,Proporción del PIB generada por el trabajo,Bizkaia,%,49.4
2021,Proporción del PIB generada por el trabajo,Bizkaia,%,47.0
2012,Proporción del PIB generada por el trabajo,Bizkaia,%,48.7
2017,Proporción del PIB generada por el trabajo,Bizkaia,%,46.5
2014,Proporción del PIB generada por el trabajo,Bizkaia,%,47.4
2019,Proporción del PIB generada por el trabajo,Bizkaia,%,46.5
2016,Proporción del PIB generada por el trabajo,Bizkaia,%,46.8
2018,Proporción del PIB generada por el trabajo,Bizkaia,%,46.3
2013,Proporción del PIB generada por el trabajo,Bizkaia,%,48.4
2020,Proporción del PIB generada por el trabajo,Bizkaia,%,49.4
2021,Proporción del PIB generada por el trabajo,Gipuzkoa,%,47.2
2010,Proporción del PIB generada por el trabajo,Gipuzkoa,%,49.7
2013,Proporción del PIB generada por el trabajo,Gipuzkoa,%,48.8
2017,Proporción del PIB generada por el trabajo,Gipuzkoa,%,48.0
2012,Proporción del PIB generada por el trabajo,Gipuzkoa,%,49.1
2015,Proporción del PIB generada por el trabajo,Gipuzkoa,%,48.7
2014,Proporción del PIB generada por el trabajo,Gipuzkoa,%,49.0
2016,Proporción del PIB generada por el trabajo,Gipuzkoa,%,48.2
2019,Proporción del PIB generada por el trabajo,Gipuzkoa,%,47.2
2018,Proporción del PIB generada por el trabajo,Gipuzkoa,%,47.3
2020,Proporción del PIB generada por el trabajo,Gipuzkoa,%,49.5
2011,Proporción del PIB generada por el trabajo,Gipuzkoa,%,49.8
