Year,Territorio histórico,Units,Value
2013,,%,23.8
2010,,%,23.9
2017,,%,26.4
2012,,%,23.3
2022,,%,26.0
2018,,%,25.2
2014,,%,24.3
2011,,%,23.3
2019,,%,24.9
2021,,%,27.0
2016,,%,24.4
2020,,%,25.5
2015,,%,24.1
2015,Araba/Álava,%,21.7
2016,Araba/Álava,%,22.2
2013,Araba/Álava,%,21.3
2019,Araba/Álava,%,22.8
2010,Araba/Álava,%,23.6
2017,Araba/Álava,%,24.0
2014,Araba/Álava,%,21.4
2018,Araba/Álava,%,23.0
2020,Araba/Álava,%,23.4
2022,Araba/Álava,%,24.1
2011,Araba/Álava,%,21.9
2021,Araba/Álava,%,24.4
2012,Araba/Álava,%,23.3
2011,Bizkaia,%,23.5
2015,Bizkaia,%,23.0
2017,Bizkaia,%,24.5
2018,Bizkaia,%,24.4
2019,Bizkaia,%,24.2
2021,Bizkaia,%,24.9
2022,Bizkaia,%,24.1
2010,Bizkaia,%,23.6
2012,Bizkaia,%,22.2
2013,Bizkaia,%,22.9
2014,Bizkaia,%,24.2
2020,Bizkaia,%,24.1
2016,Bizkaia,%,23.7
2020,Gipuzkoa,%,22.6
2021,Gipuzkoa,%,24.2
2022,Gipuzkoa,%,23.7
2010,Gipuzkoa,%,21.4
2011,Gipuzkoa,%,20.3
2012,Gipuzkoa,%,20.3
2013,Gipuzkoa,%,21.8
2014,Gipuzkoa,%,21.9
2015,Gipuzkoa,%,22.0
2016,Gipuzkoa,%,21.9
2017,Gipuzkoa,%,23.1
2018,Gipuzkoa,%,22.6
2019,Gipuzkoa,%,22.3
