Year,Series,Units,Value
2022,Ayuda Oficial al Desarrollo neta de las administraciones públicas autonómicas y locales,Millones de euros,78.48
2013,Ayuda Oficial al Desarrollo neta de las administraciones públicas autonómicas y locales,Millones de euros,40.98
2021,Ayuda Oficial al Desarrollo neta de las administraciones públicas autonómicas y locales,Millones de euros,73.9
2017,Ayuda Oficial al Desarrollo neta de las administraciones públicas autonómicas y locales,Millones de euros,65.96
2012,Ayuda Oficial al Desarrollo neta de las administraciones públicas autonómicas y locales,Millones de euros,61.89
2015,Ayuda Oficial al Desarrollo neta de las administraciones públicas autonómicas y locales,Millones de euros,49.43
2016,Ayuda Oficial al Desarrollo neta de las administraciones públicas autonómicas y locales,Millones de euros,52.35
2018,Ayuda Oficial al Desarrollo neta de las administraciones públicas autonómicas y locales,Millones de euros,60.66
2010,Ayuda Oficial al Desarrollo neta de las administraciones públicas autonómicas y locales,Millones de euros,70.73
2023,Ayuda Oficial al Desarrollo neta de las administraciones públicas autonómicas y locales,Millones de euros,80.53
2020,Ayuda Oficial al Desarrollo neta de las administraciones públicas autonómicas y locales,Millones de euros,65.98
2011,Ayuda Oficial al Desarrollo neta de las administraciones públicas autonómicas y locales,Millones de euros,67.21
2019,Ayuda Oficial al Desarrollo neta de las administraciones públicas autonómicas y locales,Millones de euros,63.9
2014,Ayuda Oficial al Desarrollo neta de las administraciones públicas autonómicas y locales,Millones de euros,49.62
2010,Ayuda Oficial al Desarrollo neta de las administraciones públicas autonómicas y locales en proporción al PIB,%,0.11
2011,Ayuda Oficial al Desarrollo neta de las administraciones públicas autonómicas y locales en proporción al PIB,%,0.1
2013,Ayuda Oficial al Desarrollo neta de las administraciones públicas autonómicas y locales en proporción al PIB,%,0.06
2014,Ayuda Oficial al Desarrollo neta de las administraciones públicas autonómicas y locales en proporción al PIB,%,0.07
2022,Ayuda Oficial al Desarrollo neta de las administraciones públicas autonómicas y locales en proporción al PIB,%,0.09
2015,Ayuda Oficial al Desarrollo neta de las administraciones públicas autonómicas y locales en proporción al PIB,%,0.07
2016,Ayuda Oficial al Desarrollo neta de las administraciones públicas autonómicas y locales en proporción al PIB,%,0.07
2017,Ayuda Oficial al Desarrollo neta de las administraciones públicas autonómicas y locales en proporción al PIB,%,0.09
2018,Ayuda Oficial al Desarrollo neta de las administraciones públicas autonómicas y locales en proporción al PIB,%,0.08
2012,Ayuda Oficial al Desarrollo neta de las administraciones públicas autonómicas y locales en proporción al PIB,%,0.09
2019,Ayuda Oficial al Desarrollo neta de las administraciones públicas autonómicas y locales en proporción al PIB,%,0.08
2020,Ayuda Oficial al Desarrollo neta de las administraciones públicas autonómicas y locales en proporción al PIB,%,0.09
2021,Ayuda Oficial al Desarrollo neta de las administraciones públicas autonómicas y locales en proporción al PIB,%,0.09
2023,Ayuda Oficial al Desarrollo neta de las administraciones públicas autonómicas y locales en proporción al PIB,%,0.09
