Year,Series,Territorio histórico,Units,Value
2022,Índice de paridad de género en la realización de actividades educativas,,Ratio,1.07
2011,Índice de paridad de género en la realización de actividades educativas,,Ratio,1.17
2016,Índice de paridad de género en la realización de actividades educativas,,Ratio,1.0
2022,Índice de paridad en ingresos en la realización de actividades educativas (quintiles superior e inferior),,Ratio,0.6
2016,Índice de paridad en ingresos en la realización de actividades educativas (quintiles superior e inferior),,Ratio,0.6
2011,Índice de paridad en ingresos en la realización de actividades educativas (quintiles superior e inferior),,Ratio,0.64
2016,Índice de paridad en salud en la realización de actividades educativas,,Ratio,0.66
2022,Índice de paridad en salud en la realización de actividades educativas,,Ratio,0.7
2021,Índice de paridad residencial en la realización de actividades educativas (municipios de más y menos de 10.000 habitantes),,Ratio,1.02
2015,Índice de paridad residencial en la realización de actividades educativas (municipios de más y menos de 10.000 habitantes),,Ratio,0.91
2014,Índice de paridad residencial en la realización de actividades educativas (municipios de más y menos de 10.000 habitantes),,Ratio,0.91
2010,Índice de paridad residencial en la realización de actividades educativas (municipios de más y menos de 10.000 habitantes),,Ratio,0.99
2019,Índice de paridad residencial en la realización de actividades educativas (municipios de más y menos de 10.000 habitantes),,Ratio,0.9
2022,Índice de paridad residencial en la realización de actividades educativas (municipios de más y menos de 10.000 habitantes),,Ratio,1.01
2016,Índice de paridad residencial en la realización de actividades educativas (municipios de más y menos de 10.000 habitantes),,Ratio,0.94
2018,Índice de paridad residencial en la realización de actividades educativas (municipios de más y menos de 10.000 habitantes),,Ratio,0.88
2024,Índice de paridad residencial en la realización de actividades educativas (municipios de más y menos de 10.000 habitantes),,Ratio,0.97
2017,Índice de paridad residencial en la realización de actividades educativas (municipios de más y menos de 10.000 habitantes),,Ratio,0.92
2020,Índice de paridad residencial en la realización de actividades educativas (municipios de más y menos de 10.000 habitantes),,Ratio,0.99
2013,Índice de paridad residencial en la realización de actividades educativas (municipios de más y menos de 10.000 habitantes),,Ratio,0.93
2012,Índice de paridad residencial en la realización de actividades educativas (municipios de más y menos de 10.000 habitantes),,Ratio,0.98
2011,Índice de paridad residencial en la realización de actividades educativas (municipios de más y menos de 10.000 habitantes),,Ratio,0.96
2023,Índice de paridad residencial en la realización de actividades educativas (municipios de más y menos de 10.000 habitantes),,Ratio,1.02
2019,Índice de paridad residencial en la realización de actividades educativas (municipios de más y menos de 10.000 habitantes),Araba/Álava,Ratio,0.96
2011,Índice de paridad residencial en la realización de actividades educativas (municipios de más y menos de 10.000 habitantes),Araba/Álava,Ratio,0.68
2018,Índice de paridad residencial en la realización de actividades educativas (municipios de más y menos de 10.000 habitantes),Araba/Álava,Ratio,1.03
2017,Índice de paridad residencial en la realización de actividades educativas (municipios de más y menos de 10.000 habitantes),Araba/Álava,Ratio,0.84
2016,Índice de paridad residencial en la realización de actividades educativas (municipios de más y menos de 10.000 habitantes),Araba/Álava,Ratio,0.93
2010,Índice de paridad residencial en la realización de actividades educativas (municipios de más y menos de 10.000 habitantes),Araba/Álava,Ratio,0.43
2015,Índice de paridad residencial en la realización de actividades educativas (municipios de más y menos de 10.000 habitantes),Araba/Álava,Ratio,0.96
2014,Índice de paridad residencial en la realización de actividades educativas (municipios de más y menos de 10.000 habitantes),Araba/Álava,Ratio,0.7
2024,Índice de paridad residencial en la realización de actividades educativas (municipios de más y menos de 10.000 habitantes),Araba/Álava,Ratio,0.9
2023,Índice de paridad residencial en la realización de actividades educativas (municipios de más y menos de 10.000 habitantes),Araba/Álava,Ratio,0.89
2013,Índice de paridad residencial en la realización de actividades educativas (municipios de más y menos de 10.000 habitantes),Araba/Álava,Ratio,0.77
2022,Índice de paridad residencial en la realización de actividades educativas (municipios de más y menos de 10.000 habitantes),Araba/Álava,Ratio,0.85
2021,Índice de paridad residencial en la realización de actividades educativas (municipios de más y menos de 10.000 habitantes),Araba/Álava,Ratio,0.91
2012,Índice de paridad residencial en la realización de actividades educativas (municipios de más y menos de 10.000 habitantes),Araba/Álava,Ratio,0.8
2020,Índice de paridad residencial en la realización de actividades educativas (municipios de más y menos de 10.000 habitantes),Araba/Álava,Ratio,0.85
2020,Índice de paridad residencial en la realización de actividades educativas (municipios de más y menos de 10.000 habitantes),Gipuzkoa,Ratio,0.94
2019,Índice de paridad residencial en la realización de actividades educativas (municipios de más y menos de 10.000 habitantes),Gipuzkoa,Ratio,0.91
2018,Índice de paridad residencial en la realización de actividades educativas (municipios de más y menos de 10.000 habitantes),Gipuzkoa,Ratio,0.86
2017,Índice de paridad residencial en la realización de actividades educativas (municipios de más y menos de 10.000 habitantes),Gipuzkoa,Ratio,0.92
2016,Índice de paridad residencial en la realización de actividades educativas (municipios de más y menos de 10.000 habitantes),Gipuzkoa,Ratio,0.99
2015,Índice de paridad residencial en la realización de actividades educativas (municipios de más y menos de 10.000 habitantes),Gipuzkoa,Ratio,0.91
2014,Índice de paridad residencial en la realización de actividades educativas (municipios de más y menos de 10.000 habitantes),Gipuzkoa,Ratio,0.9
2013,Índice de paridad residencial en la realización de actividades educativas (municipios de más y menos de 10.000 habitantes),Gipuzkoa,Ratio,1.01
2012,Índice de paridad residencial en la realización de actividades educativas (municipios de más y menos de 10.000 habitantes),Gipuzkoa,Ratio,1.0
2011,Índice de paridad residencial en la realización de actividades educativas (municipios de más y menos de 10.000 habitantes),Gipuzkoa,Ratio,0.91
2010,Índice de paridad residencial en la realización de actividades educativas (municipios de más y menos de 10.000 habitantes),Gipuzkoa,Ratio,0.95
2024,Índice de paridad residencial en la realización de actividades educativas (municipios de más y menos de 10.000 habitantes),Gipuzkoa,Ratio,1.04
2023,Índice de paridad residencial en la realización de actividades educativas (municipios de más y menos de 10.000 habitantes),Gipuzkoa,Ratio,1.1
2022,Índice de paridad residencial en la realización de actividades educativas (municipios de más y menos de 10.000 habitantes),Gipuzkoa,Ratio,1.11
2021,Índice de paridad residencial en la realización de actividades educativas (municipios de más y menos de 10.000 habitantes),Gipuzkoa,Ratio,1.03
2024,Índice de paridad residencial en la realización de actividades educativas (municipios de más y menos de 10.000 habitantes),Bizkaia,Ratio,0.94
2023,Índice de paridad residencial en la realización de actividades educativas (municipios de más y menos de 10.000 habitantes),Bizkaia,Ratio,0.99
2022,Índice de paridad residencial en la realización de actividades educativas (municipios de más y menos de 10.000 habitantes),Bizkaia,Ratio,0.99
2021,Índice de paridad residencial en la realización de actividades educativas (municipios de más y menos de 10.000 habitantes),Bizkaia,Ratio,1.05
2020,Índice de paridad residencial en la realización de actividades educativas (municipios de más y menos de 10.000 habitantes),Bizkaia,Ratio,1.05
2019,Índice de paridad residencial en la realización de actividades educativas (municipios de más y menos de 10.000 habitantes),Bizkaia,Ratio,0.89
2018,Índice de paridad residencial en la realización de actividades educativas (municipios de más y menos de 10.000 habitantes),Bizkaia,Ratio,0.86
2017,Índice de paridad residencial en la realización de actividades educativas (municipios de más y menos de 10.000 habitantes),Bizkaia,Ratio,0.95
2016,Índice de paridad residencial en la realización de actividades educativas (municipios de más y menos de 10.000 habitantes),Bizkaia,Ratio,0.9
2015,Índice de paridad residencial en la realización de actividades educativas (municipios de más y menos de 10.000 habitantes),Bizkaia,Ratio,0.88
2014,Índice de paridad residencial en la realización de actividades educativas (municipios de más y menos de 10.000 habitantes),Bizkaia,Ratio,0.99
2013,Índice de paridad residencial en la realización de actividades educativas (municipios de más y menos de 10.000 habitantes),Bizkaia,Ratio,0.93
2012,Índice de paridad residencial en la realización de actividades educativas (municipios de más y menos de 10.000 habitantes),Bizkaia,Ratio,0.98
2011,Índice de paridad residencial en la realización de actividades educativas (municipios de más y menos de 10.000 habitantes),Bizkaia,Ratio,1.05
2010,Índice de paridad residencial en la realización de actividades educativas (municipios de más y menos de 10.000 habitantes),Bizkaia,Ratio,1.14
