Year,Institución,Territorio histórico,Units,Value
2023,Electas en parlamento autonómico,,Porcentaje,49.3
2024,Electas en parlamento autonómico,,Porcentaje,52.0
2019,Electas en parlamento autonómico,,Porcentaje,53.3
2018,Electas en parlamento autonómico,,Porcentaje,53.3
2016,Electas en parlamento autonómico,,Porcentaje,53.3
2014,Electas en parlamento autonómico,,Porcentaje,49.3
2015,Electas en parlamento autonómico,,Porcentaje,49.3
2020,Electas en parlamento autonómico,,Porcentaje,50.7
2017,Electas en parlamento autonómico,,Porcentaje,53.3
2022,Electas en parlamento autonómico,,Porcentaje,50.7
2012,Electas en parlamento autonómico,,Porcentaje,49.3
2013,Electas en parlamento autonómico,,Porcentaje,49.3
2011,Electas en parlamento autonómico,,Porcentaje,45.3
2010,Electas en parlamento autonómico,,Porcentaje,45.3
2021,Electas en parlamento autonómico,,Porcentaje,50.7
2017,Departamentos en el gobierno autonómico,,Porcentaje,41.7
2016,Departamentos en el gobierno autonómico,,Porcentaje,50.0
2023,Departamentos en el gobierno autonómico,,Porcentaje,45.5
2013,Departamentos en el gobierno autonómico,,Porcentaje,50.0
2021,Departamentos en el gobierno autonómico,,Porcentaje,45.5
2024,Departamentos en el gobierno autonómico,,Porcentaje,46.7
2014,Departamentos en el gobierno autonómico,,Porcentaje,50.0
2019,Departamentos en el gobierno autonómico,,Porcentaje,63.6
2012,Departamentos en el gobierno autonómico,,Porcentaje,50.0
2010,Departamentos en el gobierno autonómico,,Porcentaje,45.5
2022,Departamentos en el gobierno autonómico,,Porcentaje,45.5
2011,Departamentos en el gobierno autonómico,,Porcentaje,50.0
2020,Departamentos en el gobierno autonómico,,Porcentaje,45.5
2015,Departamentos en el gobierno autonómico,,Porcentaje,50.0
2018,Departamentos en el gobierno autonómico,,Porcentaje,41.7
2015,Departamentos en gobiernos forales,,Porcentaje,50.0
2016,Departamentos en gobiernos forales,,Porcentaje,50.0
2013,Departamentos en gobiernos forales,,Porcentaje,42.3
2020,Departamentos en gobiernos forales,,Porcentaje,55.2
2017,Departamentos en gobiernos forales,,Porcentaje,50.0
2018,Departamentos en gobiernos forales,,Porcentaje,50.0
2021,Departamentos en gobiernos forales,,Porcentaje,55.2
2011,Departamentos en gobiernos forales,,Porcentaje,42.3
2022,Departamentos en gobiernos forales,,Porcentaje,51.7
2019,Departamentos en gobiernos forales,,Porcentaje,55.2
2012,Departamentos en gobiernos forales,,Porcentaje,42.3
2014,Departamentos en gobiernos forales,,Porcentaje,42.3
2010,Departamentos en gobiernos forales,,Porcentaje,36.4
2018,Departamentos en gobiernos forales,Araba/Álava,Porcentaje,50.0
2022,Departamentos en gobiernos forales,Araba/Álava,Porcentaje,55.6
2021,Departamentos en gobiernos forales,Araba/Álava,Porcentaje,66.7
2019,Departamentos en gobiernos forales,Araba/Álava,Porcentaje,66.7
2016,Departamentos en gobiernos forales,Araba/Álava,Porcentaje,50.0
2017,Departamentos en gobiernos forales,Araba/Álava,Porcentaje,50.0
2015,Departamentos en gobiernos forales,Araba/Álava,Porcentaje,50.0
2013,Departamentos en gobiernos forales,Araba/Álava,Porcentaje,50.0
2010,Departamentos en gobiernos forales,Araba/Álava,Porcentaje,40.0
2014,Departamentos en gobiernos forales,Araba/Álava,Porcentaje,50.0
2012,Departamentos en gobiernos forales,Araba/Álava,Porcentaje,50.0
2020,Departamentos en gobiernos forales,Araba/Álava,Porcentaje,66.7
2011,Departamentos en gobiernos forales,Araba/Álava,Porcentaje,50.0
2017,Departamentos en gobiernos forales,Bizkaia,Porcentaje,55.6
2014,Departamentos en gobiernos forales,Bizkaia,Porcentaje,40.0
2018,Departamentos en gobiernos forales,Bizkaia,Porcentaje,55.6
2012,Departamentos en gobiernos forales,Bizkaia,Porcentaje,40.0
2020,Departamentos en gobiernos forales,Bizkaia,Porcentaje,50.0
2021,Departamentos en gobiernos forales,Bizkaia,Porcentaje,50.0
2019,Departamentos en gobiernos forales,Bizkaia,Porcentaje,50.0
2016,Departamentos en gobiernos forales,Bizkaia,Porcentaje,55.6
2015,Departamentos en gobiernos forales,Bizkaia,Porcentaje,55.6
2013,Departamentos en gobiernos forales,Bizkaia,Porcentaje,40.0
2010,Departamentos en gobiernos forales,Bizkaia,Porcentaje,33.3
2022,Departamentos en gobiernos forales,Bizkaia,Porcentaje,50.0
2011,Departamentos en gobiernos forales,Bizkaia,Porcentaje,40.0
2021,Departamentos en gobiernos forales,Gipuzkoa,Porcentaje,50.0
2019,Departamentos en gobiernos forales,Gipuzkoa,Porcentaje,50.0
2017,Departamentos en gobiernos forales,Gipuzkoa,Porcentaje,44.4
2011,Departamentos en gobiernos forales,Gipuzkoa,Porcentaje,37.5
2010,Departamentos en gobiernos forales,Gipuzkoa,Porcentaje,36.4
2014,Departamentos en gobiernos forales,Gipuzkoa,Porcentaje,37.5
2015,Departamentos en gobiernos forales,Gipuzkoa,Porcentaje,44.4
2018,Departamentos en gobiernos forales,Gipuzkoa,Porcentaje,44.4
2012,Departamentos en gobiernos forales,Gipuzkoa,Porcentaje,37.5
2016,Departamentos en gobiernos forales,Gipuzkoa,Porcentaje,44.4
2013,Departamentos en gobiernos forales,Gipuzkoa,Porcentaje,37.5
2020,Departamentos en gobiernos forales,Gipuzkoa,Porcentaje,50.0
2022,Departamentos en gobiernos forales,Gipuzkoa,Porcentaje,50.0
2010,Electas en Juntas Generales,,Porcentaje,41.2
2021,Electas en Juntas Generales,,Porcentaje,54.2
2015,Electas en Juntas Generales,,Porcentaje,48.1
2020,Electas en Juntas Generales,,Porcentaje,54.2
2017,Electas en Juntas Generales,,Porcentaje,48.1
2018,Electas en Juntas Generales,,Porcentaje,48.1
2012,Electas en Juntas Generales,,Porcentaje,48.4
2022,Electas en Juntas Generales,,Porcentaje,54.2
2019,Electas en Juntas Generales,,Porcentaje,54.2
2016,Electas en Juntas Generales,,Porcentaje,48.1
2011,Electas en Juntas Generales,,Porcentaje,48.4
2013,Electas en Juntas Generales,,Porcentaje,48.4
2014,Electas en Juntas Generales,,Porcentaje,48.4
2010,Electas en Juntas Generales,Araba/Álava,Porcentaje,41.2
2014,Electas en Juntas Generales,Araba/Álava,Porcentaje,51.0
2012,Electas en Juntas Generales,Araba/Álava,Porcentaje,51.0
2020,Electas en Juntas Generales,Araba/Álava,Porcentaje,56.9
2022,Electas en Juntas Generales,Araba/Álava,Porcentaje,56.9
2021,Electas en Juntas Generales,Araba/Álava,Porcentaje,56.9
2019,Electas en Juntas Generales,Araba/Álava,Porcentaje,56.9
2018,Electas en Juntas Generales,Araba/Álava,Porcentaje,45.1
2017,Electas en Juntas Generales,Araba/Álava,Porcentaje,45.1
2016,Electas en Juntas Generales,Araba/Álava,Porcentaje,45.1
2015,Electas en Juntas Generales,Araba/Álava,Porcentaje,45.1
2013,Electas en Juntas Generales,Araba/Álava,Porcentaje,51.0
2011,Electas en Juntas Generales,Araba/Álava,Porcentaje,51.0
2022,Electas en Juntas Generales,Bizkaia,Porcentaje,51.0
2021,Electas en Juntas Generales,Bizkaia,Porcentaje,51.0
2019,Electas en Juntas Generales,Bizkaia,Porcentaje,51.0
2018,Electas en Juntas Generales,Bizkaia,Porcentaje,49.0
2017,Electas en Juntas Generales,Bizkaia,Porcentaje,49.0
2015,Electas en Juntas Generales,Bizkaia,Porcentaje,49.0
2014,Electas en Juntas Generales,Bizkaia,Porcentaje,45.1
