Year,Series,Territorio histórico,Comarca,Municipio,Units,GeoCode,Value
2010,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),,,,%,,59.13
2023,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),,,,%,,100.0
2018,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),,,,%,,88.89
2021,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),,,,%,,100.0
2014,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),,,,%,,67.46
2013,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),,,,%,,67.46
2016,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),,,,%,,67.46
2020,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),,,,%,,88.89
2011,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),,,,%,,59.13
2017,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),,,,%,,88.89
2024,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),,,,%,,100.0
2022,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),,,,%,,100.0
2015,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),,,,%,,67.46
2019,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),,,,%,,88.89
2012,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),,,,%,,67.46
2017,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),,,Abadiño,%,Abadiño,100.0
2021,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),,,Abadiño,%,Abadiño,100.0
2020,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),,,Abadiño,%,Abadiño,100.0
2019,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),,,Abadiño,%,Abadiño,100.0
2011,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),,,Abadiño,%,Abadiño,0.0
2018,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),,,Abadiño,%,Abadiño,100.0
2023,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),,,Abadiño,%,Abadiño,100.0
2022,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),,,Abadiño,%,Abadiño,100.0
2016,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),,,Abadiño,%,Abadiño,100.0
2024,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),,,Abadiño,%,Abadiño,100.0
2015,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),,,Abadiño,%,Abadiño,100.0
2010,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),,,Abadiño,%,Abadiño,0.0
2013,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),,,Abadiño,%,Abadiño,100.0
2014,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),,,Abadiño,%,Abadiño,100.0
2012,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),,,Abadiño,%,Abadiño,100.0
2017,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),,,Abaltzisketa,%,Abaltzisketa,0.0
2013,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),,,Abaltzisketa,%,Abaltzisketa,0.0
2019,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),,,Abaltzisketa,%,Abaltzisketa,0.0
2016,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),,,Abaltzisketa,%,Abaltzisketa,0.0
2024,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),,,Abaltzisketa,%,Abaltzisketa,100.0
2018,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),,,Abaltzisketa,%,Abaltzisketa,0.0
2015,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),,,Abaltzisketa,%,Abaltzisketa,0.0
2020,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),,,Abaltzisketa,%,Abaltzisketa,0.0
2023,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),,,Abaltzisketa,%,Abaltzisketa,100.0
2012,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),,,Abaltzisketa,%,Abaltzisketa,0.0
2010,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),,,Abaltzisketa,%,Abaltzisketa,0.0
2011,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),,,Abaltzisketa,%,Abaltzisketa,0.0
2022,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),,,Abaltzisketa,%,Abaltzisketa,100.0
2021,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),,,Abaltzisketa,%,Abaltzisketa,100.0
2014,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),,,Abaltzisketa,%,Abaltzisketa,0.0
2015,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,100.0
2011,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,100.0
2019,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,100.0
2021,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,100.0
2022,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,100.0
2010,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,100.0
2016,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,100.0
2023,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,100.0
2012,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,100.0
2014,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,100.0
2020,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,100.0
2013,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,100.0
2018,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,100.0
2017,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,100.0
2024,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,100.0
2019,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),,,Aduna,%,Aduna,0.0
2020,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),,,Aduna,%,Aduna,0.0
2011,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),,,Aduna,%,Aduna,0.0
2014,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),,,Aduna,%,Aduna,0.0
2022,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),,,Aduna,%,Aduna,100.0
2023,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),,,Aduna,%,Aduna,100.0
2021,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),,,Aduna,%,Aduna,100.0
2016,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),,,Aduna,%,Aduna,0.0
2012,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),,,Aduna,%,Aduna,0.0
2010,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),,,Aduna,%,Aduna,0.0
2017,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),,,Aduna,%,Aduna,0.0
2024,Proporción de municipios cubiertos por un plan de ordenación territorial (PTP),,,Aduna,%,Aduna,100.0
