Year,Series,Units,COL2,COL3,COL4,COL5,COL6,Value
2022,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo,Millones de euros,,,,,,1566.89
2013,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo,Millones de euros,,,,,,-1006.19
2021,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo,Millones de euros,,,,,,9.0
2017,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo,Millones de euros,,,,,,543.72
2012,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo,Millones de euros,,,,,,576.56
2015,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo,Millones de euros,,,,,,36.2
2016,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo,Millones de euros,,,,,,554.29
2018,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo,Millones de euros,,,,,,178.6
2010,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo,Millones de euros,,,,,,1597.2
2023,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo,Millones de euros,,,,,,33.18
2020,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo,Millones de euros,,,,,,-153.5
2011,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo,Millones de euros,,,,,,5181.85
2019,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo,Millones de euros,,,,,,121.82
2014,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo,Millones de euros,,,,,,-144.05
2010,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo en proporción al PIB,%,,,,,,2.4
2011,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo en proporción al PIB,%,,,,,,7.73
2013,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo en proporción al PIB,%,,,,,,-1.55
2014,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo en proporción al PIB,%,,,,,,-0.22
2022,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo en proporción al PIB,%,,,,,,1.81
2015,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo en proporción al PIB,%,,,,,,0.05
2016,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo en proporción al PIB,%,,,,,,0.78
2017,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo en proporción al PIB,%,,,,,,0.74
2018,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo en proporción al PIB,%,,,,,,0.23
2012,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo en proporción al PIB,%,,,,,,0.88
2019,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo en proporción al PIB,%,,,,,,0.15
2020,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo en proporción al PIB,%,,,,,,-0.21
2021,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo en proporción al PIB,%,,,,,,0.01
2023,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo en proporción al PIB,%,,,,,,0.04
