Year,Edad,Sexo,Territorio histórico,Units,Value
2008,15 años y más,,,%,25.0
2018,15 años y más,,,%,16.7
2023,15 años y más,,,%,15.2
2013,15 años y más,,,%,21.3
2013,15 años y más,,Araba/Álava,%,21.0
2023,15 años y más,,Araba/Álava,%,16.3
2008,15 años y más,,Araba/Álava,%,22.9
2018,15 años y más,,Araba/Álava,%,12.9
2013,15 años y más,,Bizkaia,%,21.7
2018,15 años y más,,Bizkaia,%,17.6
2023,15 años y más,,Bizkaia,%,11.4
2008,15 años y más,,Bizkaia,%,25.9
2013,15 años y más,,Gipuzkoa,%,20.7
2023,15 años y más,,Gipuzkoa,%,17.3
2008,15 años y más,,Gipuzkoa,%,24.4
2018,15 años y más,,Gipuzkoa,%,16.9
2023,15 años y más,Mujer,,%,13.2
2008,15 años y más,Mujer,,%,21.1
2018,15 años y más,Mujer,,%,13.5
2013,15 años y más,Mujer,,%,18.1
2013,15 años y más,Mujer,Araba/Álava,%,19.2
2008,15 años y más,Mujer,Araba/Álava,%,19.9
2023,15 años y más,Mujer,Araba/Álava,%,16.0
2018,15 años y más,Mujer,Araba/Álava,%,11.0
2008,15 años y más,Mujer,Bizkaia,%,21.9
2013,15 años y más,Mujer,Bizkaia,%,17.7
2023,15 años y más,Mujer,Bizkaia,%,9.9
2018,15 años y más,Mujer,Bizkaia,%,14.1
2008,15 años y más,Mujer,Gipuzkoa,%,20.3
2018,15 años y más,Mujer,Gipuzkoa,%,13.7
2023,15 años y más,Mujer,Gipuzkoa,%,14.4
2013,15 años y más,Mujer,Gipuzkoa,%,18.2
2018,15 años y más,Hombre,,%,20.1
2008,15 años y más,Hombre,,%,29.1
2023,15 años y más,Hombre,,%,17.5
2013,15 años y más,Hombre,,%,24.7
2018,15 años y más,Hombre,Araba/Álava,%,14.8
2023,15 años y más,Hombre,Araba/Álava,%,16.7
2013,15 años y más,Hombre,Araba/Álava,%,22.8
2008,15 años y más,Hombre,Araba/Álava,%,26.1
2023,15 años y más,Hombre,Bizkaia,%,13.0
2013,15 años y más,Hombre,Bizkaia,%,26.0
2008,15 años y más,Hombre,Bizkaia,%,30.1
2018,15 años y más,Hombre,Bizkaia,%,21.5
2023,15 años y más,Hombre,Gipuzkoa,%,20.5
2008,15 años y más,Hombre,Gipuzkoa,%,28.7
2013,15 años y más,Hombre,Gipuzkoa,%,23.4
2018,15 años y más,Hombre,Gipuzkoa,%,20.2
