Year,Sexo,Territorio histórico,Units,Value
2011,,,Por 100.000 habitantes,7.9
2010,,,Por 100.000 habitantes,6.0
2020,,,Por 100.000 habitantes,8.4
2014,,,Por 100.000 habitantes,8.6
2013,,,Por 100.000 habitantes,8.2
2024,,,Por 100.000 habitantes,7.7
2021,,,Por 100.000 habitantes,6.8
2019,,,Por 100.000 habitantes,6.6
2023,,,Por 100.000 habitantes,6.4
2016,,,Por 100.000 habitantes,8.3
2015,,,Por 100.000 habitantes,7.7
2018,,,Por 100.000 habitantes,7.5
2012,,,Por 100.000 habitantes,8.3
2017,,,Por 100.000 habitantes,8.3
2022,,,Por 100.000 habitantes,7.9
2015,,Araba/Álava,Por 100.000 habitantes,6.5
2023,,Araba/Álava,Por 100.000 habitantes,7.5
2016,,Araba/Álava,Por 100.000 habitantes,7.1
2021,,Araba/Álava,Por 100.000 habitantes,8.5
2024,,Araba/Álava,Por 100.000 habitantes,7.5
2017,,Araba/Álava,Por 100.000 habitantes,7.1
2018,,Araba/Álava,Por 100.000 habitantes,7.3
2019,,Araba/Álava,Por 100.000 habitantes,6.7
2011,,Araba/Álava,Por 100.000 habitantes,6.6
2012,,Araba/Álava,Por 100.000 habitantes,6.5
2014,,Araba/Álava,Por 100.000 habitantes,6.9
2020,,Araba/Álava,Por 100.000 habitantes,8.2
2013,,Araba/Álava,Por 100.000 habitantes,8.1
2010,,Araba/Álava,Por 100.000 habitantes,8.8
2022,,Araba/Álava,Por 100.000 habitantes,9.3
2015,,Bizkaia,Por 100.000 habitantes,8.2
2014,,Bizkaia,Por 100.000 habitantes,9.5
2017,,Bizkaia,Por 100.000 habitantes,8.6
2010,,Bizkaia,Por 100.000 habitantes,5.4
2023,,Bizkaia,Por 100.000 habitantes,5.3
2012,,Bizkaia,Por 100.000 habitantes,8.2
2022,,Bizkaia,Por 100.000 habitantes,8.0
2024,,Bizkaia,Por 100.000 habitantes,8.3
2016,,Bizkaia,Por 100.000 habitantes,7.6
2021,,Bizkaia,Por 100.000 habitantes,6.2
2013,,Bizkaia,Por 100.000 habitantes,7.8
2019,,Bizkaia,Por 100.000 habitantes,6.4
2018,,Bizkaia,Por 100.000 habitantes,7.7
2020,,Bizkaia,Por 100.000 habitantes,8.7
2011,,Bizkaia,Por 100.000 habitantes,7.8
2018,,Gipuzkoa,Por 100.000 habitantes,7.1
2021,,Gipuzkoa,Por 100.000 habitantes,6.8
2019,,Gipuzkoa,Por 100.000 habitantes,7.0
2015,,Gipuzkoa,Por 100.000 habitantes,7.3
2010,,Gipuzkoa,Por 100.000 habitantes,5.8
2011,,Gipuzkoa,Por 100.000 habitantes,8.7
2020,,Gipuzkoa,Por 100.000 habitantes,7.9
2012,,Gipuzkoa,Por 100.000 habitantes,9.1
2014,,Gipuzkoa,Por 100.000 habitantes,7.8
2022,,Gipuzkoa,Por 100.000 habitantes,7.2
2016,,Gipuzkoa,Por 100.000 habitantes,9.8
2023,,Gipuzkoa,Por 100.000 habitantes,7.6
2013,,Gipuzkoa,Por 100.000 habitantes,8.9
2024,,Gipuzkoa,Por 100.000 habitantes,6.9
2017,,Gipuzkoa,Por 100.000 habitantes,8.4
2015,Mujer,,Por 100.000 habitantes,3.6
2013,Mujer,,Por 100.000 habitantes,4.5
2022,Mujer,,Por 100.000 habitantes,4.4
2016,Mujer,,Por 100.000 habitantes,4.2
2012,Mujer,,Por 100.000 habitantes,4.2
2014,Mujer,,Por 100.000 habitantes,5.6
2018,Mujer,,Por 100.000 habitantes,4.3
2017,Mujer,,Por 100.000 habitantes,4.2
2011,Mujer,,Por 100.000 habitantes,4.4
2024,Mujer,,Por 100.000 habitantes,4.7
2021,Mujer,,Por 100.000 habitantes,3.6
2010,Mujer,,Por 100.000 habitantes,2.3
2023,Mujer,,Por 100.000 habitantes,3.2
2019,Mujer,,Por 100.000 habitantes,2.6
2020,Mujer,,Por 100.000 habitantes,4.0
2024,Mujer,Araba/Álava,Por 100.000 habitantes,7.0
2022,Mujer,Araba/Álava,Por 100.000 habitantes,4.7
