Year,Series,Sexo,Territorio histórico,Units,Value
2017,Tasa de mortalidad por lesiones debidas a accidentes de tráfico,,,Por 100.000 habitantes,3.1
2013,Tasa de mortalidad por lesiones debidas a accidentes de tráfico,,,Por 100.000 habitantes,3.7
2010,Tasa de mortalidad por lesiones debidas a accidentes de tráfico,,,Por 100.000 habitantes,4.1
2018,Tasa de mortalidad por lesiones debidas a accidentes de tráfico,,,Por 100.000 habitantes,2.8
2011,Tasa de mortalidad por lesiones debidas a accidentes de tráfico,,,Por 100.000 habitantes,3.7
2020,Tasa de mortalidad por lesiones debidas a accidentes de tráfico,,,Por 100.000 habitantes,2.7
2019,Tasa de mortalidad por lesiones debidas a accidentes de tráfico,,,Por 100.000 habitantes,3.1
2015,Tasa de mortalidad por lesiones debidas a accidentes de tráfico,,,Por 100.000 habitantes,3.5
2012,Tasa de mortalidad por lesiones debidas a accidentes de tráfico,,,Por 100.000 habitantes,4.0
2023,Tasa de mortalidad por lesiones debidas a accidentes de tráfico,,,Por 100.000 habitantes,3.0
2021,Tasa de mortalidad por lesiones debidas a accidentes de tráfico,,,Por 100.000 habitantes,2.9
2022,Tasa de mortalidad por lesiones debidas a accidentes de tráfico,,,Por 100.000 habitantes,3.7
2014,Tasa de mortalidad por lesiones debidas a accidentes de tráfico,,,Por 100.000 habitantes,2.6
2016,Tasa de mortalidad por lesiones debidas a accidentes de tráfico,,,Por 100.000 habitantes,3.8
2015,Tasa de mortalidad por lesiones debidas a accidentes de tráfico,,Araba/Álava,Por 100.000 habitantes,2.2
2012,Tasa de mortalidad por lesiones debidas a accidentes de tráfico,,Araba/Álava,Por 100.000 habitantes,4.4
2022,Tasa de mortalidad por lesiones debidas a accidentes de tráfico,,Araba/Álava,Por 100.000 habitantes,3.9
2021,Tasa de mortalidad por lesiones debidas a accidentes de tráfico,,Araba/Álava,Por 100.000 habitantes,2.4
2011,Tasa de mortalidad por lesiones debidas a accidentes de tráfico,,Araba/Álava,Por 100.000 habitantes,2.2
2014,Tasa de mortalidad por lesiones debidas a accidentes de tráfico,,Araba/Álava,Por 100.000 habitantes,3.7
2023,Tasa de mortalidad por lesiones debidas a accidentes de tráfico,,Araba/Álava,Por 100.000 habitantes,2.1
2016,Tasa de mortalidad por lesiones debidas a accidentes de tráfico,,Araba/Álava,Por 100.000 habitantes,2.2
2013,Tasa de mortalidad por lesiones debidas a accidentes de tráfico,,Araba/Álava,Por 100.000 habitantes,4.1
2018,Tasa de mortalidad por lesiones debidas a accidentes de tráfico,,Araba/Álava,Por 100.000 habitantes,3.4
2010,Tasa de mortalidad por lesiones debidas a accidentes de tráfico,,Araba/Álava,Por 100.000 habitantes,3.1
2020,Tasa de mortalidad por lesiones debidas a accidentes de tráfico,,Araba/Álava,Por 100.000 habitantes,1.5
2019,Tasa de mortalidad por lesiones debidas a accidentes de tráfico,,Araba/Álava,Por 100.000 habitantes,5.2
2017,Tasa de mortalidad por lesiones debidas a accidentes de tráfico,,Araba/Álava,Por 100.000 habitantes,3.4
2018,Tasa de mortalidad por lesiones debidas a accidentes de tráfico,,Bizkaia,Por 100.000 habitantes,2.5
2010,Tasa de mortalidad por lesiones debidas a accidentes de tráfico,,Bizkaia,Por 100.000 habitantes,4.1
2021,Tasa de mortalidad por lesiones debidas a accidentes de tráfico,,Bizkaia,Por 100.000 habitantes,3.1
2012,Tasa de mortalidad por lesiones debidas a accidentes de tráfico,,Bizkaia,Por 100.000 habitantes,4.4
2016,Tasa de mortalidad por lesiones debidas a accidentes de tráfico,,Bizkaia,Por 100.000 habitantes,4.1
