Year,Territorio histórico,Units,Value
2019,,%,0.01
2022,,%,0.0
2021,,%,0.02
2018,,%,0.01
2023,,%,0.0
2017,,%,0.02
2015,,%,0.02
2012,,%,0.0
2016,,%,0.01
2011,,%,0.09
2014,,%,0.03
2013,,%,0.01
2010,,%,0.07
2020,,%,0.0
2012,Araba/Álava,%,0.0
2013,Araba/Álava,%,0.01
2014,Araba/Álava,%,0.0
2010,Araba/Álava,%,0.09
2018,Araba/Álava,%,0.01
2017,Araba/Álava,%,0.05
2011,Araba/Álava,%,0.0
2020,Araba/Álava,%,0.0
2021,Araba/Álava,%,0.02
2015,Araba/Álava,%,0.01
2019,Araba/Álava,%,0.01
2022,Araba/Álava,%,0.01
2016,Araba/Álava,%,0.0
2023,Araba/Álava,%,0.0
2013,Bizkaia,%,0.01
2015,Bizkaia,%,0.02
2016,Bizkaia,%,0.0
2017,Bizkaia,%,0.01
2019,Bizkaia,%,0.01
2020,Bizkaia,%,0.0
2021,Bizkaia,%,0.02
2023,Bizkaia,%,0.0
2010,Bizkaia,%,0.08
2011,Bizkaia,%,0.04
2012,Bizkaia,%,0.0
2022,Bizkaia,%,0.0
2018,Bizkaia,%,0.01
2014,Bizkaia,%,0.03
2022,Gipuzkoa,%,0.0
2023,Gipuzkoa,%,0.0
2010,Gipuzkoa,%,0.04
2011,Gipuzkoa,%,0.22
2012,Gipuzkoa,%,0.0
2013,Gipuzkoa,%,0.02
2014,Gipuzkoa,%,0.06
2015,Gipuzkoa,%,0.02
2016,Gipuzkoa,%,0.01
2017,Gipuzkoa,%,0.03
2018,Gipuzkoa,%,0.0
2019,Gipuzkoa,%,0.01
2020,Gipuzkoa,%,0.01
2021,Gipuzkoa,%,0.02
