Year,Series,Enfermedad no transmisible,Sexo,Territorio histórico,Comarca,Municipio,Units,GeoCode,Value
2019,Tasa de mortalidad prematura (entre 30 y 70 años),,,,,,%,,9.6
2015,Tasa de mortalidad prematura (entre 30 y 70 años),,,,,,%,,10.3
2010,Tasa de mortalidad prematura (entre 30 y 70 años),,,,,,%,,11.0
2015,Tasa de mortalidad por 100.000 habitantes,,,,,,Por 100.000 habitantes,,651.4
2017,Tasa de mortalidad por 100.000 habitantes,,,,,,Por 100.000 habitantes,,647.2
2014,Tasa de mortalidad por 100.000 habitantes,,,,,,Por 100.000 habitantes,,620.7
2016,Tasa de mortalidad por 100.000 habitantes,,,,,,Por 100.000 habitantes,,641.2
2010,Tasa de mortalidad por 100.000 habitantes,,,,,,Por 100.000 habitantes,,616.2
2022,Tasa de mortalidad por 100.000 habitantes,,,,,,Por 100.000 habitantes,,626.3
2018,Tasa de mortalidad por 100.000 habitantes,,,,,,Por 100.000 habitantes,,648.9
2020,Tasa de mortalidad por 100.000 habitantes,,,,,,Por 100.000 habitantes,,607.8
2013,Tasa de mortalidad por 100.000 habitantes,,,,,,Por 100.000 habitantes,,613.0
2023,Tasa de mortalidad por 100.000 habitantes,,,,,,Por 100.000 habitantes,,613.1
2012,Tasa de mortalidad por 100.000 habitantes,,,,,,Por 100.000 habitantes,,628.5
2011,Tasa de mortalidad por 100.000 habitantes,,,,,,Por 100.000 habitantes,,626.3
2021,Tasa de mortalidad por 100.000 habitantes,,,,,,Por 100.000 habitantes,,622.4
2019,Tasa de mortalidad por 100.000 habitantes,,,,,,Por 100.000 habitantes,,631.2
2019,Tasa de mortalidad por 100.000 habitantes,,,,,Abadiño,Por 100.000 habitantes,Abadiño,491.9
2012,Tasa de mortalidad por 100.000 habitantes,,,,,Abadiño,Por 100.000 habitantes,Abadiño,495.5
2011,Tasa de mortalidad por 100.000 habitantes,,,,,Abadiño,Por 100.000 habitantes,Abadiño,419.1
2020,Tasa de mortalidad por 100.000 habitantes,,,,,Abadiño,Por 100.000 habitantes,Abadiño,611.3
2023,Tasa de mortalidad por 100.000 habitantes,,,,,Abadiño,Por 100.000 habitantes,Abadiño,669.2
2022,Tasa de mortalidad por 100.000 habitantes,,,,,Abadiño,Por 100.000 habitantes,Abadiño,479.4
2013,Tasa de mortalidad por 100.000 habitantes,,,,,Abadiño,Por 100.000 habitantes,Abadiño,465.5
2016,Tasa de mortalidad por 100.000 habitantes,,,,,Abadiño,Por 100.000 habitantes,Abadiño,474.7
2015,Tasa de mortalidad por 100.000 habitantes,,,,,Abadiño,Por 100.000 habitantes,Abadiño,583.4
2017,Tasa de mortalidad por 100.000 habitantes,,,,,Abadiño,Por 100.000 habitantes,Abadiño,458.7
2021,Tasa de mortalidad por 100.000 habitantes,,,,,Abadiño,Por 100.000 habitantes,Abadiño,391.0
2014,Tasa de mortalidad por 100.000 habitantes,,,,,Abadiño,Por 100.000 habitantes,Abadiño,411.5
2018,Tasa de mortalidad por 100.000 habitantes,,,,,Abadiño,Por 100.000 habitantes,Abadiño,547.8
2010,Tasa de mortalidad por 100.000 habitantes,,,,,Abadiño,Por 100.000 habitantes,Abadiño,434.8
2019,Tasa de mortalidad por 100.000 habitantes,,,,,Abaltzisketa,Por 100.000 habitantes,Abaltzisketa,1557.6
2020,Tasa de mortalidad por 100.000 habitantes,,,,,Abaltzisketa,Por 100.000 habitantes,Abaltzisketa,966.2
2018,Tasa de mortalidad por 100.000 habitantes,,,,,Abaltzisketa,Por 100.000 habitantes,Abaltzisketa,623.1
2021,Tasa de mortalidad por 100.000 habitantes,,,,,Abaltzisketa,Por 100.000 habitantes,Abaltzisketa,654.7
2012,Tasa de mortalidad por 100.000 habitantes,,,,,Abaltzisketa,Por 100.000 habitantes,Abaltzisketa,1253.9
2017,Tasa de mortalidad por 100.000 habitantes,,,,,Abaltzisketa,Por 100.000 habitantes,Abaltzisketa,630.9
2014,Tasa de mortalidad por 100.000 habitantes,,,,,Abaltzisketa,Por 100.000 habitantes,Abaltzisketa,313.5
2011,Tasa de mortalidad por 100.000 habitantes,,,,,Abaltzisketa,Por 100.000 habitantes,Abaltzisketa,1582.3
