Year,Sexo,Territorio histórico,Units,Value
2011,,,Por 100.000 habitantes,1.3
2010,,,Por 100.000 habitantes,1.3
2020,,,Por 100.000 habitantes,1.8
2014,,,Por 100.000 habitantes,1.8
2013,,,Por 100.000 habitantes,1.7
2024,,,Por 100.000 habitantes,1.1
2021,,,Por 100.000 habitantes,1.8
2019,,,Por 100.000 habitantes,1.6
2023,,,Por 100.000 habitantes,1.8
2016,,,Por 100.000 habitantes,1.8
2015,,,Por 100.000 habitantes,1.6
2018,,,Por 100.000 habitantes,1.4
2012,,,Por 100.000 habitantes,1.2
2017,,,Por 100.000 habitantes,2.0
2022,,,Por 100.000 habitantes,1.9
2015,,Araba/Álava,Por 100.000 habitantes,1.9
2023,,Araba/Álava,Por 100.000 habitantes,2.1
2016,,Araba/Álava,Por 100.000 habitantes,0.9
2021,,Araba/Álava,Por 100.000 habitantes,1.5
2024,,Araba/Álava,Por 100.000 habitantes,0.0
2017,,Araba/Álava,Por 100.000 habitantes,1.8
2018,,Araba/Álava,Por 100.000 habitantes,2.4
2019,,Araba/Álava,Por 100.000 habitantes,1.5
2011,,Araba/Álava,Por 100.000 habitantes,0.6
2012,,Araba/Álava,Por 100.000 habitantes,0.6
2014,,Araba/Álava,Por 100.000 habitantes,2.2
2020,,Araba/Álava,Por 100.000 habitantes,2.7
2013,,Araba/Álava,Por 100.000 habitantes,0.9
2010,,Araba/Álava,Por 100.000 habitantes,0.9
2022,,Araba/Álava,Por 100.000 habitantes,1.8
2015,,Bizkaia,Por 100.000 habitantes,1.8
2014,,Bizkaia,Por 100.000 habitantes,1.8
2017,,Bizkaia,Por 100.000 habitantes,2.2
2010,,Bizkaia,Por 100.000 habitantes,1.9
2023,,Bizkaia,Por 100.000 habitantes,2.3
2012,,Bizkaia,Por 100.000 habitantes,1.8
2022,,Bizkaia,Por 100.000 habitantes,2.1
2024,,Bizkaia,Por 100.000 habitantes,1.2
2016,,Bizkaia,Por 100.000 habitantes,1.8
2021,,Bizkaia,Por 100.000 habitantes,1.8
2013,,Bizkaia,Por 100.000 habitantes,1.8
2019,,Bizkaia,Por 100.000 habitantes,1.6
2018,,Bizkaia,Por 100.000 habitantes,1.4
2020,,Bizkaia,Por 100.000 habitantes,2.0
2011,,Bizkaia,Por 100.000 habitantes,1.6
2018,,Gipuzkoa,Por 100.000 habitantes,1.0
2021,,Gipuzkoa,Por 100.000 habitantes,1.8
2019,,Gipuzkoa,Por 100.000 habitantes,1.8
2015,,Gipuzkoa,Por 100.000 habitantes,1.1
2010,,Gipuzkoa,Por 100.000 habitantes,0.6
2011,,Gipuzkoa,Por 100.000 habitantes,1.0
2020,,Gipuzkoa,Por 100.000 habitantes,1.0
2012,,Gipuzkoa,Por 100.000 habitantes,0.4
2014,,Gipuzkoa,Por 100.000 habitantes,1.7
2022,,Gipuzkoa,Por 100.000 habitantes,1.5
2016,,Gipuzkoa,Por 100.000 habitantes,2.2
2023,,Gipuzkoa,Por 100.000 habitantes,1.0
2013,,Gipuzkoa,Por 100.000 habitantes,1.7
2024,,Gipuzkoa,Por 100.000 habitantes,1.4
2017,,Gipuzkoa,Por 100.000 habitantes,1.7
2015,Mujer,,Por 100.000 habitantes,1.2
2013,Mujer,,Por 100.000 habitantes,0.4
2022,Mujer,,Por 100.000 habitantes,1.6
