Year,Territorio histórico,Units,Value
2019,,Porcentaje,1.8
2022,,Porcentaje,5.6
2021,,Porcentaje,6.4
2018,,Porcentaje,2.8
2023,,Porcentaje,2.2
2017,,Porcentaje,2.5
2015,,Porcentaje,2.9
2012,,Porcentaje,-2.2
2016,,Porcentaje,3.3
2011,,Porcentaje,-0.1
2014,,Porcentaje,1.8
2013,,Porcentaje,-1.6
2010,,Porcentaje,0.3
2020,,Porcentaje,-9.6
2012,Araba/Álava,Porcentaje,-2.8
2013,Araba/Álava,Porcentaje,-1.5
2014,Araba/Álava,Porcentaje,1.8
2010,Araba/Álava,Porcentaje,0.2
2018,Araba/Álava,Porcentaje,1.5
2017,Araba/Álava,Porcentaje,1.6
2011,Araba/Álava,Porcentaje,-0.1
2020,Araba/Álava,Porcentaje,-10.7
2021,Araba/Álava,Porcentaje,7.3
2015,Araba/Álava,Porcentaje,2.5
2019,Araba/Álava,Porcentaje,1.3
2022,Araba/Álava,Porcentaje,3.9
2016,Araba/Álava,Porcentaje,2.8
2023,Araba/Álava,Porcentaje,2.2
2013,Bizkaia,Porcentaje,-1.2
2015,Bizkaia,Porcentaje,2.8
2016,Bizkaia,Porcentaje,3.6
2017,Bizkaia,Porcentaje,2.9
2019,Bizkaia,Porcentaje,1.8
2020,Bizkaia,Porcentaje,-8.8
2021,Bizkaia,Porcentaje,6.3
2023,Bizkaia,Porcentaje,1.9
2010,Bizkaia,Porcentaje,0.4
2011,Bizkaia,Porcentaje,0.0
2012,Bizkaia,Porcentaje,-2.3
2022,Bizkaia,Porcentaje,6.9
2018,Bizkaia,Porcentaje,2.8
2014,Bizkaia,Porcentaje,1.8
2022,Gipuzkoa,Porcentaje,4.6
2023,Gipuzkoa,Porcentaje,2.6
2010,Gipuzkoa,Porcentaje,0.3
2011,Gipuzkoa,Porcentaje,-0.3
2012,Gipuzkoa,Porcentaje,-1.8
2013,Gipuzkoa,Porcentaje,-2.2
2014,Gipuzkoa,Porcentaje,1.6
2015,Gipuzkoa,Porcentaje,3.3
2016,Gipuzkoa,Porcentaje,3.1
2017,Gipuzkoa,Porcentaje,2.4
2018,Gipuzkoa,Porcentaje,3.5
2019,Gipuzkoa,Porcentaje,2.2
2020,Gipuzkoa,Porcentaje,-10.1
2021,Gipuzkoa,Porcentaje,6.2
