Indicator,Reporting status,Progress status,Show map,Tipo de gráfico,OCECA,Fecha última actualización datos,Indicador no estadístico
#1-1-1,complete,alcanzado,,line,,2025-05-08,
#1-2-1,complete,progreso,,line,FUENTE.oceca,2025-04-22,
#1-2-2,complete,progreso,,line,FUENTE.oceca,2025-05-08,
#1-3-1,complete,progreso,,line,,2025-05-08,
#1-4-1,complete,alcanzado,True,line,FUENTE.oceca,2025-06-17,
#1-4-2,notstarted,notstarted,,line,,,
#1-5-1,complete,alcanzado,True,line,FUENTE.oceca,2025-08-04,
#1-5-2,complete,noevaluado,,line,FUENTE.oceca,2025-05-08,
#1-5-3,complete,alcanzado,,line,,,True
#1-5-4,complete,alcanzado,True,line,,2025-08-14,
#1-a-1,notapplicable,notapplicable,,line,,,
#1-a-2,complete,alcanzado,,line,,2025-07-11,
#1-b-1,notstarted,notstarted,,line,,,
#10-1-1,complete,alcanzado,,line,FUENTE.oceca,2025-05-08,
#10-2-1,complete,progreso,,line,FUENTE.oceca,2025-05-08,
#10-3-1,complete,retroceso,,bar,,2025-08-19,
#10-4-1,complete,retroceso,,line,FUENTE.oceca,2025-10-21,
#10-4-2,complete,noevaluado,,line,,2025-05-08,
#10-5-1,notstarted,notstarted,,line,,,
#10-6-1,notapplicable,notapplicable,,line,,,
#10-7-1,notstarted,notstarted,,line,,,
#10-7-2,notstarted,notstarted,,line,,,
#10-7-3,notstarted,notstarted,,line,,,
#10-7-4,complete,retroceso,,line,FUENTE.oceca,2025-06-16,
#10-a-1,notstarted,notstarted,,line,,,
#10-b-1,notstarted,notstarted,,line,,,
#10-c-1,notstarted,notstarted,,line,,,
#11-1-1,complete,progreso,,line,"
""Hezetasun-arazoak dituen etxebizitza batean bizi direnen proportzioa"" seriea autonomia-erkidegoetako estatistika-organo nagusien  arteko metodologia harmonizatua erabiliz kalkulatu da. ",2025-09-11,
#11-2-1,notstarted,notstarted,,line,,,
#11-3-1,notstarted,notstarted,,line,,,
#11-3-2,complete,alcanzado,,line,FUENTE.oceca,2025-08-14,
#11-4-1,complete,alcanzado,,line,FUENTE.oceca,2025-08-04,
#11-5-1,complete,alcanzado,True,line,FUENTE.oceca,2025-08-04,
#11-5-2,complete,alcanzado,,line,FUENTE.oceca,2025-08-14,
#11-5-3,notstarted,notstarted,,line,,,
#11-6-1,complete,alcanzado,,line,"
""Biztanle bakoitzeko bildutako hiri-hondakinak"" eta ""Tratatutako hiri-hondakinen proportzioa, tratamendu-eragiketaren arabera"" serieak autonomia-erkidegoetako estatistika-organo nagusien  arteko metodologia harmonizatua erabiliz kalkulatu dira. ",2025-08-19,
#11-6-2,complete,progreso,,line,FUENTE.oceca,2025-08-14,
#11-7-1,complete,alcanzado,,line,FUENTE.oceca,2025-05-08,
#11-7-2,complete,retroceso,,line,FUENTE.oceca,2025-08-14,
#11-a-1,complete,alcanzado,True,line,,2025-08-14,
#11-b-1,complete,alcanzado,,line,,,True
#11-b-2,complete,alcanzado,True,line,,2025-08-14,
#12-1-1,complete,alcanzado,,bar,FUENTE.oceca,2025-05-08,
#12-2-1,notstarted,notstarted,,line,,,
#12-2-2,complete,alcanzado,,line,,2025-10-27,
#12-3-1,notstarted,notstarted,,line,,,
#12-4-1,notapplicable,notapplicable,,line,,,
#12-4-2,complete,retroceso,,line,,2025-08-19,
#12-5-1,complete,alcanzado,,line,FUENTE.oceca,2025-08-14,
#12-6-1,complete,alcanzado,,line,FUENTE.oceca,2025-06-11,
#12-7-1,notstarted,notstarted,,line,,,
#12-8-1,notstarted,notstarted,,line,,,
#12-a-1,complete,alcanzado,True,line,,2025-05-08,
#12-b-1,notstarted,notstarted,,line,,,
#12-c-1,notstarted,notstarted,,line,,,
#13-1-1,complete,alcanzado,True,line,FUENTE.oceca,2025-08-04,
#13-1-2,complete,alcanzado,,line,,,True
#13-1-3,complete,alcanzado,True,line,,2025-08-14,
#13-2-1,complete,alcanzado,,line,,,True
#13-2-2,complete,alcanzado,,line,FUENTE.oceca,2025-09-26,
#13-3-1,notstarted,notstarted,,line,,,
#13-a-1,notapplicable,notapplicable,,line,,,
#13-b-1,notapplicable,notapplicable,,line,,,
#14-1-1,notstarted,notstarted,,line,,,
#14-2-1,notstarted,notstarted,,line,,,
#14-3-1,complete,alcanzado,,line,FUENTE.oceca,2025-05-08,
#14-4-1,notstarted,notstarted,,line,,,
#14-5-1,complete,alcanzado,,bar,,2025-08-19,
#14-6-1,notstarted,notstarted,,line,,,
#14-7-1,notstarted,notstarted,,line,,,
#14-a-1,notstarted,notstarted,,line,,,
#14-b-1,notstarted,notstarted,,line,,,
#14-c-1,notstarted,notstarted,,line,,,
#15-1-1,complete,alcanzado,True,line,FUENTE.oceca,2025-05-08,
#15-1-2,complete,noevaluado,,bar,,2025-08-04,
#15-1-E1,complete,progreso,,line,,2025-05-08,
#15-2-1,complete,alcanzado,,line,FUENTE.oceca,2025-08-19,
#15-3-1,complete,progreso,,line,,2025-05-08,
#15-4-1,complete,noevaluado,,bar,,2025-08-04,
#15-4-2,complete,alcanzado,,line,,2025-04-22,
#15-5-1,notstarted,notstarted,,line,,,
#15-6-1,notstarted,notstarted,,line,,,
#15-7-1,notstarted,notstarted,,line,,,
#15-8-1,complete,alcanzado,,bar,FUENTE.oceca,2025-08-04,
#15-9-1,notstarted,notstarted,,line,,,
#15-a-1,notstarted,notstarted,,line,,,
#15-b-1,notstarted,notstarted,,line,,,
#15-c-1,notstarted,notstarted,,line,,,
#16-1-1,complete,alcanzado,,line,,2025-08-04,
#16-1-2,complete,alcanzado,,line,,,True
#16-1-3,notstarted,notstarted,,line,,,
#16-1-4,complete,progreso,,bar,FUENTE.oceca,2025-08-19,
#16-1-E1,complete,retroceso,,bar,FUENTE.oceca,2025-05-08,
#16-10-1,complete,alcanzado,,line,,,True
#16-10-2,notstarted,notstarted,,line,,,
#16-2-1,notstarted,notstarted,,line,,,
#16-2-2,complete,retroceso,,line,FUENTE.oceca,2025-08-04,
#16-2-3,notstarted,notstarted,,line,,,
#16-3-1,notstarted,notstarted,,line,,,
#16-3-2,complete,retroceso,,line,FUENTE.oceca,2025-10-27,
#16-3-3,notstarted,notstarted,,line,,,
#16-4-1,notstarted,notstarted,,line,,,
#16-4-2,notstarted,notstarted,,line,,,
#16-5-1,notstarted,notstarted,,line,,,
#16-5-2,notstarted,notstarted,,line,,,
#16-6-1,complete,alcanzado,True,line,FUENTE.oceca,2025-08-19,
#16-6-2,complete,progreso,,line,FUENTE.oceca,2025-10-24,
#16-7-1,complete,progreso,,line,"
""Administrazio publikoko emakumeen proportzioa, biztanleriako emakumeen proportzioari dagokionez"" seriea  autonomia-erkidegoetako estatistika-organo nagusien arteko metodologia harmonizatua erabiliz kalkulatu da",2025-08-19,
#16-7-2,notstarted,notstarted,,line,,,
#16-8-1,notapplicable,notapplicable,,line,,,
#16-9-1,complete,alcanzado,,line,FUENTE.oceca,2025-08-14,
#16-a-1,notstarted,notstarted,,line,,,
#16-b-1,complete,retroceso,,bar,,2025-08-19,
#17-1-1,complete,noevaluado,,line,,2025-09-22,
#17-1-2,complete,noevaluado,,line,FUENTE.oceca,2025-05-08,
#17-10-1,notapplicable,notapplicable,,line,,,
#17-11-1,notapplicable,notapplicable,,line,,,
#17-12-1,notapplicable,notapplicable,,line,,,
#17-13-1,complete,noevaluado,,line,FUENTE.oceca,2025-10-22,
#17-14-1,notstarted,notstarted,,line,,,
#17-15-1,notstarted,notstarted,,line,,,
#17-16-1,notstarted,notstarted,,line,,,
#17-17-1,notstarted,notstarted,,line,,,
#17-18-1,notstarted,notstarted,,line,,,
#17-18-2,complete,alcanzado,,bar,FUENTE.oceca,2025-08-04,
#17-18-3,complete,alcanzado,,bar,FUENTE.oceca,2025-08-04,
#17-19-1,notstarted,notstarted,,line,,,
#17-19-2,complete,alcanzado,,bar,FUENTE.oceca,2025-08-04,
#17-2-1,complete,alcanzado,,line,FUENTE.oceca,2025-08-04,
#17-3-1,complete,alcanzado,,line,FUENTE.oceca,2025-09-17,
#17-3-2,complete,noevaluado,,line,FUENTE.oceca,2025-10-22,
#17-4-1,notapplicable,notapplicable,,line,,,
#17-5-1,notstarted,notstarted,,line,,,
#17-6-1,complete,alcanzado,,line,FUENTE.oceca,2025-08-04,
#17-7-1,notstarted,notstarted,,line,,,
#17-8-1,complete,alcanzado,,line,FUENTE.oceca,2025-08-04,
#17-9-1,notstarted,notstarted,,line,,,
#2-1-1,complete,alcanzado,,line,,,True
#2-1-2,complete,alcanzado,,line,,2025-06-11,
#2-2-1,complete,alcanzado,,line,,,True
#2-2-2,complete,retroceso,,bar,FUENTE.oceca,2025-05-08,
#2-2-3,notstarted,notstarted,,line,,,
#2-2-E1,complete,retroceso,,bar,,2025-05-08,
#2-3-1,complete,progreso,,line,,2025-08-04,
#2-3-2,complete,retroceso,,line,,2025-08-04,
#2-4-1,complete,retroceso,,line,FUENTE.oceca,2025-05-08,
#2-4-E1,complete,alcanzado,True,line,FUENTE.oceca,2025-06-23,
#2-4-E2,complete,alcanzado,,line,FUENTE.oceca,2025-08-04,
#2-5-1,notstarted,notstarted,,line,,,
#2-5-2,notstarted,notstarted,,line,,,
#2-a-1,complete,noevaluado,True,line,,2025-10-21,
#2-a-2,notstarted,notstarted,,line,,,
#2-b-1,notstarted,notstarted,,line,,,
#2-c-1,complete,noevaluado,,bar,"
""Elikagaien kontsumo-prezioen indizea"" seriea autonomia-erkidegoetako estatistika-organo nagusien  arteko metodologia harmonizatua erabiliz kalkulatu da. ",2025-06-09,
#3-1-1,complete,alcanzado,,line,FUENTE.oceca,2025-07-17,
#3-1-2,complete,alcanzado,,line,FUENTE.oceca,2025-07-07,
#3-2-1,complete,alcanzado,,line,FUENTE.oceca,2025-07-17,
#3-2-2,complete,alcanzado,,line,FUENTE.oceca,2025-07-17,
#3-3-1,complete,alcanzado,,line,FUENTE.oceca,2025-05-08,
#3-3-2,complete,progreso,,line,FUENTE.oceca,2025-05-08,
#3-3-3,complete,alcanzado,,line,FUENTE.oceca,2025-05-08,
#3-3-4,complete,alcanzado,,line,FUENTE.oceca,2025-05-08,
#3-3-5,notstarted,notstarted,,line,,,
#3-4-1,complete,alcanzado,True,line,"
""Gaixotasun kardiobaskularrei, minbiziari, diabetesari edo arnas gaixotasun kronikoei egotzitako heriotza-tasa  100.000 biztanleko"" seriea autonomia-erkidegoetako estatistika-organo nagusien  arteko metodologia harmonizatua erabiliz kalkulatu da. ",2025-08-04,
#3-4-2,complete,retroceso,,line,FUENTE.oceca,2025-07-17,
#3-4-E1,complete,retroceso,,line,,2025-05-08,
#3-4-E2,complete,alcanzado,,line,,2025-08-14,
#3-5-1,complete,noevaluado,,line,FUENTE.oceca,2025-05-08,
#3-5-2,complete,retroceso,,line,FUENTE.oceca,2025-05-08,
#3-6-1,complete,progreso,,line,FUENTE.oceca,2025-07-17,
#3-7-1,complete,noevaluado,,bar,FUENTE.oceca,2025-06-06,
#3-7-2,complete,alcanzado,,line,FUENTE.oceca,2025-06-16,
#3-8-1,complete,retroceso,,line,FUENTE.oceca,2025-05-08,
#3-8-2,complete,retroceso,,line,FUENTE.oceca,2025-05-08,
#3-9-1,notstarted,notstarted,,line,,,
#3-9-2,complete,alcanzado,,line,,,True
#3-9-3,complete,alcanzado,,line,FUENTE.oceca,2025-07-17,
#3-a-1,complete,alcanzado,,bar,FUENTE.oceca,2025-08-14,
#3-b-1,complete,retroceso,,line,FUENTE.oceca,2025-08-04,
#3-b-2,notstarted,notstarted,,line,,,
#3-b-3,notstarted,notstarted,,line,,,
#3-c-1,complete,alcanzado,,line,FUENTE.oceca,2025-08-04,
#3-d-1,notstarted,notstarted,,line,,,
#3-d-2,notstarted,notstarted,,line,,,
#4-1-1,complete,retroceso,,line,FUENTE.oceca,2025-04-22,
#4-1-2,complete,progreso,,line,FUENTE.oceca,2025-04-22,
#4-1-E1,complete,alcanzado,,line,,2025-05-08,
#4-2-1,notstarted,notstarted,,line,,,
#4-2-2,complete,alcanzado,True,line,FUENTE.oceca,2025-10-24,
#4-3-1,complete,progreso,,line,FUENTE.oceca,2025-08-14,
#4-4-1,complete,progreso,,line,FUENTE.oceca,2025-08-04,
#4-5-1,complete,progreso,,line,FUENTE.oceca,2025-09-11,
#4-6-1,complete,progreso,,line,FUENTE.oceca,2025-08-14,
#4-7-1,notstarted,notstarted,,line,,,
#4-a-1,complete,alcanzado,,line,FUENTE.oceca,2025-08-14,
#4-b-1,notstarted,notstarted,,line,,,
#4-c-1,complete,alcanzado,,line,FUENTE.oceca,2025-05-12,
#5-1-1,complete,alcanzado,,line,FUENTE.oceca,2025-04-22,
#5-2-1,complete,retroceso,True,line,,2025-08-04,
#5-2-2,complete,retroceso,True,line,,2025-08-04,
#5-3-1,complete,alcanzado,,line,,2025-10-24,
#5-3-2,notstarted,notstarted,,line,,,
#5-4-1,complete,progreso,,line,,2025-04-22,
#5-5-1,complete,alcanzado,,line,,2025-09-16,
#5-5-2,complete,retroceso,,line,,2025-06-12,
#5-6-1,notstarted,notstarted,,line,,,
#5-6-2,notstarted,notstarted,,line,,,
#5-a-1,complete,progreso,,line,,2025-05-08,
#5-a-2,complete,alcanzado,,line,,2025-05-08,
#5-b-1,complete,alcanzado,,line,,2025-05-08,
#5-c-1,notstarted,notstarted,,line,,,
#6-1-1,complete,alcanzado,,line,,2025-06-09,
#6-2-1,complete,alcanzado,True,line,FUENTE.oceca,2025-04-22,
#6-3-1,complete,progreso,,line,FUENTE.oceca,2025-09-08,
#6-3-2,complete,retroceso,,line,,2025-09-17,
#6-4-1,notstarted,notstarted,,line,,,
#6-4-2,complete,noevaluado,,line,,2025-07-14,
#6-5-1,notstarted,notstarted,,line,,,
#6-5-2,complete,alcanzado,,line,,2025-04-22,
#6-6-1,notstarted,notstarted,,line,,,
#6-a-1,notstarted,notstarted,,line,,,
#6-b-1,complete,alcanzado,,line,FUENTE.oceca,2025-05-08,
#7-1-1,complete,alcanzado,,line,,2025-06-16,
#7-1-2,complete,alcanzado,,line,,2025-08-14,
#7-2-1,complete,alcanzado,,line,FUENTE.oceca,2025-05-08,
#7-3-1,complete,alcanzado,,line,,2025-08-14,
#7-a-1,notstarted,notstarted,,line,,,
#7-b-1,complete,alcanzado,True,line,,2025-05-08,
#8-1-1,complete,alcanzado,,line,FUENTE.oceca,2025-10-20,
#8-10-1,complete,noevaluado,,line,FUENTE.oceca,2025-06-10,
#8-10-2,complete,alcanzado,,line,FUENTE.oceca,2025-05-08,
#8-2-1,complete,alcanzado,,line,FUENTE.oceca,2025-10-21,
#8-3-1,notstarted,notstarted,,line,,,
#8-4-1,notstarted,notstarted,,line,,,
#8-4-2,complete,alcanzado,,line,,2025-05-08,
#8-5-1,complete,alcanzado,,line,FUENTE.oceca,2025-06-18,
#8-5-2,complete,alcanzado,True,line,FUENTE.oceca,2025-06-19,
#8-5-E1,complete,progreso,True,line,,2025-08-14,
#8-6-1,complete,alcanzado,,line,FUENTE.oceca,2025-06-18,
#8-7-1,complete,alcanzado,,line,,,True
#8-8-1,complete,progreso,,line,FUENTE.oceca,2025-07-22,
#8-8-2,notstarted,notstarted,,line,,,
#8-9-1,complete,noevaluado,,line,,2025-08-04,
#8-a-1,notstarted,notstarted,,line,,,
#8-b-1,complete,alcanzado,,line,FUENTE.oceca,2025-08-04,
#9-1-1,complete,alcanzado,,bar,,2025-08-04,
#9-1-2,notstarted,notstarted,,line,,,
#9-2-1,complete,retroceso,,line,FUENTE.oceca,2025-10-21,
#9-2-2,complete,retroceso,,line,FUENTE.oceca,2025-09-11,
#9-3-1,complete,retroceso,,line,FUENTE.oceca,2025-06-11,
#9-3-2,notstarted,notstarted,,line,,,
#9-4-1,complete,alcanzado,,line,FUENTE.oceca,2025-09-25,
#9-4-E1,complete,alcanzado,,line,FUENTE.oceca,2025-09-29,
#9-5-1,complete,alcanzado,,line,FUENTE.oceca,2025-08-04,
#9-5-2,complete,alcanzado,,line,FUENTE.oceca,2025-08-04,
#9-a-1,notstarted,notstarted,,line,,,
#9-b-1,complete,retroceso,,line,FUENTE.oceca,2025-08-14,
#9-c-1,complete,alcanzado,,line,FUENTE.oceca,2025-08-04,
