Year,Gasto,Units,Value
2017,Superiores al 25%,Porcentaje,1.4
2018,Superiores al 25%,Porcentaje,1.4
2019,Superiores al 25%,Porcentaje,1.7
2012,Superiores al 25%,Porcentaje,1.3
2020,Superiores al 25%,Porcentaje,0.9
2014,Superiores al 25%,Porcentaje,1.2
2016,Superiores al 25%,Porcentaje,1.2
2022,Superiores al 25%,Porcentaje,1.7
2015,Superiores al 25%,Porcentaje,1.6
2021,Superiores al 25%,Porcentaje,1.3
2010,Superiores al 25%,Porcentaje,1.2
2013,Superiores al 25%,Porcentaje,1.3
2011,Superiores al 25%,Porcentaje,1.6
2023,Superiores al 25%,Porcentaje,1.4
2020,Superiores al 10%,Porcentaje,7.6
2017,Superiores al 10%,Porcentaje,6.6
2011,Superiores al 10%,Porcentaje,5.5
2010,Superiores al 10%,Porcentaje,5.1
2015,Superiores al 10%,Porcentaje,6.8
2022,Superiores al 10%,Porcentaje,7.6
2016,Superiores al 10%,Porcentaje,7.0
2018,Superiores al 10%,Porcentaje,7.0
2013,Superiores al 10%,Porcentaje,6.1
2012,Superiores al 10%,Porcentaje,5.4
2021,Superiores al 10%,Porcentaje,7.2
2019,Superiores al 10%,Porcentaje,8.2
2023,Superiores al 10%,Porcentaje,8.3
2014,Superiores al 10%,Porcentaje,5.5
