Year,Sexo,Territorio histórico,Units,Value
2018,,,%,16.7
2013,,,%,21.3
2008,,,%,25.0
2023,,,%,15.2
2023,,Araba/Álava,%,16.3
2008,,Araba/Álava,%,22.9
2018,,Araba/Álava,%,12.9
2013,,Araba/Álava,%,21.0
2013,,Bizkaia,%,21.7
2018,,Bizkaia,%,17.6
2023,,Bizkaia,%,11.4
2008,,Bizkaia,%,25.9
2008,,Gipuzkoa,%,24.4
2013,,Gipuzkoa,%,20.7
2023,,Gipuzkoa,%,17.3
2018,,Gipuzkoa,%,16.9
2018,Mujer,,%,13.5
2013,Mujer,,%,18.1
2008,Mujer,,%,21.1
2023,Mujer,,%,13.2
2008,Mujer,Araba/Álava,%,19.9
2023,Mujer,Araba/Álava,%,16.0
2013,Mujer,Araba/Álava,%,19.2
2018,Mujer,Araba/Álava,%,11.0
2023,Mujer,Bizkaia,%,9.9
2018,Mujer,Bizkaia,%,14.1
2013,Mujer,Bizkaia,%,17.7
2008,Mujer,Bizkaia,%,21.9
2013,Mujer,Gipuzkoa,%,18.2
2008,Mujer,Gipuzkoa,%,20.3
2023,Mujer,Gipuzkoa,%,14.4
2018,Mujer,Gipuzkoa,%,13.7
2008,Hombre,,%,29.1
2023,Hombre,,%,17.5
2013,Hombre,,%,24.7
2018,Hombre,,%,20.1
2008,Hombre,Araba/Álava,%,26.1
2013,Hombre,Araba/Álava,%,22.8
2018,Hombre,Araba/Álava,%,14.8
2023,Hombre,Araba/Álava,%,16.7
2023,Hombre,Bizkaia,%,13.0
2018,Hombre,Bizkaia,%,21.5
2013,Hombre,Bizkaia,%,26.0
2008,Hombre,Bizkaia,%,30.1
2008,Hombre,Gipuzkoa,%,28.7
2013,Hombre,Gipuzkoa,%,23.4
2023,Hombre,Gipuzkoa,%,20.5
2018,Hombre,Gipuzkoa,%,20.2
