Year,Pobreziaren dimentsioa,Units,Value
2008,Pobrezia-arriskua (monetarioa),%,9.1
2009,Pobrezia-arriskua (monetarioa),%,10.0
2010,Pobrezia-arriskua (monetarioa),%,11.7
2011,Pobrezia-arriskua (monetarioa),%,13.8
2012,Pobrezia-arriskua (monetarioa),%,13.3
2013,Pobrezia-arriskua (monetarioa),%,10.5
2014,Pobrezia-arriskua (monetarioa),%,10.2
2015,Pobrezia-arriskua (monetarioa),%,10.9
2016,Pobrezia-arriskua (monetarioa),%,9.0
2017,Pobrezia-arriskua (monetarioa),%,9.7
2018,Pobrezia-arriskua (monetarioa),%,8.6
2019,Pobrezia-arriskua (monetarioa),%,10.0
2020,Pobrezia-arriskua (monetarioa),%,10.0
2021,Pobrezia-arriskua (monetarioa),%,12.2
2022,Pobrezia-arriskua (monetarioa),%,12.2
2023,Pobrezia-arriskua (monetarioa),%,10.2
2024,Pobrezia-arriskua (monetarioa),%,9.4
2014,Gabezia material eta sozial larria,%,5.1
2015,Gabezia material eta sozial larria,%,6.6
2016,Gabezia material eta sozial larria,%,4.8
2017,Gabezia material eta sozial larria,%,5.1
2018,Gabezia material eta sozial larria,%,4.3
2019,Gabezia material eta sozial larria,%,4.0
2020,Gabezia material eta sozial larria,%,3.3
2021,Gabezia material eta sozial larria,%,4.6
2022,Gabezia material eta sozial larria,%,3.7
2023,Gabezia material eta sozial larria,%,5.6
2024,Gabezia material eta sozial larria,%,4.7
2014,Lan-intentsitate txikia,%,12.8
2015,Lan-intentsitate txikia,%,13.9
2016,Lan-intentsitate txikia,%,13.1
2017,Lan-intentsitate txikia,%,7.6
2018,Lan-intentsitate txikia,%,7.2
2019,Lan-intentsitate txikia,%,10.0
2020,Lan-intentsitate txikia,%,7.9
2021,Lan-intentsitate txikia,%,7.5
2022,Lan-intentsitate txikia,%,6.2
2023,Lan-intentsitate txikia,%,7.6
2024,Lan-intentsitate txikia,%,6.9
2014,,%,16.2
2015,,%,18.2
2016,,%,15.9
2017,,%,15.0
2018,,%,12.2
2019,,%,15.0
2020,,%,13.6
2021,,%,16.0
2022,,%,15.7
2023,,%,15.5
2024,,%,14.8
