Year,Sexua,Lurralde historikoa,Units,Value
2018,,,%,16.7
2013,,,%,21.3
2008,,,%,25.0
2023,,,%,15.4
2023,,Araba / Álava,%,16.3
2008,,Araba / Álava,%,22.9
2018,,Araba / Álava,%,12.9
2013,,Araba / Álava,%,21.0
2013,,Bizkaia,%,21.7
2018,,Bizkaia,%,17.6
2023,,Bizkaia,%,17.3
2008,,Bizkaia,%,25.9
2008,,Gipuzkoa,%,24.4
2013,,Gipuzkoa,%,20.7
2023,,Gipuzkoa,%,11.9
2018,,Gipuzkoa,%,16.9
2018,Emakumea,,%,13.5
2013,Emakumea,,%,18.1
2008,Emakumea,,%,21.1
2023,Emakumea,,%,13.4
2008,Emakumea,Araba / Álava,%,19.9
2023,Emakumea,Araba / Álava,%,15.8
2013,Emakumea,Araba / Álava,%,19.2
2018,Emakumea,Araba / Álava,%,11.0
2023,Emakumea,Bizkaia,%,14.4
2018,Emakumea,Bizkaia,%,14.1
2013,Emakumea,Bizkaia,%,17.7
2008,Emakumea,Bizkaia,%,21.9
2013,Emakumea,Gipuzkoa,%,18.2
2008,Emakumea,Gipuzkoa,%,20.3
2023,Emakumea,Gipuzkoa,%,10.8
2018,Emakumea,Gipuzkoa,%,13.7
2008,Gizona,,%,29.1
2023,Gizona,,%,17.5
2013,Gizona,,%,24.7
2018,Gizona,,%,20.1
2008,Gizona,Araba / Álava,%,26.1
2013,Gizona,Araba / Álava,%,22.8
2018,Gizona,Araba / Álava,%,14.8
2023,Gizona,Araba / Álava,%,16.8
2023,Gizona,Bizkaia,%,20.5
2018,Gizona,Bizkaia,%,21.5
2013,Gizona,Bizkaia,%,26.0
2008,Gizona,Bizkaia,%,30.1
2008,Gizona,Gipuzkoa,%,28.7
2013,Gizona,Gipuzkoa,%,23.4
2023,Gizona,Gipuzkoa,%,13.1
2018,Gizona,Gipuzkoa,%,20.2
