Year,Sexo,Territorio histórico,Units,Value
2019,,,Por millón de habitantes,6162.8
2021,,,Por millón de habitantes,6560.5
2023,,,Por millón de habitantes,7408.0
2020,,,Por millón de habitantes,6204.9
2022,,,Por millón de habitantes,6953.0
2010,,,Por millón de habitantes,5098.1
2016,,,Por millón de habitantes,5481.3
2013,,,Por millón de habitantes,5496.2
2014,,,Por millón de habitantes,5536.2
2017,,,Por millón de habitantes,5788.4
2015,,,Por millón de habitantes,5564.5
2011,,,Por millón de habitantes,5180.9
2012,,,Por millón de habitantes,5399.2
2018,,,Por millón de habitantes,6027.3
2010,,Araba/Álava,Por millón de habitantes,3631.3
2017,,Araba/Álava,Por millón de habitantes,5233.3
2019,,Araba/Álava,Por millón de habitantes,4782.0
2013,,Araba/Álava,Por millón de habitantes,4682.2
2012,,Araba/Álava,Por millón de habitantes,4148.7
2016,,Araba/Álava,Por millón de habitantes,4651.0
2023,,Araba/Álava,Por millón de habitantes,5378.3
2011,,Araba/Álava,Por millón de habitantes,3879.2
2018,,Araba/Álava,Por millón de habitantes,5238.7
2022,,Araba/Álava,Por millón de habitantes,5099.6
2014,,Araba/Álava,Por millón de habitantes,4613.2
2015,,Araba/Álava,Por millón de habitantes,4818.1
2020,,Araba/Álava,Por millón de habitantes,4863.1
2021,,Araba/Álava,Por millón de habitantes,4891.0
2011,,Bizkaia,Por millón de habitantes,4782.9
2012,,Bizkaia,Por millón de habitantes,5045.7
2013,,Bizkaia,Por millón de habitantes,5116.9
2016,,Bizkaia,Por millón de habitantes,4889.7
2022,,Bizkaia,Por millón de habitantes,6289.1
2019,,Bizkaia,Por millón de habitantes,5507.4
2014,,Bizkaia,Por millón de habitantes,5167.9
2023,,Bizkaia,Por millón de habitantes,6728.5
2020,,Bizkaia,Por millón de habitantes,5535.1
2018,,Bizkaia,Por millón de habitantes,5230.3
2010,,Bizkaia,Por millón de habitantes,4751.5
2015,,Bizkaia,Por millón de habitantes,5109.1
2021,,Bizkaia,Por millón de habitantes,5837.9
2017,,Bizkaia,Por millón de habitantes,4989.5
2017,,Gipuzkoa,Por millón de habitantes,7317.1
2018,,Gipuzkoa,Por millón de habitantes,7658.9
2022,,Gipuzkoa,Por millón de habitantes,8865.0
2013,,Gipuzkoa,Por millón de habitantes,6478.7
2021,,Gipuzkoa,Por millón de habitantes,8478.4
2010,,Gipuzkoa,Por millón de habitantes,6331.9
2019,,Gipuzkoa,Por millón de habitantes,7839.7
2015,,Gipuzkoa,Por millón de habitantes,6633.7
2016,,Gipuzkoa,Por millón de habitantes,6805.1
2011,,Gipuzkoa,Por millón de habitantes,6424.6
2012,,Gipuzkoa,Por millón de habitantes,6543.7
2020,,Gipuzkoa,Por millón de habitantes,7887.6
2023,,Gipuzkoa,Por millón de habitantes,9429.7
2014,,Gipuzkoa,Por millón de habitantes,6547.1
2016,Mujer,,Por millón de habitantes,3765.8
2015,Mujer,,Por millón de habitantes,3839.5
2013,Mujer,,Por millón de habitantes,3752.6
2012,Mujer,,Por millón de habitantes,3709.1
2014,Mujer,,Por millón de habitantes,3768.1
2022,Mujer,,Por millón de habitantes,4895.7
2021,Mujer,,Por millón de habitantes,4618.4
2019,Mujer,,Por millón de habitantes,4346.2
2017,Mujer,,Por millón de habitantes,3992.2
2010,Mujer,,Por millón de habitantes,3384.7
2020,Mujer,,Por millón de habitantes,4380.2
2018,Mujer,,Por millón de habitantes,4147.5
2023,Mujer,,Por millón de habitantes,5187.1
2011,Mujer,,Por millón de habitantes,3584.4
2022,Mujer,Araba/Álava,Por millón de habitantes,3546.2
2018,Mujer,Araba/Álava,Por millón de habitantes,3669.6
2020,Mujer,Araba/Álava,Por millón de habitantes,3511.8
2010,Mujer,Araba/Álava,Por millón de habitantes,2464.5
2021,Mujer,Araba/Álava,Por millón de habitantes,3378.9
2019,Mujer,Araba/Álava,Por millón de habitantes,3383.0
2017,Mujer,Araba/Álava,Por millón de habitantes,3617.4
2015,Mujer,Araba/Álava,Por millón de habitantes,3322.1
2016,Mujer,Araba/Álava,Por millón de habitantes,3380.6
2013,Mujer,Araba/Álava,Por millón de habitantes,3223.8
2012,Mujer,Araba/Álava,Por millón de habitantes,3030.0
2011,Mujer,Araba/Álava,Por millón de habitantes,2737.7
2014,Mujer,Araba/Álava,Por millón de habitantes,3264.7
2023,Mujer,Araba/Álava,Por millón de habitantes,3683.1
2022,Mujer,Bizkaia,Por millón de habitantes,4597.1
2023,Mujer,Bizkaia,Por millón de habitantes,4827.9
2019,Mujer,Bizkaia,Por millón de habitantes,4155.5
2018,Mujer,Bizkaia,Por millón de habitantes,3755.2
2016,Mujer,Bizkaia,Por millón de habitantes,3523.9
2017,Mujer,Bizkaia,Por millón de habitantes,3675.2
2014,Mujer,Bizkaia,Por millón de habitantes,3632.7
2021,Mujer,Bizkaia,Por millón de habitantes,4234.3
2013,Mujer,Bizkaia,Por millón de habitantes,3619.7
2012,Mujer,Bizkaia,Por millón de habitantes,3584.5
2015,Mujer,Bizkaia,Por millón de habitantes,3690.4
2011,Mujer,Bizkaia,Por millón de habitantes,3512.7
2010,Mujer,Bizkaia,Por millón de habitantes,3416.8
2020,Mujer,Bizkaia,Por millón de habitantes,4092.8
2022,Mujer,Gipuzkoa,Por millón de habitantes,5997.6
2021,Mujer,Gipuzkoa,Por millón de habitantes,5805.7
2020,Mujer,Gipuzkoa,Por millón de habitantes,5241.3
2019,Mujer,Gipuzkoa,Por millón de habitantes,5093.2
2018,Mujer,Gipuzkoa,Por millón de habitantes,4999.5
2017,Mujer,Gipuzkoa,Por millón de habitantes,4675.2
2023,Mujer,Gipuzkoa,Por millón de habitantes,6459.3
2016,Mujer,Gipuzkoa,Por millón de habitantes,4332.1
