Year,Ocupacion,Territorio histórico,Units,Value
2018,Cargo directivo,,%,35.8
2011,Cargo directivo,,%,31.7
2020,Cargo directivo,,%,31.8
2014,Cargo directivo,,%,28.7
2021,Cargo directivo,,%,32.3
2012,Cargo directivo,,%,29.0
2022,Cargo directivo,,%,32.3
2017,Cargo directivo,,%,35.6
2016,Cargo directivo,,%,34.7
2013,Cargo directivo,,%,31.3
2019,Cargo directivo,,%,34.3
2015,Cargo directivo,,%,36.7
2023,Cargo directivo,,%,34.0
2010,Cargo directivo,,%,28.8
2014,Cargo directivo,Araba/Álava,%,26.5
2013,Cargo directivo,Araba/Álava,%,29.3
2011,Cargo directivo,Araba/Álava,%,25.8
2016,Cargo directivo,Araba/Álava,%,27.6
2021,Cargo directivo,Araba/Álava,%,28.8
2010,Cargo directivo,Araba/Álava,%,28.4
2019,Cargo directivo,Araba/Álava,%,28.4
2018,Cargo directivo,Araba/Álava,%,39.4
2015,Cargo directivo,Araba/Álava,%,35.2
2023,Cargo directivo,Araba/Álava,%,36.5
2020,Cargo directivo,Araba/Álava,%,27.0
2012,Cargo directivo,Araba/Álava,%,24.8
2017,Cargo directivo,Araba/Álava,%,36.2
2022,Cargo directivo,Araba/Álava,%,31.3
2022,Cargo directivo,Bizkaia,%,34.5
2023,Cargo directivo,Bizkaia,%,35.8
2016,Cargo directivo,Bizkaia,%,34.7
2021,Cargo directivo,Bizkaia,%,30.2
2015,Cargo directivo,Bizkaia,%,37.1
2012,Cargo directivo,Bizkaia,%,29.4
2017,Cargo directivo,Bizkaia,%,35.5
2014,Cargo directivo,Bizkaia,%,26.8
2019,Cargo directivo,Bizkaia,%,35.3
2018,Cargo directivo,Bizkaia,%,35.5
2011,Cargo directivo,Bizkaia,%,33.2
2013,Cargo directivo,Bizkaia,%,30.6
2010,Cargo directivo,Bizkaia,%,30.4
2020,Cargo directivo,Bizkaia,%,31.5
2013,Cargo directivo,Gipuzkoa,%,33.3
2016,Cargo directivo,Gipuzkoa,%,38.6
2023,Cargo directivo,Gipuzkoa,%,30.4
2015,Cargo directivo,Gipuzkoa,%,36.6
2017,Cargo directivo,Gipuzkoa,%,35.4
2019,Cargo directivo,Gipuzkoa,%,34.7
2010,Cargo directivo,Gipuzkoa,%,26.4
2021,Cargo directivo,Gipuzkoa,%,37.0
2012,Cargo directivo,Gipuzkoa,%,30.4
2020,Cargo directivo,Gipuzkoa,%,34.3
2022,Cargo directivo,Gipuzkoa,%,29.8
2014,Cargo directivo,Gipuzkoa,%,32.5
2018,Cargo directivo,Gipuzkoa,%,35.0
2011,Cargo directivo,Gipuzkoa,%,31.0
2013,Alta dirección,,%,30.6
2010,Alta dirección,,%,32.5
2014,Alta dirección,,%,27.2
2023,Alta dirección,,%,29.6
2017,Alta dirección,,%,32.3
2022,Alta dirección,,%,27.7
2020,Alta dirección,,%,29.8
2012,Alta dirección,,%,25.7
2018,Alta dirección,,%,31.9
2011,Alta dirección,,%,28.1
2016,Alta dirección,,%,30.2
2019,Alta dirección,,%,31.4
2015,Alta dirección,,%,29.5
2021,Alta dirección,,%,28.6
2014,Alta dirección,Araba/Álava,%,19.9
2022,Alta dirección,Araba/Álava,%,24.6
2013,Alta dirección,Araba/Álava,%,20.1
2020,Alta dirección,Araba/Álava,%,25.1
2017,Alta dirección,Araba/Álava,%,38.7
2019,Alta dirección,Araba/Álava,%,23.3
2015,Alta dirección,Araba/Álava,%,25.5
2018,Alta dirección,Araba/Álava,%,42.3
2012,Alta dirección,Araba/Álava,%,11.7
2010,Alta dirección,Araba/Álava,%,34.6
2011,Alta dirección,Araba/Álava,%,29.6
2016,Alta dirección,Araba/Álava,%,26.0
2021,Alta dirección,Araba/Álava,%,24.3
2023,Alta dirección,Araba/Álava,%,30.2
2023,Alta dirección,Bizkaia,%,31.8
2022,Alta dirección,Bizkaia,%,31.1
2015,Alta dirección,Bizkaia,%,32.3
2021,Alta dirección,Bizkaia,%,29.5
2019,Alta dirección,Bizkaia,%,34.5
2018,Alta dirección,Bizkaia,%,27.8
2017,Alta dirección,Bizkaia,%,29.3
2014,Alta dirección,Bizkaia,%,25.2
2013,Alta dirección,Bizkaia,%,30.9
2016,Alta dirección,Bizkaia,%,29.9
2012,Alta dirección,Bizkaia,%,27.8
2011,Alta dirección,Bizkaia,%,29.3
2010,Alta dirección,Bizkaia,%,34.9
2020,Alta dirección,Bizkaia,%,32.8
2023,Alta dirección,Gipuzkoa,%,26.3
2022,Alta dirección,Gipuzkoa,%,24.9
2020,Alta dirección,Gipuzkoa,%,26.9
2019,Alta dirección,Gipuzkoa,%,29.6
2018,Alta dirección,Gipuzkoa,%,33.8
2015,Alta dirección,Gipuzkoa,%,26.1
2013,Alta dirección,Gipuzkoa,%,33.8
2012,Alta dirección,Gipuzkoa,%,27.0
2014,Alta dirección,Gipuzkoa,%,32.4
2011,Alta dirección,Gipuzkoa,%,25.4
2010,Alta dirección,Gipuzkoa,%,28.4
2017,Alta dirección,Gipuzkoa,%,33.7
2016,Alta dirección,Gipuzkoa,%,33.2
2021,Alta dirección,Gipuzkoa,%,29.1
2011,Empresaria,,%,34.5
2010,Empresaria,,%,32.6
2015,Empresaria,,%,33.7
2018,Empresaria,,%,35.4
2013,Empresaria,,%,34.7
2020,Empresaria,,%,34.4
2019,Empresaria,,%,35.1
2021,Empresaria,,%,33.5
2023,Empresaria,,%,35.2
2022,Empresaria,,%,33.1
2017,Empresaria,,%,34.5
2016,Empresaria,,%,34.7
2012,Empresaria,,%,36.0
2014,Empresaria,,%,35.2
2011,Empresaria,Araba/Álava,%,31.8
2017,Empresaria,Araba/Álava,%,32.8
2022,Empresaria,Araba/Álava,%,30.7
2019,Empresaria,Araba/Álava,%,34.6
2015,Empresaria,Araba/Álava,%,36.7
2013,Empresaria,Araba/Álava,%,31.8
2010,Empresaria,Araba/Álava,%,35.2
2012,Empresaria,Araba/Álava,%,33.6
2014,Empresaria,Araba/Álava,%,33.3
2018,Empresaria,Araba/Álava,%,36.0
2016,Empresaria,Araba/Álava,%,34.9
2020,Empresaria,Araba/Álava,%,30.9
2021,Empresaria,Araba/Álava,%,31.3
2023,Empresaria,Araba/Álava,%,27.8
2018,Empresaria,Bizkaia,%,35.0
2023,Empresaria,Bizkaia,%,37.0
2022,Empresaria,Bizkaia,%,34.6
2021,Empresaria,Bizkaia,%,33.5
2019,Empresaria,Bizkaia,%,34.9
2017,Empresaria,Bizkaia,%,33.8
2020,Empresaria,Bizkaia,%,35.8
2016,Empresaria,Bizkaia,%,34.0
2015,Empresaria,Bizkaia,%,33.0
2014,Empresaria,Bizkaia,%,34.9
2013,Empresaria,Bizkaia,%,35.7
2012,Empresaria,Bizkaia,%,36.9
2011,Empresaria,Bizkaia,%,36.6
2010,Empresaria,Bizkaia,%,33.5
2012,Empresaria,Gipuzkoa,%,35.6
2016,Empresaria,Gipuzkoa,%,35.6
2013,Empresaria,Gipuzkoa,%,34.5
2019,Empresaria,Gipuzkoa,%,35.6
2021,Empresaria,Gipuzkoa,%,34.3
2020,Empresaria,Gipuzkoa,%,33.4
2023,Empresaria,Gipuzkoa,%,35.5
2022,Empresaria,Gipuzkoa,%,32.0
2018,Empresaria,Gipuzkoa,%,35.7
2017,Empresaria,Gipuzkoa,%,36.2
2015,Empresaria,Gipuzkoa,%,33.2
2014,Empresaria,Gipuzkoa,%,36.4
2011,Empresaria,Gipuzkoa,%,32.6
2010,Empresaria,Gipuzkoa,%,30.5
