Year,Series,Territorio histórico,Comarca,Municipio,Units,GeoCode,Value
2012,Proporción de municipios que disponen de un plan municipal de emergencias,,,,Porcentaje,,33.73
2014,Proporción de municipios que disponen de un plan municipal de emergencias,,,,Porcentaje,,34.13
2023,Proporción de municipios que disponen de un plan municipal de emergencias,,,,Porcentaje,,34.52
2019,Proporción de municipios que disponen de un plan municipal de emergencias,,,,Porcentaje,,34.13
2024,Proporción de municipios que disponen de un plan municipal de emergencias,,,,Porcentaje,,35.32
2017,Proporción de municipios que disponen de un plan municipal de emergencias,,,,Porcentaje,,34.13
2015,Proporción de municipios que disponen de un plan municipal de emergencias,,,,Porcentaje,,34.13
2016,Proporción de municipios que disponen de un plan municipal de emergencias,,,,Porcentaje,,34.13
2022,Proporción de municipios que disponen de un plan municipal de emergencias,,,,Porcentaje,,34.52
2018,Proporción de municipios que disponen de un plan municipal de emergencias,,,,Porcentaje,,34.13
2020,Proporción de municipios que disponen de un plan municipal de emergencias,,,,Porcentaje,,34.13
2013,Proporción de municipios que disponen de un plan municipal de emergencias,,,,Porcentaje,,33.73
2021,Proporción de municipios que disponen de un plan municipal de emergencias,,,,Porcentaje,,34.52
2011,Proporción de municipios que disponen de un plan municipal de emergencias,,,,Porcentaje,,33.73
2010,Proporción de municipios que disponen de un plan municipal de emergencias,,,,Porcentaje,,33.73
2017,Proporción de municipios que disponen de un plan municipal de emergencias,,,Abadiño,Porcentaje,Abadiño,100.0
2011,Proporción de municipios que disponen de un plan municipal de emergencias,,,Abadiño,Porcentaje,Abadiño,100.0
2016,Proporción de municipios que disponen de un plan municipal de emergencias,,,Abadiño,Porcentaje,Abadiño,100.0
2021,Proporción de municipios que disponen de un plan municipal de emergencias,,,Abadiño,Porcentaje,Abadiño,100.0
2020,Proporción de municipios que disponen de un plan municipal de emergencias,,,Abadiño,Porcentaje,Abadiño,100.0
2015,Proporción de municipios que disponen de un plan municipal de emergencias,,,Abadiño,Porcentaje,Abadiño,100.0
2019,Proporción de municipios que disponen de un plan municipal de emergencias,,,Abadiño,Porcentaje,Abadiño,100.0
2022,Proporción de municipios que disponen de un plan municipal de emergencias,,,Abadiño,Porcentaje,Abadiño,100.0
2012,Proporción de municipios que disponen de un plan municipal de emergencias,,,Abadiño,Porcentaje,Abadiño,100.0
2024,Proporción de municipios que disponen de un plan municipal de emergencias,,,Abadiño,Porcentaje,Abadiño,100.0
2013,Proporción de municipios que disponen de un plan municipal de emergencias,,,Abadiño,Porcentaje,Abadiño,100.0
2010,Proporción de municipios que disponen de un plan municipal de emergencias,,,Abadiño,Porcentaje,Abadiño,100.0
2014,Proporción de municipios que disponen de un plan municipal de emergencias,,,Abadiño,Porcentaje,Abadiño,100.0
2023,Proporción de municipios que disponen de un plan municipal de emergencias,,,Abadiño,Porcentaje,Abadiño,100.0
2018,Proporción de municipios que disponen de un plan municipal de emergencias,,,Abadiño,Porcentaje,Abadiño,100.0
2013,Proporción de municipios que disponen de un plan municipal de emergencias,,,Abaltzisketa,Porcentaje,Abaltzisketa,0.0
2015,Proporción de municipios que disponen de un plan municipal de emergencias,,,Abaltzisketa,Porcentaje,Abaltzisketa,0.0
2020,Proporción de municipios que disponen de un plan municipal de emergencias,,,Abaltzisketa,Porcentaje,Abaltzisketa,0.0
2014,Proporción de municipios que disponen de un plan municipal de emergencias,,,Abaltzisketa,Porcentaje,Abaltzisketa,0.0
2017,Proporción de municipios que disponen de un plan municipal de emergencias,,,Abaltzisketa,Porcentaje,Abaltzisketa,0.0
2023,Proporción de municipios que disponen de un plan municipal de emergencias,,,Abaltzisketa,Porcentaje,Abaltzisketa,0.0
2019,Proporción de municipios que disponen de un plan municipal de emergencias,,,Abaltzisketa,Porcentaje,Abaltzisketa,0.0
2016,Proporción de municipios que disponen de un plan municipal de emergencias,,,Abaltzisketa,Porcentaje,Abaltzisketa,0.0
2011,Proporción de municipios que disponen de un plan municipal de emergencias,,,Abaltzisketa,Porcentaje,Abaltzisketa,0.0
2018,Proporción de municipios que disponen de un plan municipal de emergencias,,,Abaltzisketa,Porcentaje,Abaltzisketa,0.0
2012,Proporción de municipios que disponen de un plan municipal de emergencias,,,Abaltzisketa,Porcentaje,Abaltzisketa,0.0
2021,Proporción de municipios que disponen de un plan municipal de emergencias,,,Abaltzisketa,Porcentaje,Abaltzisketa,0.0
2010,Proporción de municipios que disponen de un plan municipal de emergencias,,,Abaltzisketa,Porcentaje,Abaltzisketa,0.0
2022,Proporción de municipios que disponen de un plan municipal de emergencias,,,Abaltzisketa,Porcentaje,Abaltzisketa,0.0
2024,Proporción de municipios que disponen de un plan municipal de emergencias,,,Abaltzisketa,Porcentaje,Abaltzisketa,0.0
2021,Proporción de municipios que disponen de un plan municipal de emergencias,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,100.0
2024,Proporción de municipios que disponen de un plan municipal de emergencias,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,100.0
2010,Proporción de municipios que disponen de un plan municipal de emergencias,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,100.0
2022,Proporción de municipios que disponen de un plan municipal de emergencias,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,100.0
2013,Proporción de municipios que disponen de un plan municipal de emergencias,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,100.0
2019,Proporción de municipios que disponen de un plan municipal de emergencias,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,100.0
2012,Proporción de municipios que disponen de un plan municipal de emergencias,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,100.0
2017,Proporción de municipios que disponen de un plan municipal de emergencias,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,100.0
2015,Proporción de municipios que disponen de un plan municipal de emergencias,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,100.0
2023,Proporción de municipios que disponen de un plan municipal de emergencias,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,100.0
2011,Proporción de municipios que disponen de un plan municipal de emergencias,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,100.0
2014,Proporción de municipios que disponen de un plan municipal de emergencias,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,100.0
2020,Proporción de municipios que disponen de un plan municipal de emergencias,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,100.0
2018,Proporción de municipios que disponen de un plan municipal de emergencias,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,100.0
2016,Proporción de municipios que disponen de un plan municipal de emergencias,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,100.0
2022,Proporción de municipios que disponen de un plan municipal de emergencias,,,Aduna,Porcentaje,Aduna,0.0
2023,Proporción de municipios que disponen de un plan municipal de emergencias,,,Aduna,Porcentaje,Aduna,0.0
2020,Proporción de municipios que disponen de un plan municipal de emergencias,,,Aduna,Porcentaje,Aduna,0.0
2015,Proporción de municipios que disponen de un plan municipal de emergencias,,,Aduna,Porcentaje,Aduna,0.0
2018,Proporción de municipios que disponen de un plan municipal de emergencias,,,Aduna,Porcentaje,Aduna,0.0
2017,Proporción de municipios que disponen de un plan municipal de emergencias,,,Aduna,Porcentaje,Aduna,0.0
2011,Proporción de municipios que disponen de un plan municipal de emergencias,,,Aduna,Porcentaje,Aduna,0.0
2010,Proporción de municipios que disponen de un plan municipal de emergencias,,,Aduna,Porcentaje,Aduna,0.0
2019,Proporción de municipios que disponen de un plan municipal de emergencias,,,Aduna,Porcentaje,Aduna,0.0
2021,Proporción de municipios que disponen de un plan municipal de emergencias,,,Aduna,Porcentaje,Aduna,0.0
2024,Proporción de municipios que disponen de un plan municipal de emergencias,,,Aduna,Porcentaje,Aduna,0.0
2016,Proporción de municipios que disponen de un plan municipal de emergencias,,,Aduna,Porcentaje,Aduna,0.0
2013,Proporción de municipios que disponen de un plan municipal de emergencias,,,Aduna,Porcentaje,Aduna,0.0
2012,Proporción de municipios que disponen de un plan municipal de emergencias,,,Aduna,Porcentaje,Aduna,0.0
2014,Proporción de municipios que disponen de un plan municipal de emergencias,,,Aduna,Porcentaje,Aduna,0.0
2018,Proporción de municipios que disponen de un plan municipal de emergencias,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,100.0
2017,Proporción de municipios que disponen de un plan municipal de emergencias,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,100.0
2023,Proporción de municipios que disponen de un plan municipal de emergencias,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,100.0
2016,Proporción de municipios que disponen de un plan municipal de emergencias,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,100.0
2019,Proporción de municipios que disponen de un plan municipal de emergencias,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,100.0
2012,Proporción de municipios que disponen de un plan municipal de emergencias,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,100.0
2024,Proporción de municipios que disponen de un plan municipal de emergencias,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,100.0
2013,Proporción de municipios que disponen de un plan municipal de emergencias,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,100.0
2011,Proporción de municipios que disponen de un plan municipal de emergencias,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,100.0
2022,Proporción de municipios que disponen de un plan municipal de emergencias,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,100.0
2021,Proporción de municipios que disponen de un plan municipal de emergencias,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,100.0
2014,Proporción de municipios que disponen de un plan municipal de emergencias,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,100.0
2010,Proporción de municipios que disponen de un plan municipal de emergencias,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,100.0
2020,Proporción de municipios que disponen de un plan municipal de emergencias,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,100.0
2015,Proporción de municipios que disponen de un plan municipal de emergencias,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,100.0
2022,Proporción de municipios que disponen de un plan municipal de emergencias,,,Aia,Porcentaje,Aia,0.0
2024,Proporción de municipios que disponen de un plan municipal de emergencias,,,Aia,Porcentaje,Aia,0.0
2013,Proporción de municipios que disponen de un plan municipal de emergencias,,,Aia,Porcentaje,Aia,0.0
2021,Proporción de municipios que disponen de un plan municipal de emergencias,,,Aia,Porcentaje,Aia,0.0
2012,Proporción de municipios que disponen de un plan municipal de emergencias,,,Aia,Porcentaje,Aia,0.0
2010,Proporción de municipios que disponen de un plan municipal de emergencias,,,Aia,Porcentaje,Aia,0.0
2017,Proporción de municipios que disponen de un plan municipal de emergencias,,,Aia,Porcentaje,Aia,0.0
2016,Proporción de municipios que disponen de un plan municipal de emergencias,,,Aia,Porcentaje,Aia,0.0
2015,Proporción de municipios que disponen de un plan municipal de emergencias,,,Aia,Porcentaje,Aia,0.0
2014,Proporción de municipios que disponen de un plan municipal de emergencias,,,Aia,Porcentaje,Aia,0.0
2023,Proporción de municipios que disponen de un plan municipal de emergencias,,,Aia,Porcentaje,Aia,0.0
2018,Proporción de municipios que disponen de un plan municipal de emergencias,,,Aia,Porcentaje,Aia,0.0
2019,Proporción de municipios que disponen de un plan municipal de emergencias,,,Aia,Porcentaje,Aia,0.0
2011,Proporción de municipios que disponen de un plan municipal de emergencias,,,Aia,Porcentaje,Aia,0.0
2020,Proporción de municipios que disponen de un plan municipal de emergencias,,,Aia,Porcentaje,Aia,0.0
2015,Proporción de municipios que disponen de un plan municipal de emergencias,,,Aizarnazabal,Porcentaje,Aizarnazabal,0.0
2021,Proporción de municipios que disponen de un plan municipal de emergencias,,,Aizarnazabal,Porcentaje,Aizarnazabal,0.0
2010,Proporción de municipios que disponen de un plan municipal de emergencias,,,Aizarnazabal,Porcentaje,Aizarnazabal,0.0
2013,Proporción de municipios que disponen de un plan municipal de emergencias,,,Aizarnazabal,Porcentaje,Aizarnazabal,0.0
2023,Proporción de municipios que disponen de un plan municipal de emergencias,,,Aizarnazabal,Porcentaje,Aizarnazabal,0.0
2020,Proporción de municipios que disponen de un plan municipal de emergencias,,,Aizarnazabal,Porcentaje,Aizarnazabal,0.0
2019,Proporción de municipios que disponen de un plan municipal de emergencias,,,Aizarnazabal,Porcentaje,Aizarnazabal,0.0
2024,Proporción de municipios que disponen de un plan municipal de emergencias,,,Aizarnazabal,Porcentaje,Aizarnazabal,0.0
2014,Proporción de municipios que disponen de un plan municipal de emergencias,,,Aizarnazabal,Porcentaje,Aizarnazabal,0.0
2016,Proporción de municipios que disponen de un plan municipal de emergencias,,,Aizarnazabal,Porcentaje,Aizarnazabal,0.0
2018,Proporción de municipios que disponen de un plan municipal de emergencias,,,Aizarnazabal,Porcentaje,Aizarnazabal,0.0
2022,Proporción de municipios que disponen de un plan municipal de emergencias,,,Aizarnazabal,Porcentaje,Aizarnazabal,0.0
2011,Proporción de municipios que disponen de un plan municipal de emergencias,,,Aizarnazabal,Porcentaje,Aizarnazabal,0.0
2017,Proporción de municipios que disponen de un plan municipal de emergencias,,,Aizarnazabal,Porcentaje,Aizarnazabal,0.0
2012,Proporción de municipios que disponen de un plan municipal de emergencias,,,Aizarnazabal,Porcentaje,Aizarnazabal,0.0
2020,Proporción de municipios que disponen de un plan municipal de emergencias,,,Ajangiz,Porcentaje,Ajangiz,0.0
2022,Proporción de municipios que disponen de un plan municipal de emergencias,,,Ajangiz,Porcentaje,Ajangiz,0.0
2011,Proporción de municipios que disponen de un plan municipal de emergencias,,,Ajangiz,Porcentaje,Ajangiz,0.0
2017,Proporción de municipios que disponen de un plan municipal de emergencias,,,Ajangiz,Porcentaje,Ajangiz,0.0
2015,Proporción de municipios que disponen de un plan municipal de emergencias,,,Ajangiz,Porcentaje,Ajangiz,0.0
2018,Proporción de municipios que disponen de un plan municipal de emergencias,,,Ajangiz,Porcentaje,Ajangiz,0.0
2023,Proporción de municipios que disponen de un plan municipal de emergencias,,,Ajangiz,Porcentaje,Ajangiz,0.0
2014,Proporción de municipios que disponen de un plan municipal de emergencias,,,Ajangiz,Porcentaje,Ajangiz,0.0
2019,Proporción de municipios que disponen de un plan municipal de emergencias,,,Ajangiz,Porcentaje,Ajangiz,0.0
2021,Proporción de municipios que disponen de un plan municipal de emergencias,,,Ajangiz,Porcentaje,Ajangiz,0.0
2024,Proporción de municipios que disponen de un plan municipal de emergencias,,,Ajangiz,Porcentaje,Ajangiz,0.0
2013,Proporción de municipios que disponen de un plan municipal de emergencias,,,Ajangiz,Porcentaje,Ajangiz,0.0
2010,Proporción de municipios que disponen de un plan municipal de emergencias,,,Ajangiz,Porcentaje,Ajangiz,0.0
2012,Proporción de municipios que disponen de un plan municipal de emergencias,,,Ajangiz,Porcentaje,Ajangiz,0.0
2016,Proporción de municipios que disponen de un plan municipal de emergencias,,,Ajangiz,Porcentaje,Ajangiz,0.0
2020,Proporción de municipios que disponen de un plan municipal de emergencias,,,Albiztur,Porcentaje,Albiztur,0.0
2023,Proporción de municipios que disponen de un plan municipal de emergencias,,,Albiztur,Porcentaje,Albiztur,0.0
2024,Proporción de municipios que disponen de un plan municipal de emergencias,,,Albiztur,Porcentaje,Albiztur,0.0
2016,Proporción de municipios que disponen de un plan municipal de emergencias,,,Albiztur,Porcentaje,Albiztur,0.0
2013,Proporción de municipios que disponen de un plan municipal de emergencias,,,Albiztur,Porcentaje,Albiztur,0.0
2021,Proporción de municipios que disponen de un plan municipal de emergencias,,,Albiztur,Porcentaje,Albiztur,0.0
2015,Proporción de municipios que disponen de un plan municipal de emergencias,,,Albiztur,Porcentaje,Albiztur,0.0
2010,Proporción de municipios que disponen de un plan municipal de emergencias,,,Albiztur,Porcentaje,Albiztur,0.0
2014,Proporción de municipios que disponen de un plan municipal de emergencias,,,Albiztur,Porcentaje,Albiztur,0.0
2019,Proporción de municipios que disponen de un plan municipal de emergencias,,,Albiztur,Porcentaje,Albiztur,0.0
2022,Proporción de municipios que disponen de un plan municipal de emergencias,,,Albiztur,Porcentaje,Albiztur,0.0
2018,Proporción de municipios que disponen de un plan municipal de emergencias,,,Albiztur,Porcentaje,Albiztur,0.0
2017,Proporción de municipios que disponen de un plan municipal de emergencias,,,Albiztur,Porcentaje,Albiztur,0.0
2012,Proporción de municipios que disponen de un plan municipal de emergencias,,,Albiztur,Porcentaje,Albiztur,0.0
2011,Proporción de municipios que disponen de un plan municipal de emergencias,,,Albiztur,Porcentaje,Albiztur,0.0
2019,Proporción de municipios que disponen de un plan municipal de emergencias,,,Alegia,Porcentaje,Alegia,0.0
2021,Proporción de municipios que disponen de un plan municipal de emergencias,,,Alegia,Porcentaje,Alegia,0.0
2011,Proporción de municipios que disponen de un plan municipal de emergencias,,,Alegia,Porcentaje,Alegia,0.0
2017,Proporción de municipios que disponen de un plan municipal de emergencias,,,Alegia,Porcentaje,Alegia,0.0
2018,Proporción de municipios que disponen de un plan municipal de emergencias,,,Alegia,Porcentaje,Alegia,0.0
2015,Proporción de municipios que disponen de un plan municipal de emergencias,,,Alegia,Porcentaje,Alegia,0.0
2012,Proporción de municipios que disponen de un plan municipal de emergencias,,,Alegia,Porcentaje,Alegia,0.0
2024,Proporción de municipios que disponen de un plan municipal de emergencias,,,Alegia,Porcentaje,Alegia,0.0
2014,Proporción de municipios que disponen de un plan municipal de emergencias,,,Alegia,Porcentaje,Alegia,0.0
2010,Proporción de municipios que disponen de un plan municipal de emergencias,,,Alegia,Porcentaje,Alegia,0.0
2016,Proporción de municipios que disponen de un plan municipal de emergencias,,,Alegia,Porcentaje,Alegia,0.0
2023,Proporción de municipios que disponen de un plan municipal de emergencias,,,Alegia,Porcentaje,Alegia,0.0
2013,Proporción de municipios que disponen de un plan municipal de emergencias,,,Alegia,Porcentaje,Alegia,0.0
2020,Proporción de municipios que disponen de un plan municipal de emergencias,,,Alegia,Porcentaje,Alegia,0.0
2022,Proporción de municipios que disponen de un plan municipal de emergencias,,,Alegia,Porcentaje,Alegia,0.0
2021,Proporción de municipios que disponen de un plan municipal de emergencias,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,0.0
