Year,Series,Province,County,Municipality,Units,GeoCode,Value
2019,Expenditure settled by the regional administration in relation to the budgeted expenditure,,,,%,,102.16
2020,Expenditure settled by the regional administration in relation to the budgeted expenditure,,,,%,,100.05
2017,Expenditure settled by the regional administration in relation to the budgeted expenditure,,,,%,,97.87
2022,Expenditure settled by the regional administration in relation to the budgeted expenditure,,,,%,,104.68
2021,Expenditure settled by the regional administration in relation to the budgeted expenditure,,,,%,,102.22
2018,Expenditure settled by the regional administration in relation to the budgeted expenditure,,,,%,,98.53
2023,Expenditure settled by the regional administration in relation to the budgeted expenditure,,,,%,,101.1
2016,Expenditure settled by the regional administration in relation to the budgeted expenditure,,,,%,,94.8
2023,Liquidated expenditure of the municipalities in proportion to the originally approved budget,,,,%,,103.31
2010,Liquidated expenditure of the municipalities in proportion to the originally approved budget,,,,%,,110.23
2016,Liquidated expenditure of the municipalities in proportion to the originally approved budget,,,,%,,97.37
2021,Liquidated expenditure of the municipalities in proportion to the originally approved budget,,,,%,,99.22
2017,Liquidated expenditure of the municipalities in proportion to the originally approved budget,,,,%,,96.78
2011,Liquidated expenditure of the municipalities in proportion to the originally approved budget,,,,%,,100.45
2020,Liquidated expenditure of the municipalities in proportion to the originally approved budget,,,,%,,93.84
2014,Liquidated expenditure of the municipalities in proportion to the originally approved budget,,,,%,,98.47
2022,Liquidated expenditure of the municipalities in proportion to the originally approved budget,,,,%,,100.26
2019,Liquidated expenditure of the municipalities in proportion to the originally approved budget,,,,%,,100.27
2015,Liquidated expenditure of the municipalities in proportion to the originally approved budget,,,,%,,98.05
2013,Liquidated expenditure of the municipalities in proportion to the originally approved budget,,,,%,,100.2
2012,Liquidated expenditure of the municipalities in proportion to the originally approved budget,,,,%,,93.03
2018,Liquidated expenditure of the municipalities in proportion to the originally approved budget,,,,%,,97.17
2015,Liquidated expenditure of the municipalities in proportion to the originally approved budget,,,Abadiño,%,Abadiño,95.83
2010,Liquidated expenditure of the municipalities in proportion to the originally approved budget,,,Abadiño,%,Abadiño,94.09
2013,Liquidated expenditure of the municipalities in proportion to the originally approved budget,,,Abadiño,%,Abadiño,93.98
2021,Liquidated expenditure of the municipalities in proportion to the originally approved budget,,,Abadiño,%,Abadiño,93.28
2018,Liquidated expenditure of the municipalities in proportion to the originally approved budget,,,Abadiño,%,Abadiño,97.77
2016,Liquidated expenditure of the municipalities in proportion to the originally approved budget,,,Abadiño,%,Abadiño,98.95
2014,Liquidated expenditure of the municipalities in proportion to the originally approved budget,,,Abadiño,%,Abadiño,112.36
2023,Liquidated expenditure of the municipalities in proportion to the originally approved budget,,,Abadiño,%,Abadiño,109.33
2019,Liquidated expenditure of the municipalities in proportion to the originally approved budget,,,Abadiño,%,Abadiño,107.01
2020,Liquidated expenditure of the municipalities in proportion to the originally approved budget,,,Abadiño,%,Abadiño,83.11
2011,Liquidated expenditure of the municipalities in proportion to the originally approved budget,,,Abadiño,%,Abadiño,103.15
2017,Liquidated expenditure of the municipalities in proportion to the originally approved budget,,,Abadiño,%,Abadiño,94.77
2022,Liquidated expenditure of the municipalities in proportion to the originally approved budget,,,Abadiño,%,Abadiño,120.7
2012,Liquidated expenditure of the municipalities in proportion to the originally approved budget,,,Abadiño,%,Abadiño,92.13
2014,Liquidated expenditure of the municipalities in proportion to the originally approved budget,,,Abaltzisketa,%,Abaltzisketa,116.37
2022,Liquidated expenditure of the municipalities in proportion to the originally approved budget,,,Abaltzisketa,%,Abaltzisketa,100.95
2018,Liquidated expenditure of the municipalities in proportion to the originally approved budget,,,Abaltzisketa,%,Abaltzisketa,148.95
2023,Liquidated expenditure of the municipalities in proportion to the originally approved budget,,,Abaltzisketa,%,Abaltzisketa,99.12
2021,Liquidated expenditure of the municipalities in proportion to the originally approved budget,,,Abaltzisketa,%,Abaltzisketa,106.61
2012,Liquidated expenditure of the municipalities in proportion to the originally approved budget,,,Abaltzisketa,%,Abaltzisketa,72.94
2015,Liquidated expenditure of the municipalities in proportion to the originally approved budget,,,Abaltzisketa,%,Abaltzisketa,120.05
2019,Liquidated expenditure of the municipalities in proportion to the originally approved budget,,,Abaltzisketa,%,Abaltzisketa,102.68
2010,Liquidated expenditure of the municipalities in proportion to the originally approved budget,,,Abaltzisketa,%,Abaltzisketa,78.58
2013,Liquidated expenditure of the municipalities in proportion to the originally approved budget,,,Abaltzisketa,%,Abaltzisketa,168.2
2016,Liquidated expenditure of the municipalities in proportion to the originally approved budget,,,Abaltzisketa,%,Abaltzisketa,112.42
2020,Liquidated expenditure of the municipalities in proportion to the originally approved budget,,,Abaltzisketa,%,Abaltzisketa,145.46
2011,Liquidated expenditure of the municipalities in proportion to the originally approved budget,,,Abaltzisketa,%,Abaltzisketa,97.83
2017,Liquidated expenditure of the municipalities in proportion to the originally approved budget,,,Abaltzisketa,%,Abaltzisketa,87.58
2021,Liquidated expenditure of the municipalities in proportion to the originally approved budget,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,92.53
2012,Liquidated expenditure of the municipalities in proportion to the originally approved budget,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,97.55
2015,Liquidated expenditure of the municipalities in proportion to the originally approved budget,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,110.54
2010,Liquidated expenditure of the municipalities in proportion to the originally approved budget,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,94.43
2022,Liquidated expenditure of the municipalities in proportion to the originally approved budget,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,101.44
2023,Liquidated expenditure of the municipalities in proportion to the originally approved budget,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,96.56
2014,Liquidated expenditure of the municipalities in proportion to the originally approved budget,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,95.33
2011,Liquidated expenditure of the municipalities in proportion to the originally approved budget,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,105.97
2019,Liquidated expenditure of the municipalities in proportion to the originally approved budget,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,100.5
