Year,Series,NCD,Sexo,Territorio,Comarca,Municipio,Units,GeoCode,Value
2022,EU_SH_DTH_NCOM,,,,,ES20010,PER_100000_POP,ES20010,564.7
2014,EU_SH_DTH_NCOM,,,,,ES20010,PER_100000_POP,ES20010,259.7
2018,EU_SH_DTH_NCOM,,,,,ES20010,PER_100000_POP,ES20010,547.5
2023,EU_SH_DTH_NCOM,,,,,ES20010,PER_100000_POP,ES20010,518.4
2013,EU_SH_DTH_NCOM,,,,,ES20010,PER_100000_POP,ES20010,371.8
2011,EU_SH_DTH_NCOM,,,,,ES20010,PER_100000_POP,ES20010,546.4
2016,EU_SH_DTH_NCOM,,,,,ES20010,PER_100000_POP,ES20010,503.7
2024,EU_SH_DTH_NCOM,,,,,ES20010,PER_100000_POP,ES20010,378.4
2017,EU_SH_DTH_NCOM,,,,,ES20010,PER_100000_POP,ES20010,556.0
2018,EU_SH_DTH_NCOM,,,,,ES20011,PER_100000_POP,ES20011,588.2
2023,EU_SH_DTH_NCOM,,,,,ES20011,PER_100000_POP,ES20011,373.8
