Year,Pobreza,Units,Value
2008,NAHC,PT,9.1
2009,NAHC,PT,10.0
2010,NAHC,PT,11.7
2011,NAHC,PT,13.8
2012,NAHC,PT,13.3
2013,NAHC,PT,10.5
2014,NAHC,PT,10.2
2015,NAHC,PT,10.9
2016,NAHC,PT,9.0
2017,NAHC,PT,9.7
2018,NAHC,PT,8.6
2019,NAHC,PT,10.0
2020,NAHC,PT,10.0
2021,NAHC,PT,12.2
2022,NAHC,PT,12.2
2023,NAHC,PT,10.2
2024,NAHC,PT,9.4
2014,SMSD,PT,5.1
2015,SMSD,PT,6.6
2016,SMSD,PT,4.8
2017,SMSD,PT,5.1
2018,SMSD,PT,4.3
2019,SMSD,PT,4.0
2020,SMSD,PT,3.3
2021,SMSD,PT,4.6
2022,SMSD,PT,3.7
2023,SMSD,PT,5.6
2024,SMSD,PT,4.7
2014,VLWI,PT,12.8
2015,VLWI,PT,13.9
2016,VLWI,PT,13.1
2017,VLWI,PT,7.6
2018,VLWI,PT,7.2
2019,VLWI,PT,10.0
2020,VLWI,PT,7.9
2021,VLWI,PT,7.5
2022,VLWI,PT,6.2
2023,VLWI,PT,7.6
2024,VLWI,PT,6.9
2014,,PT,16.2
2015,,PT,18.2
2016,,PT,15.9
2017,,PT,15.0
2018,,PT,12.2
2019,,PT,15.0
2020,,PT,13.6
2021,,PT,16.0
2022,,PT,15.7
2023,,PT,15.5
2024,,PT,14.8
